;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.981;0.963;0.963;0.944;0.519;1.0;0.944;1.0;0.971;0.971;0.971;0.914;0.886;0.6;0.886;0.857;0.963;0.963;0.519;1.0
transcript21_ENSMUNG00000007775;0.981;1.0;0.981;0.981;0.963;0.537;0.981;0.963;0.981;0.943;1.0;1.0;0.943;0.914;0.629;0.914;0.886;0.981;0.981;0.537;0.981
transcript23_ENSMUNG00000007775;0.963;0.981;1.0;0.963;0.981;0.547;0.963;0.944;0.963;0.943;1.0;1.0;0.943;0.914;0.629;0.914;0.886;0.963;1.0;0.547;0.963
transcript25_ENSMUNG00000007775;0.963;0.981;0.963;1.0;0.944;0.519;0.963;0.944;0.963;0.914;0.971;0.971;0.914;0.886;0.6;0.886;0.857;0.963;0.963;0.519;0.963
transcript26_ENSMUNG00000007775;0.944;0.963;0.981;0.944;1.0;0.558;0.944;0.926;0.944;0.914;0.971;0.971;0.914;0.886;0.6;0.886;0.857;0.944;0.981;0.558;0.944
transcript30_ENSMUNG00000007775;0.519;0.537;0.547;0.519;0.558;1.0;0.519;0.5;0.519;0.543;0.6;0.6;0.543;0.514;0.955;0.514;0.486;0.519;0.547;1.0;0.519
transcript31_ENSMUNG00000007775;1.0;0.981;0.963;0.963;0.944;0.519;1.0;0.944;1.0;0.971;0.971;0.971;0.914;0.886;0.6;0.886;0.857;0.963;0.963;0.519;1.0
transcript32_ENSMUNG00000007775;0.944;0.963;0.944;0.944;0.926;0.5;0.944;1.0;0.944;0.886;0.943;0.943;0.886;0.857;0.571;0.857;0.882;0.944;0.944;0.5;0.944
transcript33_ENSMUNG00000007775;1.0;0.981;0.963;0.963;0.944;0.519;1.0;0.944;1.0;0.971;0.971;0.971;0.914;0.886;0.6;0.886;0.857;0.963;0.963;0.519;1.0
transcript9_ENSMUNG00000002377;0.971;0.943;0.943;0.914;0.914;0.543;0.971;0.886;0.971;1.0;0.921;0.946;0.919;0.892;0.526;0.865;0.838;0.895;0.946;0.514;0.972
transcript13_ENSMUNG00000002377;0.971;1.0;1.0;0.971;0.971;0.6;0.971;0.943;0.971;0.921;1.0;0.974;0.947;0.921;0.605;0.895;0.868;0.974;0.974;0.553;0.947
transcript23_ENSMUNG00000002377;0.971;1.0;1.0;0.971;0.971;0.6;0.971;0.943;0.971;0.946;0.974;1.0;0.921;0.895;0.579;0.919;0.892;0.947;1.0;0.568;0.973
transcript27_ENSMUNG00000002377;0.914;0.943;0.943;0.914;0.914;0.543;0.914;0.886;0.914;0.919;0.947;0.921;1.0;0.972;0.553;0.842;0.816;0.921;0.921;0.5;0.895
transcript35_ENSMUNG00000002377;0.886;0.914;0.914;0.886;0.886;0.514;0.886;0.857;0.886;0.892;0.921;0.895;0.972;1.0;0.526;0.816;0.789;0.895;0.895;0.474;0.868
transcript36_ENSMUNG00000002377;0.6;0.629;0.629;0.6;0.6;0.955;0.6;0.571;0.6;0.526;0.605;0.579;0.553;0.526;1.0;0.5;0.474;0.579;0.579;0.913;0.553
transcript37_ENSMUNG00000002377;0.886;0.914;0.914;0.886;0.886;0.514;0.886;0.857;0.886;0.865;0.895;0.919;0.842;0.816;0.5;1.0;0.971;0.868;0.919;0.486;0.892
transcript38_ENSMUNG00000002377;0.857;0.886;0.886;0.857;0.857;0.486;0.857;0.882;0.857;0.838;0.868;0.892;0.816;0.789;0.474;0.971;1.0;0.842;0.892;0.459;0.865
transcript10_ENSMUNG00000002391;0.963;0.981;0.963;0.963;0.944;0.519;0.963;0.944;0.963;0.895;0.974;0.947;0.921;0.895;0.579;0.868;0.842;1.0;0.947;0.491;0.947
transcript23_ENSMUNG00000002391;0.963;0.981;1.0;0.963;0.981;0.547;0.963;0.944;0.963;0.946;0.974;1.0;0.921;0.895;0.579;0.919;0.892;0.947;1.0;0.527;0.964
transcript30_ENSMUNG00000002391;0.519;0.537;0.547;0.519;0.558;1.0;0.519;0.5;0.519;0.514;0.553;0.568;0.5;0.474;0.913;0.486;0.459;0.491;0.527;1.0;0.5
transcript33_ENSMUNG00000002391;1.0;0.981;0.963;0.963;0.944;0.519;1.0;0.944;1.0;0.972;0.947;0.973;0.895;0.868;0.553;0.892;0.865;0.947;0.964;0.5;1.0
