;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.865;0.87;0.87;0.772;0.927;0.754;0.85;0.748;0.752;0.752;0.8;0.791;0.837;0.791;0.636;0.706;0.706;0.646;0.784;0.745;0.564;0.745;0.684;0.601;0.577;0.796;0.601;0.796;0.716;0.796
transcript10_ENSMPUG00000020072;0.865;1.0;0.995;0.995;0.777;0.933;0.881;0.976;0.853;0.848;0.848;0.851;0.912;0.912;0.912;0.749;0.817;0.817;0.759;0.806;0.847;0.671;0.847;0.788;0.728;0.707;0.92;0.728;0.92;0.731;0.92
transcript17_ENSMPUG00000020072;0.87;0.995;1.0;1.0;0.781;0.938;0.885;0.981;0.848;0.852;0.852;0.766;0.914;0.907;0.914;0.744;0.812;0.812;0.754;0.801;0.842;0.666;0.842;0.783;0.723;0.702;0.915;0.723;0.915;0.727;0.915
transcript20_ENSMPUG00000020072;0.87;0.995;1.0;1.0;0.781;0.938;0.885;0.981;0.848;0.852;0.852;0.766;0.914;0.907;0.914;0.744;0.812;0.812;0.754;0.801;0.842;0.666;0.842;0.783;0.723;0.702;0.915;0.723;0.915;0.727;0.915
transcript22_ENSMPUG00000020072;0.772;0.777;0.781;0.781;1.0;0.719;0.665;0.762;0.678;0.681;0.681;0.766;0.695;0.676;0.695;0.575;0.647;0.647;0.585;0.714;0.678;0.494;0.678;0.616;0.518;0.493;0.714;0.518;0.714;0.918;0.714
transcript23_ENSMPUG00000020072;0.927;0.933;0.938;0.938;0.719;1.0;0.823;0.919;0.797;0.801;0.801;0.8;0.86;0.909;0.86;0.696;0.766;0.766;0.706;0.749;0.791;0.613;0.791;0.731;0.665;0.643;0.858;0.665;0.858;0.669;0.858
transcript24_ENSMPUG00000020072;0.754;0.881;0.885;0.885;0.665;0.823;1.0;0.866;0.763;0.766;0.766;0.766;0.813;0.801;0.813;0.656;0.726;0.726;0.666;0.714;0.757;0.577;0.757;0.696;0.616;0.593;0.81;0.616;0.81;0.619;0.81
transcript25_ENSMPUG00000020072;0.85;0.976;0.981;0.981;0.762;0.919;0.866;1.0;0.83;0.834;0.834;0.766;0.896;0.888;0.896;0.726;0.795;0.795;0.736;0.785;0.827;0.678;0.827;0.767;0.737;0.715;0.897;0.737;0.897;0.708;0.897
transcript10_ENSECAG00000007947;0.748;0.853;0.848;0.848;0.678;0.797;0.763;0.83;1.0;0.995;0.995;0.833;0.919;0.918;0.919;0.756;0.825;0.825;0.768;0.816;0.856;0.687;0.856;0.795;0.736;0.715;0.924;0.736;0.924;0.733;0.924
transcript12_ENSECAG00000007947;0.752;0.848;0.852;0.852;0.681;0.801;0.766;0.834;0.995;1.0;1.0;0.75;0.921;0.913;0.921;0.751;0.82;0.82;0.763;0.811;0.852;0.682;0.852;0.79;0.731;0.71;0.92;0.731;0.92;0.729;0.92
