;ENSCAFT00000003676_90_90;ENST00000242066_90_90;ENST00000399357_90_90;ENST00000403527_90_90;ENST00000403685_90_90;ENST00000405192_90_90;ENST00000405218_90_90;ENST00000405358_90_90;ENST00000420159_90_90;ENST00000421381_90_90;ENST00000430479_90_90;ENST00000431887_90_90;ENST00000433547_90_90;ENST00000438956_90_90;ENST00000443137_90_90;ENST00000443608_90_90;ENSMUST00000095767_90_90;ENSMUST00000159334_90_90;ENSMUST00000160244_90_90;ENSMUST00000160701_90_90;ENSMUST00000160856_90_90;ENSMUST00000160996_90_90;ENSMUST00000161164_90_90;ENSMUST00000161513_90_90;ENSMUST00000161980_90_90;ENSMUST00000162563_90_90
ENSCAFT00000003676_90_90;1.0;0.962;0.741;0.873;0.962;0.951;0.999;0.968;0.835;0.258;0.999;0.2;0.042;0.561;0.725;0.32;1.0;0.874;0.952;0.741;0.962;0.482;0.042;0.457;0.836;1.0
ENST00000242066_90_90;0.962;1.0;0.675;0.802;1.0;0.914;0.962;0.877;0.832;0.22;0.962;0.162;0.044;0.559;0.658;0.271;0.962;0.801;0.913;0.674;0.999;0.501;0.044;0.394;0.831;0.962
ENST00000399357_90_90;0.741;0.675;1.0;0.856;0.675;0.665;0.711;0.692;0.815;0.141;0.711;0.081;0.0;0.516;0.429;0.463;0.71;0.855;0.664;0.999;0.674;0.215;0.0;0.214;0.814;0.71
ENST00000403527_90_90;0.873;0.802;0.856;1.0;0.802;0.792;0.838;0.815;0.959;0.126;0.838;0.07;0.0;0.66;0.55;0.396;0.837;0.999;0.791;0.855;0.801;0.341;0.0;0.337;0.958;0.837
ENST00000403685_90_90;0.962;1.0;0.675;0.802;1.0;0.914;0.962;0.877;0.832;0.22;0.962;0.162;0.044;0.559;0.658;0.271;0.962;0.801;0.913;0.674;0.999;0.501;0.044;0.394;0.831;0.962
ENST00000405192_90_90;0.951;0.914;0.665;0.792;0.914;1.0;0.952;0.868;0.755;0.271;0.952;0.21;0.044;0.493;0.647;0.298;0.951;0.791;0.999;0.664;0.913;0.507;0.044;0.45;0.755;0.951
ENST00000405218_90_90;0.999;0.962;0.711;0.838;0.962;0.952;1.0;0.913;0.802;0.258;1.0;0.2;0.042;0.539;0.694;0.307;0.999;0.837;0.951;0.71;0.962;0.483;0.042;0.429;0.801;0.999
ENST00000405358_90_90;0.968;0.877;0.692;0.815;0.877;0.868;0.913;1.0;0.78;0.213;0.913;0.159;0.01;0.524;0.627;0.299;0.914;0.816;0.869;0.692;0.879;0.426;0.01;0.499;0.781;0.914
ENST00000420159_90_90;0.835;0.832;0.815;0.959;0.832;0.755;0.802;0.78;1.0;0.09;0.802;0.034;0.0;0.688;0.515;0.355;0.801;0.958;0.755;0.814;0.831;0.354;0.0;0.301;0.999;0.801
ENST00000421381_90_90;0.258;0.22;0.141;0.126;0.22;0.271;0.258;0.213;0.09;1.0;0.258;0.775;0.163;0.122;0.335;0.261;0.258;0.126;0.271;0.141;0.22;0.423;0.163;0.409;0.09;0.258
ENST00000430479_90_90;0.999;0.962;0.711;0.838;0.962;0.952;1.0;0.913;0.802;0.258;1.0;0.2;0.042;0.539;0.694;0.307;0.999;0.837;0.951;0.71;0.962;0.483;0.042;0.429;0.801;0.999
ENST00000431887_90_90;0.2;0.162;0.081;0.07;0.162;0.21;0.2;0.159;0.034;0.775;0.2;1.0;0.21;0.046;0.26;0.15;0.2;0.07;0.21;0.081;0.162;0.312;0.21;0.304;0.034;0.2
ENST00000433547_90_90;0.042;0.044;0.0;0.0;0.044;0.044;0.042;0.01;0.0;0.163;0.042;0.21;1.0;0.0;0.054;0.0;0.042;0.0;0.044;0.0;0.044;0.087;1.0;0.019;0.0;0.042
ENST00000438956_90_90;0.561;0.559;0.516;0.66;0.559;0.493;0.539;0.524;0.688;0.122;0.539;0.046;0.0;1.0;0.689;0.506;0.538;0.659;0.492;0.515;0.558;0.487;0.0;0.405;0.687;0.538
ENST00000443137_90_90;0.725;0.658;0.429;0.55;0.658;0.647;0.694;0.627;0.515;0.335;0.694;0.26;0.054;0.689;1.0;0.394;0.725;0.574;0.676;0.447;0.687;0.665;0.058;0.579;0.538;0.725
ENST00000443608_90_90;0.32;0.271;0.463;0.396;0.271;0.298;0.307;0.299;0.355;0.261;0.307;0.15;0.0;0.506;0.394;1.0;0.307;0.396;0.298;0.463;0.271;0.36;0.0;0.351;0.355;0.307
ENSMUST00000095767_90_90;1.0;0.962;0.71;0.837;0.962;0.951;0.999;0.914;0.801;0.258;0.999;0.2;0.042;0.538;0.725;0.307;1.0;0.838;0.952;0.711;0.962;0.482;0.042;0.429;0.802;1.0
ENSMUST00000159334_90_90;0.874;0.801;0.855;0.999;0.801;0.791;0.837;0.816;0.958;0.126;0.837;0.07;0.0;0.659;0.574;0.396;0.838;1.0;0.792;0.856;0.802;0.341;0.0;0.336;0.959;0.838
ENSMUST00000160244_90_90;0.952;0.913;0.664;0.791;0.913;0.999;0.951;0.869;0.755;0.271;0.951;0.21;0.044;0.492;0.676;0.298;0.952;0.792;1.0;0.665;0.914;0.507;0.044;0.449;0.755;0.952
ENSMUST00000160701_90_90;0.741;0.674;0.999;0.855;0.674;0.664;0.71;0.692;0.814;0.141;0.71;0.081;0.0;0.515;0.447;0.463;0.711;0.856;0.665;1.0;0.675;0.214;0.0;0.214;0.815;0.711
ENSMUST00000160856_90_90;0.962;0.999;0.674;0.801;0.999;0.913;0.962;0.879;0.831;0.22;0.962;0.162;0.044;0.558;0.687;0.271;0.962;0.802;0.914;0.675;1.0;0.501;0.044;0.394;0.832;0.962
ENSMUST00000160996_90_90;0.482;0.501;0.215;0.341;0.501;0.507;0.483;0.426;0.354;0.423;0.483;0.312;0.087;0.487;0.665;0.36;0.482;0.341;0.507;0.214;0.501;1.0;0.087;0.717;0.354;0.482
ENSMUST00000161164_90_90;0.042;0.044;0.0;0.0;0.044;0.044;0.042;0.01;0.0;0.163;0.042;0.21;1.0;0.0;0.058;0.0;0.042;0.0;0.044;0.0;0.044;0.087;1.0;0.019;0.0;0.042
ENSMUST00000161513_90_90;0.457;0.394;0.214;0.337;0.394;0.45;0.429;0.499;0.301;0.409;0.429;0.304;0.019;0.405;0.579;0.351;0.429;0.336;0.449;0.214;0.394;0.717;0.019;1.0;0.301;0.429
ENSMUST00000161980_90_90;0.836;0.831;0.814;0.958;0.831;0.755;0.801;0.781;0.999;0.09;0.801;0.034;0.0;0.687;0.538;0.355;0.802;0.959;0.755;0.815;0.832;0.354;0.0;0.301;1.0;0.802
ENSMUST00000162563_90_90;1.0;0.962;0.71;0.837;0.962;0.951;0.999;0.914;0.801;0.258;0.999;0.2;0.042;0.538;0.725;0.307;1.0;0.838;0.952;0.711;0.962;0.482;0.042;0.429;0.802;1.0
