;ENSCAFT00000024529_90_90;ENST00000326194_90_90;ENST00000355961_90_90;ENST00000359882_90_90;ENST00000361988_90_90;ENST00000367574_90_90;ENST00000470275_90_90;ENST00000472520_90_90;ENST00000485288_90_90;ENST00000489940_90_90;ENST00000528612_90_90;ENST00000537758_90_90;ENSMUST00000077595_90_90;ENSMUST00000082320_90_90;ENSMUST00000089402_90_90;ENSMUST00000089403_90_90;ENSMUST00000122943_90_90;ENSMUST00000154695_90_90
ENSCAFT00000024529_90_90;1.0;1.0;0.982;0.98;0.962;0.98;0.298;0.157;0.295;0.349;0.298;0.982;0.755;0.736;0.719;0.738;0.0;0.0
ENST00000326194_90_90;1.0;1.0;0.982;0.98;0.962;0.98;0.298;0.157;0.233;0.349;0.298;0.982;0.574;0.56;0.547;0.561;0.0;0.0
ENST00000355961_90_90;0.982;0.982;1.0;0.962;0.98;0.962;0.305;0.161;0.236;0.357;0.305;1.0;0.576;0.562;0.549;0.564;0.0;0.0
ENST00000359882_90_90;0.98;0.98;0.962;1.0;0.982;1.0;0.305;0.161;0.237;0.357;0.305;0.962;0.576;0.562;0.549;0.564;0.0;0.0
ENST00000361988_90_90;0.962;0.962;0.98;0.982;1.0;0.982;0.311;0.164;0.24;0.365;0.311;0.98;0.578;0.564;0.551;0.566;0.0;0.0
ENST00000367574_90_90;0.98;0.98;0.962;1.0;0.982;1.0;0.305;0.161;0.237;0.357;0.305;0.962;0.576;0.562;0.549;0.564;0.0;0.0
ENST00000470275_90_90;0.298;0.298;0.305;0.305;0.311;0.305;1.0;0.456;0.553;0.671;1.0;0.305;0.267;0.272;0.276;0.271;0.0;0.0
ENST00000472520_90_90;0.157;0.157;0.161;0.161;0.164;0.161;0.456;1.0;0.26;0.396;0.456;0.161;0.137;0.14;0.142;0.139;0.0;0.0
ENST00000485288_90_90;0.295;0.233;0.236;0.237;0.24;0.237;0.553;0.26;1.0;0.413;0.553;0.236;0.495;0.504;0.512;0.503;0.138;0.07
ENST00000489940_90_90;0.349;0.349;0.357;0.357;0.365;0.357;0.671;0.396;0.413;1.0;0.671;0.357;0.314;0.297;0.284;0.299;0.0;0.0
ENST00000528612_90_90;0.298;0.298;0.305;0.305;0.311;0.305;1.0;0.456;0.553;0.671;1.0;0.305;0.267;0.272;0.276;0.271;0.0;0.0
ENST00000537758_90_90;0.982;0.982;1.0;0.962;0.98;0.962;0.305;0.161;0.236;0.357;0.305;1.0;0.576;0.562;0.549;0.564;0.0;0.0
ENSMUST00000077595_90_90;0.755;0.574;0.576;0.576;0.578;0.576;0.267;0.137;0.495;0.314;0.267;0.576;1.0;0.983;0.966;0.982;0.144;0.091
ENSMUST00000082320_90_90;0.736;0.56;0.562;0.562;0.564;0.562;0.272;0.14;0.504;0.297;0.272;0.562;0.983;1.0;0.982;0.966;0.147;0.093
ENSMUST00000089402_90_90;0.719;0.547;0.549;0.549;0.551;0.549;0.276;0.142;0.512;0.284;0.276;0.549;0.966;0.982;1.0;0.983;0.149;0.095
ENSMUST00000089403_90_90;0.738;0.561;0.564;0.564;0.566;0.564;0.271;0.139;0.503;0.299;0.271;0.564;0.982;0.966;0.983;1.0;0.147;0.093
ENSMUST00000122943_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.138;0.0;0.0;0.0;0.144;0.147;0.149;0.147;1.0;0.277
ENSMUST00000154695_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.0;0.0;0.091;0.093;0.095;0.093;0.277;1.0
