;ENSCAFT00000015963_90_90;ENST00000285737_90_90;ENST00000416006_90_90;ENST00000535754_90_90;ENST00000565867_90_90;ENST00000566755_90_90;ENST00000570174_90_90;ENSMUST00000034141_90_90;ENSMUST00000121673_90_90;ENSMUST00000122188_90_90;ENSMUST00000155433_90_90;ENSMUST00000163987_90_90
ENSCAFT00000015963_90_90;1.0;0.903;0.67;0.829;0.149;0.307;0.313;0.903;0.427;0.724;0.738;0.427
ENST00000285737_90_90;0.903;1.0;0.67;0.921;0.176;0.307;0.313;0.904;0.464;0.766;0.664;0.464
ENST00000416006_90_90;0.67;0.67;1.0;0.721;0.035;0.276;0.376;0.601;0.265;0.517;0.775;0.265
ENST00000535754_90_90;0.829;0.921;0.721;1.0;0.191;0.229;0.341;0.831;0.503;0.757;0.597;0.503
ENST00000565867_90_90;0.149;0.176;0.035;0.191;1.0;0.0;0.0;0.176;0.356;0.214;0.032;0.356
ENST00000566755_90_90;0.307;0.307;0.276;0.229;0.0;1.0;0.038;0.307;0.0;0.198;0.359;0.0
ENST00000570174_90_90;0.313;0.313;0.376;0.341;0.0;0.038;1.0;0.28;0.099;0.248;0.309;0.099
ENSMUST00000034141_90_90;0.903;0.904;0.601;0.831;0.176;0.307;0.28;1.0;0.464;0.811;0.737;0.464
ENSMUST00000121673_90_90;0.427;0.464;0.265;0.503;0.356;0.0;0.099;0.464;1.0;0.571;0.244;1.0
ENSMUST00000122188_90_90;0.724;0.766;0.517;0.757;0.214;0.198;0.248;0.811;0.571;1.0;0.564;0.571
ENSMUST00000155433_90_90;0.738;0.664;0.775;0.597;0.032;0.359;0.309;0.737;0.244;0.564;1.0;0.244
ENSMUST00000163987_90_90;0.427;0.464;0.265;0.503;0.356;0.0;0.099;0.464;1.0;0.571;0.244;1.0
