;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript7_ENSMSIG00000000513;1.0;0.334;0.406;0.374;0.406;0.519;0.679;0.802;0.308;0.733;0.629;0.747;0.605;0.779;0.59;0.556;0.579;0.579;0.6;0.597;0.605;0.626;0.612
transcript38_ENSMSIG00000000513;0.334;1.0;0.993;1.0;0.679;0.671;0.376;0.383;0.728;0.304;0.461;0.186;0.172;0.315;0.397;0.383;0.407;0.407;0.407;0.405;0.379;0.363;0.387
transcript38_MGP-SPRETEiJ-G0021131;0.406;0.993;1.0;0.993;0.671;0.676;0.42;0.429;0.682;0.327;0.498;0.211;0.191;0.352;0.502;0.477;0.508;0.508;0.513;0.511;0.478;0.458;0.487
transcript38_ENSMUSG00000054036;0.374;1.0;0.993;1.0;0.679;0.671;0.376;0.383;0.679;0.32;0.485;0.197;0.182;0.33;0.471;0.453;0.481;0.481;0.481;0.478;0.452;0.43;0.457
transcript52_ENSMSIG00000000513;0.406;0.679;0.671;0.679;1.0;0.989;0.481;0.494;0.478;0.36;0.304;0.226;0.18;0.37;0.261;0.246;0.27;0.27;0.276;0.275;0.261;0.262;0.256
transcript52_MGP-SPRETEiJ-G0021131;0.519;0.671;0.676;0.671;0.989;1.0;0.559;0.576;0.448;0.394;0.327;0.264;0.201;0.423;0.328;0.305;0.336;0.336;0.347;0.346;0.328;0.331;0.321
transcript58_ENSMSIG00000000513;0.679;0.376;0.42;0.376;0.481;0.559;1.0;1.0;0.334;0.632;0.532;0.525;0.446;0.603;0.452;0.444;0.442;0.442;0.451;0.448;0.441;0.44;0.43
transcript58_ENSMUSG00000054036;0.802;0.383;0.429;0.383;0.494;0.576;1.0;1.0;0.319;0.68;0.566;0.57;0.481;0.65;0.542;0.533;0.533;0.533;0.543;0.539;0.537;0.533;0.518
transcript63_MGP-SPRETEiJ-G0021131;0.308;0.728;0.682;0.679;0.478;0.448;0.334;0.319;1.0;0.559;0.73;0.471;0.446;0.556;0.73;0.699;0.699;0.699;0.73;0.727;0.68;0.673;0.703
transcript54_ENSMUSG00000054036;0.733;0.304;0.327;0.32;0.36;0.394;0.632;0.68;0.559;1.0;0.858;0.927;0.791;0.947;0.826;0.788;0.788;0.788;0.829;0.824;0.804;0.828;0.808
transcript55_ENSMUSG00000054036;0.629;0.461;0.498;0.485;0.304;0.327;0.532;0.566;0.73;0.858;1.0;0.784;0.761;0.817;0.966;0.928;0.928;0.928;0.966;0.961;0.925;0.921;0.945
transcript8_MGP-CAROLIEiJ-G0020234;0.747;0.186;0.211;0.197;0.226;0.264;0.525;0.57;0.471;0.927;0.784;1.0;0.933;0.988;0.68;0.651;0.651;0.651;0.684;0.68;0.669;0.694;0.678
transcript8_ENSRNOG00000031503;0.605;0.172;0.191;0.182;0.18;0.201;0.446;0.481;0.446;0.791;0.761;0.933;1.0;0.787;0.623;0.661;0.646;0.646;0.612;0.612;0.642;0.602;0.602
transcript47_MGP-CAROLIEiJ-G0020234;0.779;0.315;0.352;0.33;0.37;0.423;0.603;0.65;0.556;0.947;0.817;0.988;0.787;1.0;0.718;0.673;0.694;0.694;0.727;0.723;0.703;0.724;0.709
transcript39_MGP-PahariEiJ-G0020237;0.59;0.397;0.502;0.471;0.261;0.328;0.452;0.542;0.73;0.826;0.966;0.68;0.623;0.718;1.0;0.952;0.952;0.952;1.0;1.0;0.95;0.962;0.982
transcript39_ENSRNOG00000031503;0.556;0.383;0.477;0.453;0.246;0.305;0.444;0.533;0.699;0.788;0.928;0.651;0.661;0.673;0.952;1.0;0.979;0.979;0.934;0.934;0.979;0.897;0.916
transcript31_ENSRNOG00000031503;0.579;0.407;0.508;0.481;0.27;0.336;0.442;0.533;0.699;0.788;0.928;0.651;0.646;0.694;0.952;0.979;1.0;1.0;0.953;0.953;1.0;0.916;0.936
transcript32_ENSRNOG00000031503;0.579;0.407;0.508;0.481;0.27;0.336;0.442;0.533;0.699;0.788;0.928;0.651;0.646;0.694;0.952;0.979;1.0;1.0;0.953;0.953;1.0;0.916;0.936
transcript32_ENSMUGG00000013649;0.6;0.407;0.513;0.481;0.276;0.347;0.451;0.543;0.73;0.829;0.966;0.684;0.612;0.727;1.0;0.934;0.953;0.953;1.0;0.995;0.952;0.964;0.983
