;ENSCAFT00000044998_90_90;ENST00000158771_90_90;ENST00000570848_90_90;ENST00000571476_90_90;ENST00000571971_90_90;ENST00000572834_90_90;ENST00000573637_90_90;ENST00000574952_90_90;ENST00000575605_90_90;ENST00000576551_90_90;ENSMUST00000018586_90_90;ENSMUST00000108523_90_90;ENSMUST00000131340_90_90;ENSMUST00000132198_90_90;ENSMUST00000143850_90_90;ENSMUST00000171041_90_90
ENSCAFT00000044998_90_90;1.0;0.999;0.544;0.329;0.778;0.31;0.144;0.144;0.601;0.322;0.347;0.944;0.096;0.144;1.0;0.69
ENST00000158771_90_90;0.999;1.0;0.514;0.329;0.735;0.31;0.112;0.112;0.569;0.316;0.348;0.963;0.082;0.137;0.999;0.689
ENST00000570848_90_90;0.544;0.514;1.0;0.491;0.72;0.514;0.161;0.161;0.425;0.565;0.574;0.56;0.134;0.242;0.544;0.234
ENST00000571476_90_90;0.329;0.329;0.491;1.0;0.357;0.468;0.198;0.198;0.111;0.846;0.948;0.339;0.191;0.317;0.329;0.038
ENST00000571971_90_90;0.778;0.735;0.72;0.357;1.0;0.37;0.128;0.128;0.492;0.407;0.406;0.801;0.101;0.174;0.778;0.469
ENST00000572834_90_90;0.31;0.31;0.514;0.468;0.37;1.0;0.241;0.241;0.1;0.508;0.51;0.319;0.198;0.401;0.31;0.096
ENST00000573637_90_90;0.144;0.112;0.161;0.198;0.128;0.241;1.0;1.0;0.0;0.223;0.226;0.114;0.631;0.447;0.112;0.0
ENST00000574952_90_90;0.144;0.112;0.161;0.198;0.128;0.241;1.0;1.0;0.0;0.223;0.226;0.114;0.631;0.447;0.112;0.0
ENST00000575605_90_90;0.601;0.569;0.425;0.111;0.492;0.1;0.0;0.0;1.0;0.132;0.117;0.567;0.0;0.0;0.601;0.668
ENST00000576551_90_90;0.322;0.316;0.565;0.846;0.407;0.508;0.223;0.223;0.132;1.0;0.928;0.331;0.193;0.377;0.322;0.015
ENSMUST00000018586_90_90;0.347;0.348;0.574;0.948;0.406;0.51;0.226;0.226;0.117;0.928;1.0;0.347;0.184;0.363;0.347;0.038
ENSMUST00000108523_90_90;0.944;0.963;0.56;0.339;0.801;0.319;0.114;0.114;0.567;0.331;0.347;1.0;0.082;0.137;0.938;0.638
ENSMUST00000131340_90_90;0.096;0.082;0.134;0.191;0.101;0.198;0.631;0.631;0.0;0.193;0.184;0.082;1.0;0.454;0.082;0.0
ENSMUST00000132198_90_90;0.144;0.137;0.242;0.317;0.174;0.401;0.447;0.447;0.0;0.377;0.363;0.137;0.454;1.0;0.137;0.0
ENSMUST00000143850_90_90;1.0;0.999;0.544;0.329;0.778;0.31;0.112;0.112;0.601;0.322;0.347;0.938;0.082;0.137;1.0;0.69
ENSMUST00000171041_90_90;0.69;0.689;0.234;0.038;0.469;0.096;0.0;0.0;0.668;0.015;0.038;0.638;0.0;0.0;0.69;1.0
