;ENSCAFT00000017733_90_90;ENST00000283256_90_90;ENST00000375427_90_90;ENST00000375437_90_90;ENST00000424833_90_90;ENST00000486878_90_90;ENST00000631182_90_90;ENST00000636071_90_90;ENST00000636135_90_90;ENST00000636384_90_90;ENST00000636662_90_90;ENST00000636769_90_90;ENST00000636985_90_90;ENST00000637266_90_90;ENST00000637367_90_90;ENSMUST00000028377_90_90;ENSMUST00000100067_90_90;ENSMUST00000144254_90_90;ENSMUST00000200829_90_90;ENSMUST00000202162_90_90;ENSMUST00000202508_90_90
ENSCAFT00000017733_90_90;1.0;0.853;0.839;0.853;0.321;0.151;0.839;0.839;0.335;0.437;0.044;0.437;0.778;0.853;0.044;0.94;0.94;0.33;0.955;0.047;0.071
ENST00000283256_90_90;0.853;1.0;0.894;1.0;0.401;0.156;0.894;0.894;0.411;0.558;0.046;0.558;0.917;1.0;0.046;0.804;0.804;0.34;0.891;0.049;0.073
ENST00000375427_90_90;0.839;0.894;1.0;0.894;0.321;0.097;1.0;1.0;0.335;0.472;0.046;0.472;0.816;0.894;0.046;0.891;0.891;0.268;0.804;0.049;0.073
ENST00000375437_90_90;0.853;1.0;0.894;1.0;0.401;0.156;0.894;0.894;0.411;0.558;0.046;0.558;0.917;1.0;0.046;0.804;0.804;0.34;0.891;0.049;0.073
ENST00000424833_90_90;0.321;0.401;0.321;0.401;1.0;0.359;0.321;0.321;0.742;0.669;0.129;0.67;0.318;0.401;0.129;0.283;0.283;0.873;0.354;0.0;0.0
ENST00000486878_90_90;0.151;0.156;0.097;0.156;0.359;1.0;0.097;0.097;0.229;0.247;0.0;0.247;0.17;0.156;0.0;0.118;0.118;0.44;0.179;0.0;0.0
ENST00000631182_90_90;0.839;0.894;1.0;0.894;0.321;0.097;1.0;1.0;0.335;0.472;0.046;0.472;0.816;0.894;0.046;0.891;0.891;0.268;0.804;0.049;0.073
ENST00000636071_90_90;0.839;0.894;1.0;0.894;0.321;0.097;1.0;1.0;0.335;0.472;0.046;0.472;0.816;0.894;0.046;0.891;0.891;0.268;0.804;0.049;0.073
ENST00000636135_90_90;0.335;0.411;0.335;0.411;0.742;0.229;0.335;0.335;1.0;0.667;0.115;0.668;0.332;0.411;0.115;0.296;0.296;0.649;0.365;0.0;0.0
ENST00000636384_90_90;0.437;0.558;0.472;0.558;0.669;0.247;0.472;0.472;0.667;1.0;0.088;0.925;0.478;0.558;0.088;0.398;0.398;0.595;0.468;0.0;0.0
ENST00000636662_90_90;0.044;0.046;0.046;0.046;0.129;0.0;0.046;0.046;0.115;0.088;1.0;0.088;0.0;0.046;1.0;0.044;0.044;0.133;0.044;0.0;0.0
ENST00000636769_90_90;0.437;0.558;0.472;0.558;0.67;0.247;0.472;0.472;0.668;0.925;0.088;1.0;0.478;0.558;0.088;0.398;0.398;0.595;0.468;0.0;0.0
ENST00000636985_90_90;0.778;0.917;0.816;0.917;0.318;0.17;0.816;0.816;0.332;0.478;0.0;0.478;1.0;0.917;0.0;0.732;0.732;0.259;0.815;0.052;0.081
ENST00000637266_90_90;0.853;1.0;0.894;1.0;0.401;0.156;0.894;0.894;0.411;0.558;0.046;0.558;0.917;1.0;0.046;0.804;0.804;0.34;0.891;0.049;0.073
ENST00000637367_90_90;0.044;0.046;0.046;0.046;0.129;0.0;0.046;0.046;0.115;0.088;1.0;0.088;0.0;0.046;1.0;0.044;0.044;0.133;0.044;0.0;0.0
ENSMUST00000028377_90_90;0.94;0.804;0.891;0.804;0.283;0.118;0.891;0.891;0.296;0.398;0.044;0.398;0.732;0.804;0.044;1.0;1.0;0.29;0.898;0.047;0.071
ENSMUST00000100067_90_90;0.94;0.804;0.891;0.804;0.283;0.118;0.891;0.891;0.296;0.398;0.044;0.398;0.732;0.804;0.044;1.0;1.0;0.29;0.898;0.047;0.071
ENSMUST00000144254_90_90;0.33;0.34;0.268;0.34;0.873;0.44;0.268;0.268;0.649;0.595;0.133;0.595;0.259;0.34;0.133;0.29;0.29;1.0;0.364;0.0;0.0
ENSMUST00000200829_90_90;0.955;0.891;0.804;0.891;0.354;0.179;0.804;0.804;0.365;0.468;0.044;0.468;0.815;0.891;0.044;0.898;0.898;0.364;1.0;0.047;0.071
ENSMUST00000202162_90_90;0.047;0.049;0.049;0.049;0.0;0.0;0.049;0.049;0.0;0.0;0.0;0.0;0.052;0.049;0.0;0.047;0.047;0.0;0.047;1.0;0.797
ENSMUST00000202508_90_90;0.071;0.073;0.073;0.073;0.0;0.0;0.073;0.073;0.0;0.0;0.0;0.0;0.081;0.073;0.0;0.071;0.071;0.0;0.071;0.797;1.0
