;ENSCAFT00000005580_90_90;ENSCAFT00000005583_90_90;ENST00000272238_90_90;ENST00000381661_90_90;ENST00000635370_90_90;ENSMUST00000020884_90_90;ENSMUST00000095820_90_90;ENSMUST00000127185_90_90;ENSMUST00000140751_90_90;ENSMUST00000143131_90_90;ENSMUST00000153090_90_90;ENSMUST00000156727_90_90;ENSMUST00000221129_90_90;ENSMUST00000222103_90_90
ENSCAFT00000005580_90_90;1.0;0.978;0.054;0.067;0.054;0.308;0.262;0.091;0.281;0.016;0.219;0.348;0.266;0.074
ENSCAFT00000005583_90_90;0.978;1.0;0.054;0.066;0.053;0.323;0.277;0.089;0.277;0.016;0.215;0.37;0.262;0.072
ENST00000272238_90_90;0.054;0.054;1.0;0.679;0.981;0.253;0.264;0.19;0.264;0.352;0.279;0.0;0.268;0.491
ENST00000381661_90_90;0.067;0.066;0.679;1.0;0.667;0.149;0.156;0.238;0.156;0.217;0.167;0.0;0.159;0.383
ENST00000635370_90_90;0.054;0.053;0.981;0.667;1.0;0.25;0.26;0.186;0.26;0.345;0.275;0.0;0.264;0.482
ENSMUST00000020884_90_90;0.308;0.323;0.253;0.149;0.25;1.0;0.927;0.39;0.795;0.488;0.829;0.439;0.902;0.373
ENSMUST00000095820_90_90;0.262;0.277;0.264;0.156;0.26;0.927;1.0;0.421;0.854;0.526;0.895;0.474;0.974;0.396
ENSMUST00000127185_90_90;0.091;0.089;0.19;0.238;0.186;0.39;0.421;1.0;0.421;0.5;0.471;0.133;0.432;0.324
ENSMUST00000140751_90_90;0.281;0.277;0.264;0.156;0.26;0.795;0.854;0.421;1.0;0.526;0.895;0.366;0.875;0.396
ENSMUST00000143131_90_90;0.016;0.016;0.352;0.217;0.345;0.488;0.526;0.5;0.526;1.0;0.588;0.0;0.541;0.633
ENSMUST00000153090_90_90;0.219;0.215;0.279;0.167;0.275;0.829;0.895;0.471;0.895;0.588;1.0;0.368;0.919;0.432
ENSMUST00000156727_90_90;0.348;0.37;0.0;0.0;0.0;0.439;0.474;0.133;0.366;0.0;0.368;1.0;0.447;0.0
ENSMUST00000221129_90_90;0.266;0.262;0.268;0.159;0.264;0.902;0.974;0.432;0.875;0.541;0.919;0.447;1.0;0.404
ENSMUST00000222103_90_90;0.074;0.072;0.491;0.383;0.482;0.373;0.396;0.324;0.396;0.633;0.432;0.0;0.404;1.0
