;ENSCAFT00000014940_90_90;ENSCAFT00000016916_90_90;ENSCAFT00000023521_90_90;ENST00000342558_90_90;ENST00000360663_90_90;ENST00000394828_90_90;ENST00000394829_90_90;ENST00000430762_90_90;ENST00000323055_90_90;ENST00000394853_90_90;ENST00000394854_90_90;ENST00000492351_90_90;ENST00000507176_90_90;ENST00000512215_90_90;ENST00000525819_90_90;ENST00000529324_90_90;ENSMUST00000022355_90_90;ENSMUST00000159027_90_90;ENSMUST00000161445_90_90;ENSMUST00000161989_90_90;ENSMUST00000056758_90_90;ENSMUST00000070198_90_90
ENSCAFT00000014940_90_90;1.0;0.979;0.508;0.533;0.383;0.424;0.417;0.25;0.938;0.958;0.939;0.02;0.729;0.224;0.354;0.479;0.448;0.441;0.407;0.593;0.979;1.0
ENSCAFT00000016916_90_90;0.979;1.0;0.5;0.525;0.377;0.417;0.41;0.246;0.918;0.939;0.959;0.02;0.75;0.245;0.347;0.469;0.441;0.433;0.4;0.583;1.0;0.979
ENSCAFT00000023521_90_90;0.508;0.5;1.0;0.714;0.582;0.6;0.589;0.254;0.492;0.485;0.478;0.019;0.359;0.123;0.232;0.271;0.6;0.589;0.582;0.719;0.5;0.508
ENST00000342558_90_90;0.533;0.525;0.714;1.0;0.723;0.708;0.694;0.283;0.517;0.508;0.5;0.021;0.373;0.137;0.26;0.278;0.673;0.66;0.688;0.917;0.525;0.533
ENST00000360663_90_90;0.383;0.377;0.582;0.723;1.0;0.921;0.947;0.405;0.367;0.361;0.355;0.026;0.22;0.167;0.317;0.333;0.872;0.897;0.946;0.66;0.377;0.383
ENST00000394828_90_90;0.424;0.417;0.6;0.708;0.921;1.0;0.974;0.429;0.407;0.4;0.393;0.026;0.259;0.163;0.31;0.386;0.947;0.923;0.872;0.714;0.417;0.424
ENST00000394829_90_90;0.417;0.41;0.589;0.694;0.947;0.974;1.0;0.452;0.4;0.393;0.387;0.025;0.254;0.159;0.302;0.378;0.923;0.949;0.897;0.7;0.41;0.417
ENST00000430762_90_90;0.25;0.246;0.254;0.283;0.405;0.429;0.452;1.0;0.255;0.25;0.246;0.0;0.311;0.0;0.079;0.237;0.429;0.452;0.405;0.321;0.246;0.25
ENST00000323055_90_90;0.938;0.918;0.492;0.517;0.367;0.407;0.4;0.255;1.0;0.979;0.958;0.043;0.708;0.229;0.391;0.522;0.431;0.424;0.39;0.576;0.918;0.938
ENST00000394853_90_90;0.958;0.939;0.485;0.508;0.361;0.4;0.393;0.25;0.979;1.0;0.979;0.042;0.729;0.25;0.383;0.511;0.424;0.417;0.383;0.567;0.939;0.958
ENST00000394854_90_90;0.939;0.959;0.478;0.5;0.355;0.393;0.387;0.246;0.958;0.979;1.0;0.041;0.75;0.271;0.375;0.5;0.417;0.41;0.377;0.557;0.959;0.939
ENST00000492351_90_90;0.02;0.02;0.019;0.021;0.026;0.026;0.025;0.0;0.043;0.042;0.041;1.0;0.0;0.143;0.105;0.08;0.026;0.025;0.026;0.02;0.02;0.02
ENST00000507176_90_90;0.729;0.75;0.359;0.373;0.22;0.259;0.254;0.311;0.708;0.729;0.75;0.0;1.0;0.089;0.174;0.304;0.281;0.276;0.241;0.431;0.75;0.729
ENST00000512215_90_90;0.224;0.245;0.123;0.137;0.167;0.163;0.159;0.0;0.229;0.25;0.271;0.143;0.089;1.0;0.292;0.233;0.163;0.159;0.167;0.132;0.245;0.224
ENST00000525819_90_90;0.354;0.347;0.232;0.26;0.317;0.31;0.302;0.079;0.391;0.383;0.375;0.105;0.174;0.292;1.0;0.75;0.31;0.302;0.317;0.25;0.347;0.354
ENST00000529324_90_90;0.479;0.469;0.271;0.278;0.333;0.386;0.378;0.237;0.522;0.511;0.5;0.08;0.304;0.233;0.75;1.0;0.419;0.409;0.364;0.34;0.469;0.479
ENSMUST00000022355_90_90;0.448;0.441;0.6;0.673;0.872;0.947;0.923;0.429;0.431;0.424;0.417;0.026;0.281;0.163;0.31;0.419;1.0;0.974;0.921;0.75;0.441;0.448
ENSMUST00000159027_90_90;0.441;0.433;0.589;0.66;0.897;0.923;0.949;0.452;0.424;0.417;0.41;0.025;0.276;0.159;0.302;0.409;0.974;1.0;0.947;0.735;0.433;0.441
ENSMUST00000161445_90_90;0.407;0.4;0.582;0.688;0.946;0.872;0.897;0.405;0.39;0.383;0.377;0.026;0.241;0.167;0.317;0.364;0.921;0.947;1.0;0.694;0.4;0.407
ENSMUST00000161989_90_90;0.593;0.583;0.719;0.917;0.66;0.714;0.7;0.321;0.576;0.567;0.557;0.02;0.431;0.132;0.25;0.34;0.75;0.735;0.694;1.0;0.583;0.593
ENSMUST00000056758_90_90;0.979;1.0;0.5;0.525;0.377;0.417;0.41;0.246;0.918;0.939;0.959;0.02;0.75;0.245;0.347;0.469;0.441;0.433;0.4;0.583;1.0;0.979
ENSMUST00000070198_90_90;1.0;0.979;0.508;0.533;0.383;0.424;0.417;0.25;0.938;0.958;0.939;0.02;0.729;0.224;0.354;0.479;0.448;0.441;0.407;0.593;0.979;1.0
