;transcript24_ENSAPOG00000023408;transcript7_ENSAPOG00000023408;transcript20_ENSAPOG00000016134;transcript23_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript12_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript8_ENSAPOG00000016134;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript17_ENSHGLG00000019563;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSXMAG00000026005;transcript0_ENSPNYG00000024266;transcript22_ENSMUNG00000002391;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391
transcript24_ENSAPOG00000023408;1.0;0.982;0.896;0.785;0.668;0.885;0.885;0.588;0.588;0.776;0.715;0.715;0.724;0.692;0.7;0.7;0.213;0.642;0.75;0.592;0.592;0.592;0.717;0.757;0.757;0.865;0.767;0.695
transcript7_ENSAPOG00000023408;0.982;1.0;0.913;0.803;0.688;0.902;0.902;0.606;0.606;0.791;0.737;0.737;0.745;0.713;0.721;0.721;0.209;0.664;0.765;0.611;0.611;0.611;0.738;0.771;0.771;0.89;0.782;0.716
transcript20_ENSAPOG00000016134;0.896;0.913;1.0;0.856;0.692;0.984;0.984;0.67;0.671;0.835;0.806;0.806;0.816;0.778;0.788;0.788;0.322;0.736;0.807;0.674;0.674;0.674;0.725;0.814;0.814;0.86;0.826;0.783
transcript23_ENSAPOG00000023408;0.785;0.803;0.856;1.0;0.606;0.872;0.872;0.634;0.636;0.767;0.774;0.774;0.775;0.748;0.749;0.749;0.239;0.692;0.746;0.64;0.64;0.64;0.632;0.748;0.748;0.755;0.758;0.752
transcript22_ENSAPOG00000023408;0.668;0.688;0.692;0.606;1.0;0.682;0.682;0.819;0.819;0.594;0.819;0.819;0.819;0.791;0.791;0.791;0.271;0.734;0.575;0.785;0.785;0.785;0.992;0.578;0.578;1.0;0.586;0.795
transcript12_ENSAPOG00000023408;0.885;0.902;0.984;0.872;0.682;1.0;1.0;0.703;0.705;0.88;0.851;0.851;0.862;0.824;0.834;0.834;0.356;0.781;0.851;0.71;0.71;0.71;0.711;0.858;0.858;0.842;0.87;0.828
transcript12_ENSAPOG00000016134;0.885;0.902;0.984;0.872;0.682;1.0;1.0;0.685;0.687;0.849;0.825;0.825;0.835;0.796;0.806;0.806;0.342;0.754;0.82;0.69;0.69;0.69;0.711;0.827;0.827;0.842;0.839;0.801
transcript10_ENSAPOG00000016134;0.588;0.606;0.67;0.634;0.819;0.703;0.685;1.0;0.998;0.74;0.997;0.997;0.997;0.962;0.962;0.962;0.503;0.91;0.717;0.956;0.956;0.956;0.767;0.719;0.719;0.773;0.73;0.967
transcript17_ENSAPOG00000016134;0.588;0.606;0.671;0.636;0.819;0.705;0.687;0.998;1.0;0.741;1.0;1.0;1.0;0.964;0.964;0.964;0.505;0.913;0.718;0.958;0.958;0.958;0.767;0.72;0.72;0.773;0.732;0.97
transcript8_ENSAPOG00000016134;0.776;0.791;0.835;0.767;0.594;0.88;0.849;0.74;0.741;1.0;0.875;0.875;0.903;0.847;0.874;0.874;0.451;0.826;0.967;0.742;0.742;0.742;0.588;0.974;0.974;0.676;0.969;0.851
