;ENSCAFT00000047985_90_90;ENST00000320280_90_90;ENST00000510030_90_90;ENST00000511551_90_90;ENST00000614488_90_90;ENST00000618166_90_90;ENST00000621999_90_90;ENSMUST00000022197_90_90;ENSMUST00000138255_90_90;ENSMUST00000152555_90_90;ENSMUST00000153558_90_90
ENSCAFT00000047985_90_90;1.0;0.607;0.124;0.312;0.408;0.867;0.944;0.919;0.343;0.846;0.846
ENST00000320280_90_90;0.607;1.0;0.0;0.035;0.192;0.658;0.607;0.613;0.275;0.718;0.718
ENST00000510030_90_90;0.124;0.0;1.0;0.351;0.268;0.135;0.124;0.125;0.362;0.147;0.147
ENST00000511551_90_90;0.312;0.035;0.351;1.0;0.487;0.176;0.247;0.241;0.324;0.166;0.166
ENST00000614488_90_90;0.408;0.192;0.268;0.487;1.0;0.388;0.464;0.381;0.625;0.311;0.311
ENST00000618166_90_90;0.867;0.658;0.135;0.176;0.388;1.0;0.923;0.828;0.372;0.917;0.917
ENST00000621999_90_90;0.944;0.607;0.124;0.247;0.464;0.923;1.0;0.889;0.343;0.846;0.846
ENSMUST00000022197_90_90;0.919;0.613;0.125;0.241;0.381;0.828;0.889;1.0;0.343;0.846;0.846
ENSMUST00000138255_90_90;0.343;0.275;0.362;0.324;0.625;0.372;0.343;0.343;1.0;0.406;0.406
ENSMUST00000152555_90_90;0.846;0.718;0.147;0.166;0.311;0.917;0.846;0.846;0.406;1.0;1.0
ENSMUST00000153558_90_90;0.846;0.718;0.147;0.166;0.311;0.917;0.846;0.846;0.406;1.0;1.0
