;ENSCAFT00000022237_90_90;ENST00000423692_90_90;ENST00000431645_90_90;ENST00000448764_90_90;ENST00000449389_90_90;ENST00000611405_90_90;ENST00000614370_90_90;ENST00000614484_90_90;ENST00000618262_90_90;ENST00000618411_90_90;ENST00000641476_90_90;ENSMUST00000040873_90_90;ENSMUST00000196109_90_90;ENSMUST00000197466_90_90;ENSMUST00000197484_90_90;ENSMUST00000198526_90_90;ENSMUST00000199243_90_90;ENSMUST00000199365_90_90;ENSMUST00000199605_90_90;ENSMUST00000199756_90_90;ENSMUST00000223263_90_90
ENSCAFT00000022237_90_90;1.0;0.377;0.393;0.0;0.0;0.918;0.131;0.918;0.918;0.918;0.361;0.9;0.0;0.9;0.22;0.9;0.9;0.0;0.02;0.0;0.16
ENST00000423692_90_90;0.377;1.0;0.0;0.0;0.0;0.304;0.0;0.308;0.308;0.312;0.958;0.118;0.0;0.122;0.312;0.13;0.12;0.0;0.0;0.0;0.0
ENST00000431645_90_90;0.393;0.0;1.0;0.0;0.0;0.272;0.185;0.275;0.275;0.278;0.0;0.196;0.0;0.205;0.357;0.22;0.2;0.0;0.0;0.0;0.0
ENST00000448764_90_90;0.0;0.0;0.0;1.0;0.25;0.19;0.0;0.177;0.177;0.165;0.0;0.304;0.75;0.289;0.0;0.17;0.311;0.059;0.318;0.2;0.0
ENST00000449389_90_90;0.0;0.0;0.0;0.25;1.0;0.05;0.0;0.051;0.051;0.051;0.0;0.087;0.059;0.091;0.0;0.098;0.089;0.0;0.267;0.0;0.0
ENST00000611405_90_90;0.918;0.304;0.272;0.19;0.05;1.0;0.061;0.987;0.987;0.975;0.291;0.849;0.269;0.811;0.192;0.755;0.83;0.077;0.264;0.077;0.0
ENST00000614370_90_90;0.131;0.0;0.185;0.0;0.0;0.061;1.0;0.062;0.062;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000614484_90_90;0.918;0.308;0.275;0.177;0.051;0.987;0.062;1.0;0.975;0.987;0.295;0.83;0.25;0.792;0.196;0.736;0.811;0.078;0.269;0.078;0.0
ENST00000618262_90_90;0.918;0.308;0.275;0.177;0.051;0.987;0.062;0.975;1.0;0.987;0.295;0.83;0.25;0.827;0.196;0.769;0.811;0.078;0.269;0.078;0.0
ENST00000618411_90_90;0.918;0.312;0.278;0.165;0.051;0.975;0.062;0.987;0.987;1.0;0.299;0.811;0.231;0.808;0.2;0.75;0.792;0.08;0.275;0.08;0.0
ENST00000641476_90_90;0.361;0.958;0.0;0.0;0.0;0.291;0.0;0.295;0.295;0.299;1.0;0.098;0.0;0.102;0.333;0.109;0.1;0.0;0.0;0.0;0.0
ENSMUST00000040873_90_90;0.9;0.118;0.196;0.304;0.087;0.849;0.0;0.83;0.83;0.811;0.098;1.0;0.209;0.97;0.085;0.855;0.985;0.029;0.203;0.061;0.121
ENSMUST00000196109_90_90;0.0;0.0;0.0;0.75;0.059;0.269;0.0;0.25;0.25;0.231;0.0;0.209;1.0;0.179;0.0;0.1;0.194;0.053;0.231;0.267;0.0
ENSMUST00000197466_90_90;0.9;0.122;0.205;0.289;0.091;0.811;0.0;0.792;0.827;0.808;0.102;0.97;0.179;1.0;0.087;0.881;0.985;0.03;0.209;0.046;0.125
ENSMUST00000197484_90_90;0.22;0.312;0.357;0.0;0.0;0.192;0.0;0.196;0.196;0.2;0.333;0.085;0.0;0.087;1.0;0.09;0.086;0.0;0.0;0.0;0.0
ENSMUST00000198526_90_90;0.9;0.13;0.22;0.17;0.098;0.755;0.0;0.736;0.769;0.75;0.109;0.855;0.1;0.881;0.09;1.0;0.868;0.081;0.274;0.0;0.129
ENSMUST00000199243_90_90;0.9;0.12;0.2;0.311;0.089;0.83;0.0;0.811;0.811;0.792;0.1;0.985;0.194;0.985;0.086;0.868;1.0;0.029;0.206;0.045;0.123
ENSMUST00000199365_90_90;0.0;0.0;0.0;0.059;0.0;0.077;0.0;0.078;0.078;0.08;0.0;0.029;0.053;0.03;0.0;0.081;0.029;1.0;0.294;0.0;0.0
ENSMUST00000199605_90_90;0.02;0.0;0.0;0.318;0.267;0.264;0.0;0.269;0.269;0.275;0.0;0.203;0.231;0.209;0.0;0.274;0.206;0.294;1.0;0.0;0.0
ENSMUST00000199756_90_90;0.0;0.0;0.0;0.2;0.0;0.077;0.0;0.078;0.078;0.08;0.0;0.061;0.267;0.046;0.0;0.0;0.045;0.0;0.0;1.0;0.0
ENSMUST00000223263_90_90;0.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.121;0.0;0.125;0.0;0.129;0.123;0.0;0.0;0.0;1.0
