;transcript6_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript7_ENSMUNG00000002377;transcript7_ENSMUNG00000002391;transcript19_ENSMUNG00000007775;transcript19_ENSMUNG00000002377;transcript22_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript27_ENSMUNG00000002377;transcript28_ENSMUNG00000002377;transcript3_ENSPNYG00000024266;transcript3_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.417;0.417;0.417;0.556;0.556;0.417;0.556;0.556;0.556;0.625;0.585
transcript7_ENSMUNG00000007775;0.417;1.0;1.0;1.0;0.773;0.773;1.0;0.773;0.773;0.773;0.548;0.455
transcript7_ENSMUNG00000002377;0.417;1.0;1.0;1.0;0.773;0.773;1.0;0.773;0.773;0.773;0.548;0.455
transcript7_ENSMUNG00000002391;0.417;1.0;1.0;1.0;0.773;0.773;1.0;0.773;0.773;0.773;0.548;0.455
transcript19_ENSMUNG00000007775;0.556;0.773;0.773;0.773;1.0;1.0;0.773;1.0;1.0;1.0;0.71;0.606
transcript19_ENSMUNG00000002377;0.556;0.773;0.773;0.773;1.0;1.0;0.773;1.0;1.0;1.0;0.71;0.606
transcript22_ENSMUNG00000007775;0.417;1.0;1.0;1.0;0.773;0.773;1.0;0.773;0.773;0.773;0.548;0.455
transcript23_ENSMUNG00000007775;0.556;0.773;0.773;0.773;1.0;1.0;0.773;1.0;1.0;1.0;0.71;0.606
transcript27_ENSMUNG00000002377;0.556;0.773;0.773;0.773;1.0;1.0;0.773;1.0;1.0;1.0;0.71;0.606
transcript28_ENSMUNG00000002377;0.556;0.773;0.773;0.773;1.0;1.0;0.773;1.0;1.0;1.0;0.71;0.606
transcript3_ENSPNYG00000024266;0.625;0.548;0.548;0.548;0.71;0.71;0.548;0.71;0.71;0.71;1.0;0.879
transcript3_ENSXMAG00000026005;0.585;0.455;0.455;0.455;0.606;0.606;0.455;0.606;0.606;0.606;0.879;1.0
