;ENSCAFT00000012325_90_90;ENSCAFT00000012333_90_90;ENST00000295951_90_90;ENST00000295952_90_90;ENST00000383718_90_90;ENST00000416658_90_90;ENST00000417128_90_90;ENST00000428312_90_90;ENST00000438794_90_90;ENST00000449503_90_90;ENST00000460223_90_90;ENST00000461354_90_90;ENST00000465203_90_90;ENST00000466255_90_90;ENST00000494088_90_90;ENST00000495364_90_90;ENSMUST00000038522_90_90;ENSMUST00000090359_90_90;ENSMUST00000102956_90_90;ENSMUST00000112330_90_90;ENSMUST00000112331_90_90;ENSMUST00000139075_90_90;ENSMUST00000142679_90_90;ENSMUST00000145738_90_90;ENSMUST00000146438_90_90
ENSCAFT00000012325_90_90;1.0;0.88;0.826;0.826;0.636;0.5;0.591;0.87;0.364;0.783;0.091;0.136;0.409;0.136;0.318;0.304;0.958;0.88;0.958;0.8;0.8;0.92;0.5;0.68;0.292
ENSCAFT00000012333_90_90;0.88;1.0;0.864;0.864;0.667;0.455;0.545;0.909;0.381;0.905;0.045;0.143;0.364;0.143;0.273;0.381;0.917;0.917;0.917;0.913;0.833;0.958;0.458;0.783;0.25
ENST00000295951_90_90;0.826;0.864;1.0;1.0;0.56;0.478;0.609;0.957;0.435;0.955;0.043;0.182;0.391;0.182;0.304;0.409;0.783;0.952;0.783;0.95;0.95;0.909;0.476;0.714;0.286
ENST00000295952_90_90;0.826;0.864;1.0;1.0;0.56;0.478;0.609;0.957;0.435;0.955;0.043;0.182;0.391;0.182;0.304;0.409;0.783;0.952;0.783;0.95;0.95;0.909;0.476;0.714;0.286
ENST00000383718_90_90;0.636;0.667;0.56;0.56;1.0;0.208;0.333;0.6;0.273;0.583;0.0;0.105;0.5;0.105;0.087;0.083;0.667;0.591;0.667;0.571;0.5;0.636;0.19;0.429;0.4
ENST00000416658_90_90;0.5;0.455;0.478;0.478;0.208;1.0;0.688;0.458;0.533;0.5;0.167;0.333;0.1;0.333;0.667;0.615;0.524;0.455;0.524;0.5;0.5;0.435;1.0;0.588;0.059
ENST00000417128_90_90;0.591;0.545;0.609;0.609;0.333;0.688;1.0;0.583;0.625;0.636;0.133;0.267;0.25;0.267;0.533;0.5;0.619;0.545;0.619;0.6;0.6;0.522;0.714;0.706;0.053
ENST00000428312_90_90;0.87;0.909;0.957;0.957;0.6;0.458;0.583;1.0;0.417;0.913;0.042;0.174;0.375;0.174;0.292;0.391;0.826;1.0;0.826;0.905;0.905;0.955;0.455;0.762;0.273
ENST00000438794_90_90;0.364;0.381;0.435;0.435;0.273;0.533;0.625;0.417;1.0;0.455;0.083;0.25;0.167;0.364;0.462;0.429;0.381;0.381;0.381;0.421;0.421;0.364;0.583;0.5;0.0
ENST00000449503_90_90;0.783;0.905;0.955;0.955;0.583;0.5;0.636;0.913;0.455;1.0;0.045;0.19;0.348;0.19;0.318;0.429;0.818;0.905;0.818;1.0;0.9;0.864;0.5;0.75;0.238
ENST00000460223_90_90;0.091;0.045;0.043;0.043;0.0;0.167;0.133;0.042;0.083;0.045;1.0;0.0;0.0;0.0;0.25;0.1;0.095;0.045;0.095;0.05;0.05;0.043;0.182;0.059;0.0
ENST00000461354_90_90;0.136;0.143;0.182;0.182;0.105;0.333;0.267;0.174;0.25;0.19;0.0;1.0;0.0;0.6;0.333;0.444;0.143;0.143;0.143;0.158;0.158;0.136;0.273;0.188;0.0
ENST00000465203_90_90;0.409;0.364;0.391;0.391;0.5;0.1;0.25;0.375;0.167;0.348;0.0;0.0;1.0;0.0;0.0;0.0;0.364;0.364;0.364;0.333;0.4;0.409;0.111;0.316;0.6
ENST00000466255_90_90;0.136;0.143;0.182;0.182;0.105;0.333;0.267;0.174;0.364;0.19;0.0;0.6;0.0;1.0;0.5;0.444;0.143;0.143;0.143;0.158;0.158;0.136;0.273;0.188;0.0
ENST00000494088_90_90;0.318;0.273;0.304;0.304;0.087;0.667;0.533;0.292;0.462;0.318;0.25;0.333;0.0;0.5;1.0;0.7;0.333;0.273;0.333;0.3;0.3;0.261;0.636;0.353;0.0
ENST00000495364_90_90;0.304;0.381;0.409;0.409;0.083;0.615;0.5;0.391;0.429;0.429;0.1;0.444;0.0;0.444;0.7;1.0;0.318;0.381;0.318;0.421;0.421;0.364;0.583;0.5;0.0
ENSMUST00000038522_90_90;0.958;0.917;0.783;0.783;0.667;0.524;0.619;0.826;0.381;0.818;0.095;0.143;0.364;0.143;0.333;0.318;1.0;0.84;1.0;0.833;0.76;0.88;0.522;0.708;0.25
ENSMUST00000090359_90_90;0.88;0.917;0.952;0.952;0.591;0.455;0.545;1.0;0.381;0.905;0.045;0.143;0.364;0.143;0.273;0.381;0.84;1.0;0.84;0.913;0.913;0.958;0.458;0.783;0.25
ENSMUST00000102956_90_90;0.958;0.917;0.783;0.783;0.667;0.524;0.619;0.826;0.381;0.818;0.095;0.143;0.364;0.143;0.333;0.318;1.0;0.84;1.0;0.833;0.76;0.88;0.522;0.708;0.25
ENSMUST00000112330_90_90;0.8;0.913;0.95;0.95;0.571;0.5;0.6;0.905;0.421;1.0;0.05;0.158;0.333;0.158;0.3;0.421;0.833;0.913;0.833;1.0;0.909;0.875;0.5;0.773;0.217
ENSMUST00000112331_90_90;0.8;0.833;0.95;0.95;0.5;0.5;0.6;0.905;0.421;0.9;0.05;0.158;0.4;0.158;0.3;0.421;0.76;0.913;0.76;0.909;1.0;0.875;0.5;0.773;0.273
ENSMUST00000139075_90_90;0.92;0.958;0.909;0.909;0.636;0.435;0.522;0.955;0.364;0.864;0.043;0.136;0.409;0.136;0.261;0.364;0.88;0.958;0.88;0.875;0.875;1.0;0.44;0.75;0.292
ENSMUST00000142679_90_90;0.5;0.458;0.476;0.476;0.19;1.0;0.714;0.455;0.583;0.5;0.182;0.273;0.111;0.273;0.636;0.583;0.522;0.458;0.522;0.5;0.5;0.44;1.0;0.579;0.056
ENSMUST00000145738_90_90;0.68;0.783;0.714;0.714;0.429;0.588;0.706;0.762;0.5;0.75;0.059;0.188;0.316;0.188;0.353;0.5;0.708;0.783;0.708;0.773;0.773;0.75;0.579;1.0;0.136
ENSMUST00000146438_90_90;0.292;0.25;0.286;0.286;0.4;0.059;0.053;0.273;0.0;0.238;0.0;0.0;0.6;0.0;0.0;0.0;0.25;0.25;0.25;0.217;0.273;0.292;0.056;0.136;1.0
