;ENSCAFT00000005462_90_90;ENST00000341049_90_90;ENST00000393467_90_90;ENST00000393468_90_90;ENST00000393470_90_90;ENST00000405348_90_90;ENST00000451122_90_90;ENST00000456473_90_90;ENST00000614113_90_90;ENSMUST00000007799_90_90;ENSMUST00000115453_90_90;ENSMUST00000115454_90_90;ENSMUST00000115455_90_90;ENSMUST00000115456_90_90;ENSMUST00000123439_90_90;ENSMUST00000150901_90_90;ENSMUST00000177234_90_90
ENSCAFT00000005462_90_90;1.0;0.687;0.635;0.635;0.687;0.635;0.052;0.584;0.635;0.996;0.826;0.826;0.644;0.996;0.268;0.361;0.202
ENST00000341049_90_90;0.687;1.0;0.826;0.826;0.938;0.826;0.039;0.775;0.826;0.62;0.637;0.637;0.381;0.62;0.077;0.044;0.058
ENST00000393467_90_90;0.635;0.826;1.0;1.0;0.88;1.0;0.0;0.939;1.0;0.606;0.727;0.727;0.35;0.606;0.088;0.0;0.0
ENST00000393468_90_90;0.635;0.826;1.0;1.0;0.88;1.0;0.0;0.939;1.0;0.606;0.727;0.727;0.35;0.606;0.088;0.0;0.0
ENST00000393470_90_90;0.687;0.938;0.88;0.88;1.0;0.88;0.041;0.826;0.88;0.636;0.656;0.656;0.391;0.636;0.079;0.045;0.059
ENST00000405348_90_90;0.635;0.826;1.0;1.0;0.88;1.0;0.0;0.939;1.0;0.606;0.727;0.727;0.35;0.606;0.088;0.0;0.0
ENST00000451122_90_90;0.052;0.039;0.0;0.0;0.041;0.0;1.0;0.0;0.0;0.047;0.0;0.0;0.068;0.047;0.0;0.08;0.192
ENST00000456473_90_90;0.584;0.775;0.939;0.939;0.826;0.939;0.0;1.0;0.939;0.558;0.67;0.67;0.369;0.558;0.093;0.0;0.0
ENST00000614113_90_90;0.635;0.826;1.0;1.0;0.88;1.0;0.0;0.939;1.0;0.606;0.727;0.727;0.35;0.606;0.088;0.0;0.0
ENSMUST00000007799_90_90;0.996;0.62;0.606;0.606;0.636;0.606;0.047;0.558;0.606;1.0;0.826;0.826;0.648;1.0;0.268;0.316;0.202
ENSMUST00000115453_90_90;0.826;0.637;0.727;0.727;0.656;0.727;0.0;0.67;0.727;0.826;1.0;1.0;0.571;0.826;0.324;0.165;0.031
ENSMUST00000115454_90_90;0.826;0.637;0.727;0.727;0.656;0.727;0.0;0.67;0.727;0.826;1.0;1.0;0.571;0.826;0.324;0.165;0.031
ENSMUST00000115455_90_90;0.644;0.381;0.35;0.35;0.391;0.35;0.068;0.369;0.35;0.648;0.571;0.571;1.0;0.648;0.413;0.35;0.198
ENSMUST00000115456_90_90;0.996;0.62;0.606;0.606;0.636;0.606;0.047;0.558;0.606;1.0;0.826;0.826;0.648;1.0;0.268;0.316;0.202
ENSMUST00000123439_90_90;0.268;0.077;0.088;0.088;0.079;0.088;0.0;0.093;0.088;0.268;0.324;0.324;0.413;0.268;1.0;0.319;0.069
ENSMUST00000150901_90_90;0.361;0.044;0.0;0.0;0.045;0.0;0.08;0.0;0.0;0.316;0.165;0.165;0.35;0.316;0.319;1.0;0.381
ENSMUST00000177234_90_90;0.202;0.058;0.0;0.0;0.059;0.0;0.192;0.0;0.0;0.202;0.031;0.031;0.198;0.202;0.069;0.381;1.0
