;ENSCAFT00000015568_90_90;ENST00000311559_90_90;ENST00000398568_90_90;ENST00000427738_90_90;ENST00000562884_90_90;ENST00000564326_90_90;ENST00000564634_90_90;ENST00000566024_90_90;ENST00000566206_90_90;ENST00000566679_90_90;ENST00000568704_90_90;ENST00000569418_90_90;ENST00000569681_90_90;ENSMUST00000043526_90_90;ENSMUST00000098519_90_90;ENSMUST00000109626_90_90;ENSMUST00000209206_90_90;ENSMUST00000209532_90_90;ENSMUST00000209559_90_90;ENSMUST00000211554_90_90
ENSCAFT00000015568_90_90;1.0;0.891;0.922;0.891;0.153;0.922;0.059;0.095;0.844;0.284;0.788;0.922;0.171;0.921;0.921;0.958;0.821;0.921;0.958;0.958
ENST00000311559_90_90;0.891;1.0;0.96;1.0;0.108;0.96;0.056;0.054;0.815;0.275;0.826;0.96;0.164;0.829;0.892;0.854;0.724;0.892;0.854;0.854
ENST00000398568_90_90;0.922;0.96;1.0;0.96;0.112;1.0;0.059;0.057;0.844;0.284;0.863;1.0;0.171;0.854;0.854;0.883;0.75;0.854;0.883;0.883
ENST00000427738_90_90;0.891;1.0;0.96;1.0;0.108;0.96;0.056;0.054;0.815;0.275;0.826;0.96;0.164;0.829;0.892;0.854;0.724;0.892;0.854;0.854
ENST00000562884_90_90;0.153;0.108;0.112;0.108;1.0;0.112;0.0;0.516;0.119;0.0;0.128;0.112;0.0;0.153;0.153;0.162;0.181;0.153;0.162;0.162
ENST00000564326_90_90;0.922;0.96;1.0;0.96;0.112;1.0;0.059;0.057;0.844;0.284;0.863;1.0;0.171;0.854;0.854;0.883;0.75;0.854;0.883;0.883
ENST00000564634_90_90;0.059;0.056;0.059;0.056;0.0;0.059;1.0;0.0;0.064;0.222;0.067;0.059;0.35;0.059;0.059;0.063;0.072;0.059;0.063;0.063
ENST00000566024_90_90;0.095;0.054;0.057;0.054;0.516;0.057;0.0;1.0;0.059;0.0;0.064;0.057;0.0;0.095;0.095;0.101;0.113;0.095;0.101;0.101
ENST00000566206_90_90;0.844;0.815;0.844;0.815;0.119;0.844;0.064;0.059;1.0;0.303;0.712;0.844;0.182;0.779;0.779;0.805;0.673;0.779;0.805;0.805
ENST00000566679_90_90;0.284;0.275;0.284;0.275;0.0;0.284;0.222;0.0;0.303;1.0;0.334;0.284;0.607;0.284;0.284;0.296;0.348;0.284;0.296;0.296
ENST00000568704_90_90;0.788;0.826;0.863;0.826;0.128;0.863;0.067;0.064;0.712;0.334;1.0;0.863;0.199;0.724;0.724;0.75;0.873;0.724;0.75;0.75
ENST00000569418_90_90;0.922;0.96;1.0;0.96;0.112;1.0;0.059;0.057;0.844;0.284;0.863;1.0;0.171;0.854;0.854;0.883;0.75;0.854;0.883;0.883
ENST00000569681_90_90;0.171;0.164;0.171;0.164;0.0;0.171;0.35;0.0;0.182;0.607;0.199;0.171;1.0;0.17;0.17;0.178;0.208;0.17;0.178;0.178
ENSMUST00000043526_90_90;0.921;0.829;0.854;0.829;0.153;0.854;0.059;0.095;0.779;0.284;0.724;0.854;0.17;1.0;0.92;0.957;0.82;0.92;0.957;0.957
ENSMUST00000098519_90_90;0.921;0.892;0.854;0.892;0.153;0.854;0.059;0.095;0.779;0.284;0.724;0.854;0.17;0.92;1.0;0.957;0.82;1.0;0.957;0.957
ENSMUST00000109626_90_90;0.958;0.854;0.883;0.854;0.162;0.883;0.063;0.101;0.805;0.296;0.75;0.883;0.178;0.957;0.957;1.0;0.859;0.957;1.0;1.0
ENSMUST00000209206_90_90;0.821;0.724;0.75;0.724;0.181;0.75;0.072;0.113;0.673;0.348;0.873;0.75;0.208;0.82;0.82;0.859;1.0;0.82;0.859;0.859
ENSMUST00000209532_90_90;0.921;0.892;0.854;0.892;0.153;0.854;0.059;0.095;0.779;0.284;0.724;0.854;0.17;0.92;1.0;0.957;0.82;1.0;0.957;0.957
ENSMUST00000209559_90_90;0.958;0.854;0.883;0.854;0.162;0.883;0.063;0.101;0.805;0.296;0.75;0.883;0.178;0.957;0.957;1.0;0.859;0.957;1.0;1.0
ENSMUST00000211554_90_90;0.958;0.854;0.883;0.854;0.162;0.883;0.063;0.101;0.805;0.296;0.75;0.883;0.178;0.957;0.957;1.0;0.859;0.957;1.0;1.0
