;ENSCAFT00000048678_90_90;ENST00000222597_90_90;ENST00000415884_90_90;ENST00000420796_90_90;ENST00000432748_90_90;ENST00000440859_90_90;ENSMUST00000064240_90_90;ENSMUST00000085487_90_90;ENSMUST00000101499_90_90;ENSMUST00000185739_90_90;ENSMUST00000188326_90_90
ENSCAFT00000048678_90_90;1.0;0.824;0.353;0.588;0.167;0.882;0.875;0.875;1.0;0.938;0.438
ENST00000222597_90_90;0.824;1.0;0.375;0.625;0.25;0.938;0.812;0.706;0.824;0.875;0.467
ENST00000415884_90_90;0.353;0.375;1.0;0.5;0.5;0.438;0.312;0.4;0.353;0.294;0.4
ENST00000420796_90_90;0.588;0.625;0.5;1.0;0.231;0.688;0.562;0.562;0.588;0.529;0.385
ENST00000432748_90_90;0.167;0.25;0.5;0.231;1.0;0.235;0.118;0.188;0.167;0.176;0.2
ENST00000440859_90_90;0.882;0.938;0.438;0.688;0.235;1.0;0.875;0.765;0.882;0.824;0.438
ENSMUST00000064240_90_90;0.875;0.812;0.312;0.562;0.118;0.875;1.0;0.75;0.875;0.812;0.5
ENSMUST00000085487_90_90;0.875;0.706;0.4;0.562;0.188;0.765;0.75;1.0;0.875;0.812;0.5
ENSMUST00000101499_90_90;1.0;0.824;0.353;0.588;0.167;0.882;0.875;0.875;1.0;0.938;0.438
ENSMUST00000185739_90_90;0.938;0.875;0.294;0.529;0.176;0.824;0.812;0.812;0.938;1.0;0.467
ENSMUST00000188326_90_90;0.438;0.467;0.4;0.385;0.2;0.438;0.5;0.5;0.438;0.467;1.0
