;transcript8_ENSMPUG00000020072;transcript8_ENSECAG00000007947;transcript6_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript4_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript20_ENSECAG00000007947
transcript8_ENSMPUG00000020072;1.0;0.922;0.566;0.565;0.516;0.52;0.52;0.541;0.524;0.524;0.432;0.432;0.432;0.476;0.473;0.466
transcript8_ENSECAG00000007947;0.922;1.0;0.539;0.538;0.492;0.566;0.566;0.587;0.569;0.569;0.459;0.459;0.459;0.512;0.509;0.501
transcript6_ENSMPUG00000020072;0.566;0.539;1.0;0.998;0.89;0.916;0.916;0.896;0.868;0.868;0.631;0.631;0.631;0.821;0.819;0.812
transcript13_ENSMPUG00000020072;0.565;0.538;0.998;1.0;0.889;0.915;0.915;0.895;0.867;0.867;0.631;0.631;0.631;0.82;0.817;0.811
transcript10_ENSMPUG00000020072;0.516;0.492;0.89;0.889;1.0;0.819;0.819;0.84;0.866;0.866;0.581;0.581;0.581;0.918;0.916;0.81
transcript6_ENSECAG00000007947;0.52;0.566;0.916;0.915;0.819;1.0;1.0;0.978;0.947;0.947;0.671;0.671;0.671;0.891;0.888;0.88
transcript17_ENSECAG00000007947;0.52;0.566;0.916;0.915;0.819;1.0;1.0;0.978;0.947;0.947;0.671;0.671;0.671;0.891;0.888;0.88
transcript4_ENSECAG00000007947;0.541;0.587;0.896;0.895;0.84;0.978;0.978;1.0;0.968;0.968;0.693;0.693;0.693;0.912;0.909;0.901
transcript7_ENSECAG00000007947;0.524;0.569;0.868;0.867;0.866;0.947;0.947;0.968;1.0;1.0;0.671;0.671;0.671;0.943;0.94;0.932
transcript21_ENSECAG00000007947;0.524;0.569;0.868;0.867;0.866;0.947;0.947;0.968;1.0;1.0;0.671;0.671;0.671;0.943;0.94;0.932
transcript14_ENSECAG00000007947;0.432;0.459;0.631;0.631;0.581;0.671;0.671;0.693;0.671;0.671;1.0;1.0;1.0;0.614;0.612;0.604
transcript18_ENSECAG00000007947;0.432;0.459;0.631;0.631;0.581;0.671;0.671;0.693;0.671;0.671;1.0;1.0;1.0;0.614;0.612;0.604
transcript19_ENSECAG00000007947;0.432;0.459;0.631;0.631;0.581;0.671;0.671;0.693;0.671;0.671;1.0;1.0;1.0;0.614;0.612;0.604
transcript16_ENSECAG00000007947;0.476;0.512;0.821;0.82;0.918;0.891;0.891;0.912;0.943;0.943;0.614;0.614;0.614;1.0;0.997;0.875
transcript15_ENSECAG00000007947;0.473;0.509;0.819;0.817;0.916;0.888;0.888;0.909;0.94;0.94;0.612;0.612;0.612;0.997;1.0;0.873
transcript20_ENSECAG00000007947;0.466;0.501;0.812;0.811;0.81;0.88;0.88;0.901;0.932;0.932;0.604;0.604;0.604;0.875;0.873;1.0
