;ENSCAFT00000018754_90_90;ENSCAFT00000042737_90_90;ENST00000373836_90_90;ENST00000373839_90_90;ENST00000493669_90_90;ENST00000632202_90_90;ENST00000632421_90_90;ENST00000633167_90_90;ENSMUST00000084170_90_90;ENSMUST00000084249_90_90;ENSMUST00000102568_90_90;ENSMUST00000136711_90_90;ENSMUST00000152271_90_90
ENSCAFT00000018754_90_90;1.0;0.775;0.839;0.812;0.1;0.433;0.033;0.138;0.778;0.962;0.852;0.24;0.5
ENSCAFT00000042737_90_90;0.775;1.0;0.966;1.0;0.065;0.433;0.033;0.1;0.88;0.852;0.96;0.154;0.583
ENST00000373836_90_90;0.839;0.966;1.0;0.912;0.027;0.333;0.0;0.143;0.826;0.917;0.913;0.208;0.522
ENST00000373839_90_90;0.812;1.0;0.912;1.0;0.057;0.382;0.029;0.083;0.909;0.84;1.0;0.16;0.591
ENST00000493669_90_90;0.1;0.065;0.027;0.057;1.0;0.25;0.125;0.333;0.091;0.12;0.083;0.375;0.133
ENST00000632202_90_90;0.433;0.433;0.333;0.382;0.25;1.0;0.056;0.294;0.391;0.44;0.478;0.357;0.562
ENST00000632421_90_90;0.033;0.033;0.0;0.029;0.125;0.056;1.0;0.0;0.05;0.0;0.045;0.0;0.077
ENST00000633167_90_90;0.138;0.1;0.143;0.083;0.333;0.294;0.0;1.0;0.087;0.208;0.125;0.5;0.125
ENSMUST00000084170_90_90;0.778;0.88;0.826;0.909;0.091;0.391;0.05;0.087;1.0;0.8;0.926;0.143;0.6
ENSMUST00000084249_90_90;0.962;0.852;0.917;0.84;0.12;0.44;0.0;0.208;0.8;1.0;0.867;0.241;0.467
ENSMUST00000102568_90_90;0.852;0.96;0.913;1.0;0.083;0.478;0.045;0.125;0.926;0.867;1.0;0.133;0.556
ENSMUST00000136711_90_90;0.24;0.154;0.208;0.16;0.375;0.357;0.0;0.5;0.143;0.241;0.133;1.0;0.222
ENSMUST00000152271_90_90;0.5;0.583;0.522;0.591;0.133;0.562;0.077;0.125;0.6;0.467;0.556;0.222;1.0
