;id_transcript;orthoorthologues;tsm_scores
0;ENSCAFT00000018754_90_90;ENST00000373836_90_90:ENSMUST00000084249_90_90;0.8390000000000001:0.9620000000000001
1;ENSCAFT00000042737_90_90;ENST00000373839_90_90:ENSMUST00000102568_90_90;1.0:0.96
2;ENST00000373836_90_90;ENSCAFT00000018754_90_90:ENSMUST00000084249_90_90;0.8390000000000001:0.917
3;ENST00000373839_90_90;ENSCAFT00000042737_90_90:ENSMUST00000102568_90_90;1.0:1.0
4;ENST00000493669_90_90;;
5;ENST00000632202_90_90;;
6;ENST00000632421_90_90;;
7;ENST00000633167_90_90;ENSMUST00000136711_90_90;0.5
8;ENSMUST00000084170_90_90;;
9;ENSMUST00000084249_90_90;ENST00000373836_90_90:ENSCAFT00000018754_90_90;0.917:0.9620000000000001
10;ENSMUST00000102568_90_90;ENST00000373839_90_90:ENSCAFT00000042737_90_90;1.0:0.96
11;ENSMUST00000136711_90_90;ENST00000633167_90_90;0.5
12;ENSMUST00000152271_90_90;;
