;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript36_ENSCGRG00000018457;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;0.983;0.961;0.978;0.872;0.983;0.814;0.708;1.0;0.938;1.0;1.0;1.0;0.872;1.0
transcript6_ENSECAG00000007947;0.983;1.0;0.967;0.95;0.87;1.0;0.816;0.663;0.953;0.896;0.953;0.953;0.978;0.844;0.935
transcript7_ENSECAG00000007947;0.961;0.967;1.0;0.963;0.9;0.967;0.844;0.673;0.953;0.909;0.953;0.953;0.978;0.857;0.935
transcript7_ENSMLUG00000027828;0.978;0.95;0.963;1.0;0.869;0.95;0.817;0.719;0.982;0.936;0.982;0.983;0.993;0.897;0.965
transcript19_ENSECAG00000007947;0.872;0.87;0.9;0.869;1.0;0.87;0.938;0.691;0.941;0.939;0.941;0.939;0.964;0.885;0.861
transcript20_ENSECAG00000007947;0.983;1.0;0.967;0.95;0.87;1.0;0.816;0.663;0.953;0.896;0.953;0.953;0.978;0.844;0.935
transcript21_ENSECAG00000007947;0.814;0.816;0.844;0.817;0.938;0.816;1.0;0.714;0.893;0.893;0.893;0.883;0.915;0.9;0.806
transcript13_ENSMLUG00000027828;0.708;0.663;0.673;0.719;0.691;0.663;0.714;1.0;0.744;0.734;0.744;0.732;0.752;0.77;0.695
transcript15_ENSCGRG00015005362;1.0;0.953;0.953;0.982;0.941;0.953;0.893;0.744;1.0;1.0;1.0;1.0;1.0;0.931;1.0
transcript15_ENSCGRG00000018457;0.938;0.896;0.909;0.936;0.939;0.896;0.893;0.734;1.0;1.0;1.0;1.0;1.0;0.931;0.934
transcript15_ENSCGRG00001010245;1.0;0.953;0.953;0.982;0.941;0.953;0.893;0.744;1.0;1.0;1.0;1.0;1.0;0.931;1.0
transcript15_ENSPEMG00000024651;1.0;0.953;0.953;0.983;0.939;0.953;0.883;0.732;1.0;1.0;1.0;1.0;1.0;0.923;1.0
transcript15_ENSSTOG00000019743;1.0;0.978;0.978;0.993;0.964;0.978;0.915;0.752;1.0;1.0;1.0;1.0;1.0;0.954;1.0
transcript36_ENSCGRG00000018457;0.872;0.844;0.857;0.897;0.885;0.844;0.9;0.77;0.931;0.931;0.931;0.923;0.954;1.0;0.87
transcript25_ENSCPOG00000024843;1.0;0.935;0.935;0.965;0.861;0.935;0.806;0.695;1.0;0.934;1.0;1.0;1.0;0.87;1.0
