;ENSCAFT00000016446_90_90;ENST00000290246_90_90;ENST00000352077_90_90;ENST00000372176_90_90;ENST00000396391_90_90;ENST00000425546_90_90;ENST00000450812_90_90;ENST00000452857_90_90;ENST00000467800_90_90;ENSMUST00000071699_90_90;ENSMUST00000074046_90_90;ENSMUST00000094329_90_90;ENSMUST00000103088_90_90;ENSMUST00000103091_90_90;ENSMUST00000126318_90_90;ENSMUST00000128690_90_90;ENSMUST00000133205_90_90;ENSMUST00000137188_90_90;ENSMUST00000148643_90_90
ENSCAFT00000016446_90_90;1.0;0.604;0.601;0.506;0.604;0.37;0.47;0.121;0.298;0.9;0.82;0.83;0.9;0.83;0.087;0.057;0.17;0.267;0.285
ENST00000290246_90_90;0.604;1.0;0.997;0.878;1.0;0.358;0.47;0.393;0.436;0.683;0.488;0.492;0.683;0.492;0.087;0.057;0.17;0.267;0.052
ENST00000352077_90_90;0.601;0.997;1.0;0.875;0.997;0.359;0.467;0.394;0.438;0.681;0.486;0.49;0.681;0.49;0.088;0.058;0.171;0.268;0.052
ENST00000372176_90_90;0.506;0.878;0.875;1.0;0.878;0.407;0.348;0.448;0.49;0.585;0.398;0.401;0.585;0.401;0.0;0.0;0.048;0.304;0.057
ENST00000396391_90_90;0.604;1.0;0.997;0.878;1.0;0.358;0.47;0.393;0.436;0.683;0.488;0.492;0.683;0.492;0.087;0.057;0.17;0.267;0.052
ENST00000425546_90_90;0.37;0.358;0.359;0.407;0.358;1.0;0.264;0.076;0.385;0.332;0.364;0.368;0.332;0.368;0.0;0.0;0.0;0.213;0.104
ENST00000450812_90_90;0.47;0.47;0.467;0.348;0.47;0.264;1.0;0.0;0.088;0.422;0.462;0.468;0.422;0.468;0.186;0.122;0.363;0.568;0.0
ENST00000452857_90_90;0.121;0.393;0.394;0.448;0.393;0.076;0.0;1.0;0.359;0.2;0.044;0.045;0.2;0.045;0.0;0.0;0.0;0.0;0.081
ENST00000467800_90_90;0.298;0.436;0.438;0.49;0.436;0.385;0.088;0.359;1.0;0.381;0.206;0.209;0.381;0.209;0.0;0.0;0.0;0.03;0.073
ENSMUST00000071699_90_90;0.9;0.683;0.681;0.585;0.683;0.332;0.422;0.2;0.381;1.0;0.747;0.757;1.0;0.757;0.079;0.052;0.154;0.243;0.259
ENSMUST00000074046_90_90;0.82;0.488;0.486;0.398;0.488;0.364;0.462;0.044;0.206;0.747;1.0;0.984;0.747;0.984;0.086;0.056;0.168;0.265;0.396
ENSMUST00000094329_90_90;0.83;0.492;0.49;0.401;0.492;0.368;0.468;0.045;0.209;0.757;0.984;1.0;0.757;1.0;0.087;0.057;0.17;0.269;0.402
ENSMUST00000103088_90_90;0.9;0.683;0.681;0.585;0.683;0.332;0.422;0.2;0.381;1.0;0.747;0.757;1.0;0.757;0.079;0.052;0.154;0.243;0.259
ENSMUST00000103091_90_90;0.83;0.492;0.49;0.401;0.492;0.368;0.468;0.045;0.209;0.757;0.984;1.0;0.757;1.0;0.087;0.057;0.17;0.269;0.402
ENSMUST00000126318_90_90;0.087;0.087;0.088;0.0;0.087;0.0;0.186;0.0;0.0;0.079;0.086;0.087;0.079;0.087;1.0;0.613;0.514;0.0;0.0
ENSMUST00000128690_90_90;0.057;0.057;0.058;0.0;0.057;0.0;0.122;0.0;0.0;0.052;0.056;0.057;0.052;0.057;0.613;1.0;0.337;0.0;0.0
ENSMUST00000133205_90_90;0.17;0.17;0.171;0.048;0.17;0.0;0.363;0.0;0.0;0.154;0.168;0.17;0.154;0.17;0.514;0.337;1.0;0.083;0.0
ENSMUST00000137188_90_90;0.267;0.267;0.268;0.304;0.267;0.213;0.568;0.0;0.03;0.243;0.265;0.269;0.243;0.269;0.0;0.0;0.083;1.0;0.0
ENSMUST00000148643_90_90;0.285;0.052;0.052;0.057;0.052;0.104;0.0;0.081;0.073;0.259;0.396;0.402;0.259;0.402;0.0;0.0;0.0;0.0;1.0
