;transcript2_ENSMLUG00000027828;transcript2_ENSSTOG00000019743;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;0.904;0.53;0.526;0.574;0.516;0.487;0.344;0.755;0.754;0.727;0.732;0.904
transcript2_ENSSTOG00000019743;0.904;1.0;0.56;0.551;0.607;0.54;0.505;0.348;0.804;0.802;0.768;0.777;1.0
transcript17_ENSMUGG00000013649;0.53;0.56;1.0;0.985;0.897;0.801;0.718;0.511;0.599;0.596;0.62;0.614;0.56
transcript17_ENSMUGG00000013592;0.526;0.551;0.985;1.0;0.909;0.795;0.714;0.509;0.595;0.592;0.617;0.61;0.551
transcript29_ENSMUGG00000013592;0.574;0.607;0.897;0.909;1.0;0.872;0.775;0.549;0.643;0.641;0.667;0.66;0.607
transcript8_ENSPEMG00000024651;0.516;0.54;0.801;0.795;0.872;1.0;0.747;0.557;0.574;0.572;0.595;0.589;0.54
transcript8_ENSNGAG00000018584;0.487;0.505;0.718;0.714;0.775;0.747;1.0;0.688;0.625;0.629;0.657;0.649;0.505
transcript7_ENSNGAG00000018584;0.344;0.348;0.511;0.509;0.549;0.557;0.688;1.0;0.43;0.433;0.452;0.446;0.348
transcript9_ENSNGAG00000018584;0.755;0.804;0.599;0.595;0.643;0.574;0.625;0.43;1.0;0.993;0.951;0.962;0.804
transcript10_ENSNGAG00000018584;0.754;0.802;0.596;0.592;0.641;0.572;0.629;0.433;0.993;1.0;0.958;0.969;0.802
transcript18_ENSNGAG00000018584;0.727;0.768;0.62;0.617;0.667;0.595;0.657;0.452;0.951;0.958;1.0;0.989;0.768
transcript19_ENSNGAG00000018584;0.732;0.777;0.614;0.61;0.66;0.589;0.649;0.446;0.962;0.969;0.989;1.0;0.777
transcript15_ENSSTOG00000019743;0.904;1.0;0.56;0.551;0.607;0.54;0.505;0.348;0.804;0.802;0.768;0.777;1.0
