;transcript8_ENSMPUG00000020072;transcript8_ENSECAG00000007947;transcript6_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript4_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript20_ENSECAG00000007947
transcript8_ENSMPUG00000020072;1.0;0.964;0.617;0.615;0.548;0.594;0.594;0.609;0.585;0.585;0.47;0.47;0.47;0.526;0.521;0.528
transcript8_ENSECAG00000007947;0.964;1.0;0.582;0.579;0.517;0.595;0.595;0.607;0.585;0.585;0.468;0.468;0.468;0.522;0.52;0.524
transcript6_ENSMPUG00000020072;0.617;0.582;1.0;0.997;0.893;0.965;0.965;0.952;0.917;0.917;0.673;0.673;0.673;0.861;0.857;0.871
transcript13_ENSMPUG00000020072;0.615;0.579;0.997;1.0;0.891;0.962;0.962;0.949;0.914;0.914;0.675;0.675;0.675;0.859;0.855;0.867
transcript10_ENSMPUG00000020072;0.548;0.517;0.893;0.891;1.0;0.865;0.865;0.877;0.911;0.911;0.605;0.605;0.605;0.966;0.962;0.864
transcript6_ENSECAG00000007947;0.594;0.595;0.965;0.962;0.865;1.0;1.0;0.989;0.954;0.954;0.696;0.696;0.696;0.894;0.891;0.905
transcript17_ENSECAG00000007947;0.594;0.595;0.965;0.962;0.865;1.0;1.0;0.989;0.954;0.954;0.696;0.696;0.696;0.894;0.891;0.905
transcript4_ENSECAG00000007947;0.609;0.607;0.952;0.949;0.877;0.989;0.989;1.0;0.965;0.965;0.708;0.708;0.708;0.904;0.902;0.916
transcript7_ENSECAG00000007947;0.585;0.585;0.917;0.914;0.911;0.954;0.954;0.965;1.0;1.0;0.683;0.683;0.683;0.94;0.938;0.953
transcript21_ENSECAG00000007947;0.585;0.585;0.917;0.914;0.911;0.954;0.954;0.965;1.0;1.0;0.683;0.683;0.683;0.94;0.938;0.953
transcript14_ENSECAG00000007947;0.47;0.468;0.673;0.675;0.605;0.696;0.696;0.708;0.683;0.683;1.0;1.0;1.0;0.62;0.617;0.625
transcript18_ENSECAG00000007947;0.47;0.468;0.673;0.675;0.605;0.696;0.696;0.708;0.683;0.683;1.0;1.0;1.0;0.62;0.617;0.625
transcript19_ENSECAG00000007947;0.47;0.468;0.673;0.675;0.605;0.696;0.696;0.708;0.683;0.683;1.0;1.0;1.0;0.62;0.617;0.625
transcript16_ENSECAG00000007947;0.526;0.522;0.861;0.859;0.966;0.894;0.894;0.904;0.94;0.94;0.62;0.62;0.62;1.0;0.998;0.891
transcript15_ENSECAG00000007947;0.521;0.52;0.857;0.855;0.962;0.891;0.891;0.902;0.938;0.938;0.617;0.617;0.617;0.998;1.0;0.888
transcript20_ENSECAG00000007947;0.528;0.524;0.871;0.867;0.864;0.905;0.905;0.916;0.953;0.953;0.625;0.625;0.625;0.891;0.888;1.0
