;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;0.964;0.964;1.0;0.964;0.439;0.898;0.664;0.958;0.958;0.958;0.767;0.676;0.97;0.773;0.681;0.997;0.527;1.0;0.535;0.533;0.527;0.773;0.419;0.514;0.666;0.666
transcript17_ENSHGLG00100003156;1.0;1.0;0.964;0.964;1.0;0.964;0.439;0.898;0.664;0.958;0.958;0.958;0.767;0.676;0.97;0.773;0.681;0.997;0.527;1.0;0.535;0.533;0.527;0.773;0.419;0.514;0.666;0.666
transcript20_ENSHGLG00100003156;0.964;0.964;1.0;1.0;0.964;1.0;0.474;0.934;0.688;0.994;0.994;0.994;0.739;0.695;0.994;0.745;0.664;0.964;0.514;0.964;0.521;0.519;0.514;0.745;0.409;0.501;0.691;0.691
transcript13_ENSHGLG00000019563;0.964;0.964;1.0;1.0;0.964;1.0;0.474;0.934;0.688;0.994;0.994;0.994;0.739;0.695;0.994;0.745;0.664;0.964;0.514;0.964;0.521;0.519;0.514;0.745;0.409;0.501;0.691;0.691
transcript17_ENSHGLG00000019563;1.0;1.0;0.964;0.964;1.0;0.964;0.439;0.898;0.664;0.958;0.958;0.958;0.767;0.676;0.97;0.773;0.681;0.997;0.527;1.0;0.535;0.533;0.527;0.773;0.419;0.514;0.666;0.666
transcript25_ENSHGLG00000019563;0.964;0.964;1.0;1.0;0.964;1.0;0.474;0.934;0.688;0.994;0.994;0.994;0.739;0.695;0.994;0.745;0.664;0.964;0.514;0.964;0.521;0.519;0.514;0.745;0.409;0.501;0.691;0.691
transcript26_ENSHGLG00000019563;0.439;0.439;0.474;0.474;0.439;0.474;1.0;0.408;0.325;0.469;0.469;0.469;0.214;0.328;0.469;0.219;0.302;0.439;0.151;0.439;0.153;0.13;0.151;0.219;0.046;0.132;0.328;0.328
transcript27_ENSHGLG00000019563;0.898;0.898;0.934;0.934;0.898;0.934;0.408;1.0;0.649;0.939;0.939;0.939;0.683;0.649;0.928;0.679;0.619;0.898;0.469;0.898;0.475;0.47;0.469;0.679;0.363;0.452;0.645;0.645
transcript0_ENSHGLG00100006079;0.664;0.664;0.688;0.688;0.664;0.688;0.325;0.649;1.0;0.691;0.691;0.691;0.514;0.978;0.685;0.512;0.967;0.664;0.817;0.664;0.804;0.721;0.817;0.512;0.711;0.704;0.993;0.993
transcript13_ENSHGLG00100006079;0.958;0.958;0.994;0.994;0.958;0.994;0.469;0.939;0.691;1.0;1.0;1.0;0.743;0.691;0.989;0.739;0.661;0.958;0.51;0.958;0.517;0.515;0.51;0.739;0.405;0.497;0.687;0.687
transcript20_ENSHGLG00100006079;0.958;0.958;0.994;0.994;0.958;0.994;0.469;0.939;0.691;1.0;1.0;1.0;0.743;0.691;0.989;0.739;0.661;0.958;0.51;0.958;0.517;0.515;0.51;0.739;0.405;0.497;0.687;0.687
transcript21_ENSHGLG00100006079;0.958;0.958;0.994;0.994;0.958;0.994;0.469;0.939;0.691;1.0;1.0;1.0;0.743;0.691;0.989;0.739;0.661;0.958;0.51;0.958;0.517;0.515;0.51;0.739;0.405;0.497;0.687;0.687
transcript22_ENSHGLG00100006079;0.767;0.767;0.739;0.739;0.767;0.739;0.214;0.683;0.514;0.743;0.743;0.743;1.0;0.519;0.743;0.992;0.524;0.764;0.62;0.767;0.63;0.634;0.62;0.992;0.491;0.612;0.51;0.51
transcript0_ENSMUNG00000002391;0.676;0.676;0.695;0.695;0.676;0.695;0.328;0.649;0.978;0.691;0.691;0.691;0.519;1.0;0.698;0.523;0.966;0.676;0.815;0.676;0.804;0.739;0.815;0.523;0.709;0.721;0.984;0.984
transcript21_ENSMUNG00000002391;0.97;0.97;0.994;0.994;0.97;0.994;0.469;0.928;0.685;0.989;0.989;0.989;0.743;0.698;1.0;0.749;0.667;0.97;0.516;0.97;0.523;0.521;0.516;0.749;0.41;0.503;0.687;0.687
transcript22_ENSMUNG00000002391;0.773;0.773;0.745;0.745;0.773;0.745;0.219;0.679;0.512;0.739;0.739;0.739;0.992;0.523;0.749;1.0;0.528;0.77;0.624;0.773;0.634;0.64;0.624;1.0;0.496;0.617;0.514;0.514
transcript8_ENSAPOG00000016134;0.681;0.681;0.664;0.664;0.681;0.664;0.302;0.619;0.967;0.661;0.661;0.661;0.524;0.966;0.667;0.528;1.0;0.68;0.846;0.681;0.832;0.747;0.846;0.528;0.737;0.729;0.974;0.974
transcript10_ENSAPOG00000016134;0.997;0.997;0.964;0.964;0.997;0.964;0.439;0.898;0.664;0.958;0.958;0.958;0.764;0.676;0.97;0.77;0.68;1.0;0.526;0.997;0.533;0.533;0.526;0.77;0.419;0.514;0.666;0.666
transcript12_ENSAPOG00000016134;0.527;0.527;0.514;0.514;0.527;0.514;0.151;0.469;0.817;0.51;0.51;0.51;0.62;0.815;0.516;0.624;0.846;0.526;1.0;0.527;0.984;0.883;1.0;0.624;0.872;0.862;0.824;0.824
transcript17_ENSAPOG00000016134;1.0;1.0;0.964;0.964;1.0;0.964;0.439;0.898;0.664;0.958;0.958;0.958;0.767;0.676;0.97;0.773;0.681;0.997;0.527;1.0;0.535;0.533;0.527;0.773;0.419;0.514;0.666;0.666
transcript20_ENSAPOG00000016134;0.535;0.535;0.521;0.521;0.535;0.521;0.153;0.475;0.804;0.517;0.517;0.517;0.63;0.804;0.523;0.634;0.832;0.533;0.984;0.535;1.0;0.897;0.984;0.634;0.856;0.876;0.811;0.811
