;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript7_ENSMSIG00000000513;1.0;0.312;0.309;0.312;0.374;0.37;0.6;0.6;0.228;0.68;0.589;0.598;0.565;0.744;0.5;0.481;0.501;0.501;0.525;0.523;0.521;0.545;0.534
transcript38_ENSMSIG00000000513;0.312;1.0;0.993;1.0;0.679;0.671;0.36;0.36;0.652;0.268;0.406;0.145;0.137;0.286;0.322;0.32;0.34;0.34;0.339;0.337;0.302;0.303;0.322
transcript38_MGP-SPRETEiJ-G0021131;0.309;0.993;1.0;0.993;0.671;0.676;0.355;0.355;0.655;0.265;0.403;0.142;0.134;0.283;0.319;0.317;0.338;0.338;0.337;0.335;0.299;0.3;0.32
transcript38_ENSMUSG00000054036;0.312;1.0;0.993;1.0;0.679;0.671;0.36;0.36;0.652;0.268;0.406;0.145;0.137;0.286;0.322;0.32;0.34;0.34;0.339;0.337;0.302;0.303;0.322
transcript52_ENSMSIG00000000513;0.374;0.679;0.671;0.679;1.0;0.989;0.456;0.456;0.428;0.311;0.268;0.167;0.159;0.331;0.211;0.206;0.226;0.226;0.23;0.229;0.212;0.217;0.213
transcript52_MGP-SPRETEiJ-G0021131;0.37;0.671;0.676;0.671;0.989;1.0;0.45;0.45;0.43;0.307;0.265;0.164;0.155;0.328;0.209;0.203;0.223;0.223;0.228;0.227;0.21;0.215;0.211
transcript58_ENSMSIG00000000513;0.6;0.36;0.355;0.36;0.456;0.45;1.0;1.0;0.285;0.555;0.476;0.396;0.381;0.521;0.369;0.362;0.354;0.354;0.366;0.364;0.344;0.356;0.349
transcript58_ENSMUSG00000054036;0.6;0.36;0.355;0.36;0.456;0.45;1.0;1.0;0.285;0.555;0.476;0.396;0.381;0.521;0.369;0.362;0.354;0.354;0.366;0.364;0.344;0.356;0.349
transcript63_MGP-SPRETEiJ-G0021131;0.228;0.652;0.655;0.652;0.428;0.43;0.285;0.285;1.0;0.464;0.606;0.325;0.31;0.434;0.471;0.463;0.454;0.454;0.465;0.463;0.416;0.429;0.448
transcript54_ENSMUSG00000054036;0.68;0.268;0.265;0.268;0.311;0.307;0.555;0.555;0.464;1.0;0.858;0.809;0.766;0.921;0.658;0.634;0.622;0.622;0.659;0.655;0.617;0.654;0.642
