;ENSCAFT00000001418_90_90;ENSCAFT00000021179_90_90;ENST00000359842_90_90;ENST00000619224_90_90;ENST00000374680_90_90;ENST00000374685_90_90;ENST00000483281_90_90;ENSMUST00000015987_90_90;ENSMUST00000111380_90_90;ENSMUST00000111384_90_90;ENSMUST00000111386_90_90;ENSMUST00000044858_90_90;ENSMUST00000116612_90_90;ENSMUST00000173354_90_90;ENSMUST00000173554_90_90;ENSMUST00000174299_90_90
ENSCAFT00000001418_90_90;1.0;0.635;0.635;0.424;0.961;0.988;0.154;0.635;0.424;0.635;0.635;0.898;0.649;0.676;0.315;0.781
ENSCAFT00000021179_90_90;0.635;1.0;1.0;0.562;0.627;0.629;0.022;1.0;0.562;1.0;1.0;0.614;0.567;0.571;0.267;0.672
ENST00000359842_90_90;0.635;1.0;1.0;0.562;0.627;0.629;0.022;1.0;0.562;1.0;1.0;0.614;0.567;0.571;0.267;0.672
ENST00000619224_90_90;0.424;0.562;0.562;1.0;0.415;0.421;0.0;0.562;1.0;0.562;0.562;0.422;0.543;0.551;0.174;0.464
ENST00000374680_90_90;0.961;0.627;0.627;0.415;1.0;0.973;0.171;0.627;0.415;0.627;0.627;0.863;0.658;0.643;0.32;0.791
ENST00000374685_90_90;0.988;0.629;0.629;0.421;0.973;1.0;0.166;0.629;0.421;0.629;0.629;0.888;0.643;0.669;0.31;0.773
ENST00000483281_90_90;0.154;0.022;0.022;0.0;0.171;0.166;1.0;0.022;0.0;0.022;0.022;0.143;0.0;0.0;0.0;0.051
ENSMUST00000015987_90_90;0.635;1.0;1.0;0.562;0.627;0.629;0.022;1.0;0.562;1.0;1.0;0.614;0.567;0.571;0.267;0.672
ENSMUST00000111380_90_90;0.424;0.562;0.562;1.0;0.415;0.421;0.0;0.562;1.0;0.562;0.562;0.422;0.543;0.551;0.174;0.464
ENSMUST00000111384_90_90;0.635;1.0;1.0;0.562;0.627;0.629;0.022;1.0;0.562;1.0;1.0;0.614;0.567;0.571;0.267;0.672
ENSMUST00000111386_90_90;0.635;1.0;1.0;0.562;0.627;0.629;0.022;1.0;0.562;1.0;1.0;0.614;0.567;0.571;0.267;0.672
ENSMUST00000044858_90_90;0.898;0.614;0.614;0.422;0.863;0.888;0.143;0.614;0.422;0.614;0.614;1.0;0.691;0.72;0.327;0.875
ENSMUST00000116612_90_90;0.649;0.567;0.567;0.543;0.658;0.643;0.0;0.567;0.543;0.567;0.567;0.691;1.0;0.957;0.483;0.79
ENSMUST00000173354_90_90;0.676;0.571;0.571;0.551;0.643;0.669;0.0;0.571;0.551;0.571;0.571;0.72;0.957;1.0;0.46;0.768
ENSMUST00000173554_90_90;0.315;0.267;0.267;0.174;0.32;0.31;0.0;0.267;0.174;0.267;0.267;0.327;0.483;0.46;1.0;0.372
ENSMUST00000174299_90_90;0.781;0.672;0.672;0.464;0.791;0.773;0.051;0.672;0.464;0.672;0.672;0.875;0.79;0.768;0.372;1.0
