;ENSCAFT00000010991_90_90;ENSCAFT00000018912_90_90;ENST00000400304_90_90;ENST00000400305_90_90;ENST00000400308_90_90;ENST00000400309_90_90;ENST00000400310_90_90;ENST00000400314_90_90;ENST00000449640_90_90;ENST00000549265_90_90;ENSMUST00000001148_90_90;ENSMUST00000092393_90_90;ENSMUST00000105411_90_90;ENSMUST00000168465_90_90;ENSMUST00000173854_90_90
ENSCAFT00000010991_90_90;1.0;0.758;0.649;0.665;0.672;0.73;0.77;0.758;0.649;0.038;0.803;0.524;0.775;0.803;0.436
ENSCAFT00000018912_90_90;0.758;1.0;0.706;0.726;0.733;0.793;0.787;0.823;0.706;0.041;0.873;0.538;0.842;0.873;0.45
ENST00000400304_90_90;0.649;0.706;1.0;0.756;0.711;0.774;0.668;0.752;1.0;0.046;0.752;0.582;0.774;0.752;0.492
ENST00000400305_90_90;0.665;0.726;0.756;1.0;0.857;0.799;0.74;0.834;0.756;0.05;0.777;0.467;0.744;0.777;0.373
ENST00000400308_90_90;0.672;0.733;0.711;0.857;1.0;0.931;0.804;0.899;0.711;0.046;0.779;0.438;0.8;0.779;0.349
ENST00000400309_90_90;0.73;0.793;0.774;0.799;0.931;1.0;0.871;0.965;0.774;0.042;0.842;0.504;0.865;0.842;0.416
ENST00000400310_90_90;0.77;0.787;0.668;0.74;0.804;0.871;1.0;0.906;0.668;0.046;0.787;0.535;0.756;0.787;0.443
ENST00000400314_90_90;0.758;0.823;0.752;0.834;0.899;0.965;0.906;1.0;0.752;0.041;0.873;0.491;0.842;0.873;0.403
ENST00000449640_90_90;0.649;0.706;1.0;0.756;0.711;0.774;0.668;0.752;1.0;0.046;0.752;0.582;0.774;0.752;0.492
ENST00000549265_90_90;0.038;0.041;0.046;0.05;0.046;0.042;0.046;0.041;0.046;1.0;0.041;0.083;0.042;0.041;0.0
ENSMUST00000001148_90_90;0.803;0.873;0.752;0.777;0.779;0.842;0.787;0.873;0.752;0.041;1.0;0.538;0.965;1.0;0.45
ENSMUST00000092393_90_90;0.524;0.538;0.582;0.467;0.438;0.504;0.535;0.491;0.582;0.083;0.538;1.0;0.555;0.538;0.386
ENSMUST00000105411_90_90;0.775;0.842;0.774;0.744;0.8;0.865;0.756;0.842;0.774;0.042;0.965;0.555;1.0;0.965;0.467
ENSMUST00000168465_90_90;0.803;0.873;0.752;0.777;0.779;0.842;0.787;0.873;0.752;0.041;1.0;0.538;0.965;1.0;0.45
ENSMUST00000173854_90_90;0.436;0.45;0.492;0.373;0.349;0.416;0.443;0.403;0.492;0.0;0.45;0.386;0.467;0.45;1.0
