;ENSCAFT00000015434_90_90;ENST00000306107_90_90;ENST00000465413_90_90;ENST00000472644_90_90;ENST00000486979_90_90;ENSMUST00000023312_90_90;ENSMUST00000164728_90_90;ENSMUST00000167115_90_90;ENSMUST00000168071_90_90;ENSMUST00000170035_90_90
ENSCAFT00000015434_90_90;1.0;1.0;0.5;0.909;0.909;0.643;0.571;0.357;0.154;0.571
ENST00000306107_90_90;1.0;1.0;0.5;0.909;0.909;0.643;0.571;0.357;0.154;0.571
ENST00000465413_90_90;0.5;0.5;1.0;0.417;0.545;0.357;0.286;0.5;0.0;0.286
ENST00000472644_90_90;0.909;0.909;0.417;1.0;0.818;0.571;0.5;0.286;0.167;0.615
ENST00000486979_90_90;0.909;0.909;0.545;0.818;1.0;0.571;0.5;0.385;0.077;0.5
ENSMUST00000023312_90_90;0.643;0.643;0.357;0.571;0.571;1.0;0.769;0.538;0.231;0.917
ENSMUST00000164728_90_90;0.571;0.571;0.286;0.5;0.5;0.769;1.0;0.357;0.25;0.692
ENSMUST00000167115_90_90;0.357;0.357;0.5;0.286;0.385;0.538;0.357;1.0;0.0;0.462
ENSMUST00000168071_90_90;0.154;0.154;0.0;0.167;0.077;0.231;0.25;0.0;1.0;0.25
ENSMUST00000170035_90_90;0.571;0.571;0.286;0.615;0.5;0.917;0.692;0.462;0.25;1.0
