;ENSCAFT00000002592_90_90;ENST00000380321_90_90;ENST00000380338_90_90;ENST00000629733_90_90;ENST00000630269_90_90;ENSMUST00000078090_90_90;ENSMUST00000126353_90_90;ENSMUST00000142454_90_90;ENSMUST00000148059_90_90;ENSMUST00000149357_90_90
ENSCAFT00000002592_90_90;;0.325;0.843;0.212;0.801;0.883;0.212;0.09;0.139;0.325
ENST00000380321_90_90;0.325;;;;;0.309;0.676;0.0;0.416;1.0
ENST00000380338_90_90;0.843;;;;;0.958;0.212;0.09;0.139;0.325
ENST00000629733_90_90;0.212;;;;;0.205;1.0;0.0;0.311;0.676
ENST00000630269_90_90;0.801;;;;;0.841;0.222;0.144;0.148;0.344
ENSMUST00000078090_90_90;0.883;0.309;0.958;0.205;0.841;;;;;
ENSMUST00000126353_90_90;0.212;0.676;0.212;1.0;0.222;;;;;
ENSMUST00000142454_90_90;0.09;0.0;0.09;0.0;0.144;;;;;
ENSMUST00000148059_90_90;0.139;0.416;0.139;0.311;0.148;;;;;
ENSMUST00000149357_90_90;0.325;1.0;0.325;0.676;0.344;;;;;
