;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript49_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237
transcript8_ENSMSIG00000000513;1.0;0.345;0.357;0.357;0.363;0.249;0.249;0.271;0.28;0.26;0.26;0.232;0.241;0.249
transcript49_ENSMSIG00000000513;0.345;1.0;0.982;0.982;0.971;0.795;0.795;0.728;0.771;0.766;0.769;0.795;0.807;0.822
transcript60_ENSMSIG00000000513;0.357;0.982;1.0;1.0;0.989;0.778;0.778;0.71;0.754;0.758;0.761;0.781;0.799;0.805
transcript61_ENSMSIG00000000513;0.357;0.982;1.0;1.0;0.989;0.772;0.772;0.703;0.747;0.743;0.745;0.773;0.785;0.8
transcript62_ENSMSIG00000000513;0.363;0.971;0.989;0.989;1.0;0.764;0.764;0.694;0.754;0.734;0.737;0.765;0.777;0.792
transcript40_MGP-SPRETEiJ-G0021131;0.249;0.795;0.778;0.772;0.764;1.0;0.984;0.909;0.905;0.924;0.926;0.89;0.92;0.917
transcript49_MGP-SPRETEiJ-G0021131;0.249;0.795;0.778;0.772;0.764;0.984;1.0;0.924;0.92;0.908;0.911;0.875;0.904;0.902
transcript65_MGP-SPRETEiJ-G0021131;0.271;0.728;0.71;0.703;0.694;0.909;0.924;1.0;0.844;0.835;0.838;0.808;0.835;0.834
transcript66_MGP-SPRETEiJ-G0021131;0.28;0.771;0.754;0.747;0.754;0.905;0.92;0.844;1.0;0.831;0.834;0.805;0.832;0.83
transcript7_ENSMUSG00000054036;0.26;0.766;0.758;0.743;0.734;0.924;0.908;0.835;0.831;1.0;0.997;0.871;0.912;0.893
transcript46_ENSMUSG00000054036;0.26;0.769;0.761;0.745;0.737;0.926;0.911;0.838;0.834;0.997;1.0;0.873;0.914;0.895
transcript38_MGP-CAROLIEiJ-G0020234;0.232;0.795;0.781;0.773;0.765;0.89;0.875;0.808;0.805;0.871;0.873;1.0;0.954;0.97
transcript47_MGP-CAROLIEiJ-G0020234;0.241;0.807;0.799;0.785;0.777;0.92;0.904;0.835;0.832;0.912;0.914;0.954;1.0;0.926
transcript38_MGP-PahariEiJ-G0020237;0.249;0.822;0.805;0.8;0.792;0.917;0.902;0.834;0.83;0.893;0.895;0.97;0.926;1.0
