;ENSCAFT00000008028_90_90;ENSCAFT00000008030_90_90;ENST00000293217_90_90;ENST00000301608_90_90;ENST00000572047_90_90;ENST00000573078_90_90;ENST00000576743_90_90;ENST00000587927_90_90;ENST00000588176_90_90;ENST00000588968_90_90;ENST00000589301_90_90;ENSMUST00000066587_90_90;ENSMUST00000072948_90_90;ENSMUST00000148601_90_90
ENSCAFT00000008028_90_90;1.0;0.85;0.849;0.999;0.054;0.236;0.162;0.199;0.236;0.191;0.054;0.803;0.95;0.799
ENSCAFT00000008030_90_90;0.85;1.0;0.999;0.849;0.054;0.236;0.075;0.199;0.143;0.191;0.054;0.95;0.803;0.799
ENST00000293217_90_90;0.849;0.999;1.0;0.85;0.052;0.237;0.075;0.199;0.144;0.19;0.052;0.903;0.767;0.8
ENST00000301608_90_90;0.999;0.849;0.85;1.0;0.052;0.237;0.162;0.199;0.237;0.19;0.052;0.767;0.903;0.8
ENST00000572047_90_90;0.054;0.054;0.052;0.052;1.0;0.141;0.0;0.0;0.19;0.0;1.0;0.034;0.034;0.0
ENST00000573078_90_90;0.236;0.236;0.237;0.237;0.141;1.0;0.478;0.0;0.606;0.0;0.141;0.182;0.182;0.187
ENST00000576743_90_90;0.162;0.075;0.075;0.162;0.0;0.478;1.0;0.0;0.68;0.0;0.0;0.075;0.162;0.079
ENST00000587927_90_90;0.199;0.199;0.199;0.199;0.0;0.0;0.0;1.0;0.0;0.696;0.0;0.199;0.199;0.211
ENST00000588176_90_90;0.236;0.143;0.144;0.237;0.19;0.606;0.68;0.0;1.0;0.0;0.19;0.093;0.177;0.094
ENST00000588968_90_90;0.191;0.191;0.19;0.19;0.0;0.0;0.0;0.696;0.0;1.0;0.0;0.196;0.196;0.208
ENST00000589301_90_90;0.054;0.054;0.052;0.052;1.0;0.141;0.0;0.0;0.19;0.0;1.0;0.034;0.034;0.0
ENSMUST00000066587_90_90;0.803;0.95;0.903;0.767;0.034;0.182;0.075;0.199;0.093;0.196;0.034;1.0;0.85;0.799
ENSMUST00000072948_90_90;0.95;0.803;0.767;0.903;0.034;0.182;0.162;0.199;0.177;0.196;0.034;0.85;1.0;0.799
ENSMUST00000148601_90_90;0.799;0.799;0.8;0.8;0.0;0.187;0.079;0.211;0.094;0.208;0.0;0.799;0.799;1.0
