;transcript52_ENSMUSG00000054036;transcript52_MGP-CAROLIEiJ-G0020234;transcript57_ENSMUSG00000054036;transcript64_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript9_MGP-PahariEiJ-G0020237;transcript62_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript7_MGP-PahariEiJ-G0020237;transcript48_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript53_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript41_ENSMUGG00000013649
transcript52_ENSMUSG00000054036;1.0;1.0;0.45;0.75;0.562;0.562;0.562;0.778;0.5;0.444;0.5;0.35;0.333;0.467;0.167;0.389;0.389;0.375
transcript52_MGP-CAROLIEiJ-G0020234;1.0;1.0;0.45;0.75;0.562;0.562;0.562;0.778;0.5;0.444;0.5;0.35;0.333;0.467;0.167;0.389;0.389;0.375
transcript57_ENSMUSG00000054036;0.45;0.45;1.0;0.6;0.8;0.5;0.5;0.35;0.458;0.85;0.9;0.727;0.696;0.435;0.391;0.8;0.8;0.833
transcript64_ENSMUSG00000054036;0.75;0.75;0.6;1.0;0.75;0.474;0.474;0.583;0.421;0.526;0.579;0.5;0.476;0.667;0.143;0.556;0.556;0.5
transcript67_ENSMUSG00000054036;0.562;0.562;0.8;0.75;1.0;0.6;0.6;0.438;0.55;0.737;0.789;0.619;0.591;0.526;0.273;0.684;0.684;0.667
transcript9_MGP-CAROLIEiJ-G0020234;0.562;0.562;0.5;0.474;0.6;1.0;1.0;0.438;0.938;0.5;0.545;0.478;0.522;0.526;0.4;0.391;0.391;0.667
transcript9_MGP-PahariEiJ-G0020237;0.562;0.562;0.5;0.474;0.6;1.0;1.0;0.438;0.938;0.5;0.545;0.478;0.522;0.526;0.4;0.391;0.391;0.667
transcript62_MGP-CAROLIEiJ-G0020234;0.778;0.778;0.35;0.583;0.438;0.438;0.438;1.0;0.375;0.412;0.389;0.25;0.238;0.333;0.056;0.278;0.278;0.292
transcript63_MGP-CAROLIEiJ-G0020234;0.5;0.5;0.458;0.421;0.55;0.938;0.938;0.375;1.0;0.455;0.5;0.435;0.478;0.474;0.421;0.348;0.348;0.625
transcript7_MGP-PahariEiJ-G0020237;0.444;0.444;0.85;0.526;0.737;0.5;0.5;0.412;0.455;1.0;0.944;0.591;0.565;0.364;0.318;0.65;0.65;0.708
transcript48_MGP-PahariEiJ-G0020237;0.5;0.5;0.9;0.579;0.789;0.545;0.545;0.389;0.5;0.944;1.0;0.636;0.609;0.409;0.364;0.7;0.7;0.75
transcript8_ENSRNOG00000031503;0.35;0.35;0.727;0.5;0.619;0.478;0.478;0.25;0.435;0.591;0.636;1.0;0.947;0.632;0.579;0.889;0.889;0.75
transcript40_ENSRNOG00000031503;0.333;0.333;0.696;0.476;0.591;0.522;0.522;0.238;0.478;0.565;0.609;0.947;1.0;0.684;0.632;0.842;0.842;0.792
transcript49_ENSRNOG00000031503;0.467;0.467;0.435;0.667;0.526;0.526;0.526;0.333;0.474;0.364;0.409;0.632;0.684;1.0;0.316;0.526;0.526;0.542
transcript53_ENSRNOG00000031503;0.167;0.167;0.391;0.143;0.273;0.4;0.4;0.056;0.421;0.318;0.364;0.579;0.632;0.316;1.0;0.474;0.474;0.5
transcript54_ENSRNOG00000031503;0.389;0.389;0.8;0.556;0.684;0.391;0.391;0.278;0.348;0.65;0.7;0.889;0.842;0.526;0.474;1.0;1.0;0.667
transcript55_ENSRNOG00000031503;0.389;0.389;0.8;0.556;0.684;0.391;0.391;0.278;0.348;0.65;0.7;0.889;0.842;0.526;0.474;1.0;1.0;0.667
transcript41_ENSMUGG00000013649;0.375;0.375;0.833;0.5;0.667;0.667;0.667;0.292;0.625;0.708;0.75;0.75;0.792;0.542;0.5;0.667;0.667;1.0
