;ENSCAFT00000011051_90_90;ENSCAFT00000039005_90_90;ENST00000319836_90_90;ENST00000395769_90_90;ENST00000453424_90_90;ENST00000453980_90_90;ENSMUST00000079012_90_90;ENSMUST00000101032_90_90;ENSMUST00000123405_90_90;ENSMUST00000126376_90_90;ENSMUST00000129170_90_90;ENSMUST00000135901_90_90;ENSMUST00000140884_90_90;ENSMUST00000203116_90_90;ENSMUST00000203193_90_90;ENSMUST00000204657_90_90
ENSCAFT00000011051_90_90;1.0;0.524;0.944;0.944;0.708;0.556;0.778;0.778;0.583;0.059;0.118;0.579;0.389;0.059;0.611;0.611
ENSCAFT00000039005_90_90;0.524;1.0;0.5;0.5;0.625;0.182;0.5;0.5;0.565;0.0;0.0;0.4;0.15;0.067;0.588;0.35
ENST00000319836_90_90;0.944;0.5;1.0;1.0;0.75;0.611;0.737;0.737;0.56;0.056;0.111;0.55;0.368;0.056;0.579;0.579
ENST00000395769_90_90;0.944;0.5;1.0;1.0;0.75;0.611;0.737;0.737;0.56;0.056;0.111;0.55;0.368;0.056;0.579;0.579
ENST00000453424_90_90;0.708;0.625;0.75;0.75;1.0;0.458;0.56;0.56;0.731;0.042;0.083;0.423;0.28;0.042;0.44;0.44
ENST00000453980_90_90;0.556;0.182;0.611;0.611;0.458;1.0;0.444;0.444;0.333;0.091;0.182;0.412;0.583;0.0;0.278;0.533
ENSMUST00000079012_90_90;0.778;0.5;0.737;0.737;0.56;0.444;1.0;1.0;0.714;0.067;0.133;0.647;0.533;0.067;0.8;0.8
ENSMUST00000101032_90_90;0.778;0.5;0.737;0.737;0.56;0.444;1.0;1.0;0.714;0.067;0.133;0.647;0.533;0.067;0.8;0.8
ENSMUST00000123405_90_90;0.583;0.565;0.56;0.56;0.731;0.333;0.714;0.714;1.0;0.048;0.095;0.478;0.381;0.048;0.571;0.571
ENSMUST00000126376_90_90;0.059;0.0;0.056;0.056;0.042;0.091;0.067;0.067;0.048;1.0;0.5;0.0;0.125;0.0;0.0;0.083
ENSMUST00000129170_90_90;0.118;0.0;0.111;0.111;0.083;0.182;0.133;0.133;0.095;0.5;1.0;0.0;0.25;0.0;0.0;0.167
ENSMUST00000135901_90_90;0.579;0.4;0.55;0.55;0.423;0.412;0.647;0.647;0.478;0.0;0.0;1.0;0.4;0.077;0.667;0.667
ENSMUST00000140884_90_90;0.389;0.15;0.368;0.368;0.28;0.583;0.533;0.533;0.381;0.125;0.25;0.4;1.0;0.0;0.333;0.667
ENSMUST00000203116_90_90;0.059;0.067;0.056;0.056;0.042;0.0;0.067;0.067;0.048;0.0;0.0;0.077;0.0;1.0;0.083;0.083
ENSMUST00000203193_90_90;0.611;0.588;0.579;0.579;0.44;0.278;0.8;0.8;0.571;0.0;0.0;0.667;0.333;0.083;1.0;0.6
ENSMUST00000204657_90_90;0.611;0.35;0.579;0.579;0.44;0.533;0.8;0.8;0.571;0.083;0.167;0.667;0.667;0.083;0.6;1.0
