;ENSCAFT00000012216_90_90;ENST00000320694_90_90;ENST00000336483_90_90;ENST00000517698_90_90;ENST00000519025_90_90;ENST00000520675_90_90;ENST00000521381_90_90;ENST00000521409_90_90;ENST00000521657_90_90;ENST00000522084_90_90;ENST00000523807_90_90;ENST00000523872_90_90;ENSMUST00000035532_90_90;ENSMUST00000055518_90_90;ENSMUST00000185795_90_90;ENSMUST00000187009_90_90
ENSCAFT00000012216_90_90;1.0;0.524;0.571;0.095;0.381;0.238;0.905;0.238;0.905;0.333;0.381;0.333;0.65;0.95;0.4;0.4
ENST00000320694_90_90;0.524;1.0;0.8;0.067;0.571;0.0;0.4;0.385;0.4;0.333;0.389;0.538;0.846;0.579;0.636;0.636
ENST00000336483_90_90;0.571;0.8;1.0;0.214;0.533;0.0;0.387;0.357;0.387;0.316;0.368;0.5;1.0;0.524;0.538;0.538
ENST00000517698_90_90;0.095;0.067;0.214;1.0;0.091;0.0;0.032;0.0;0.032;0.077;0.071;0.0;0.231;0.048;0.111;0.111
ENST00000519025_90_90;0.381;0.571;0.533;0.091;1.0;0.0;0.267;0.556;0.267;0.176;0.235;0.6;0.615;0.421;0.5;0.667
ENST00000520675_90_90;0.238;0.0;0.0;0.0;0.0;1.0;0.194;0.0;0.194;0.0;0.0;0.0;0.0;0.211;0.0;0.0
ENST00000521381_90_90;0.905;0.4;0.387;0.032;0.267;0.194;1.0;0.172;1.0;0.379;0.414;0.241;0.524;1.0;0.368;0.368
ENST00000521409_90_90;0.238;0.385;0.357;0.0;0.556;0.0;0.172;1.0;0.172;0.067;0.133;0.714;0.385;0.263;0.333;0.5
ENST00000521657_90_90;0.905;0.4;0.387;0.032;0.267;0.194;1.0;0.172;1.0;0.379;0.414;0.241;0.524;1.0;0.368;0.368
ENST00000522084_90_90;0.333;0.333;0.316;0.077;0.176;0.0;0.379;0.067;0.379;1.0;0.917;0.059;0.385;0.263;0.714;0.5
ENST00000523807_90_90;0.381;0.389;0.368;0.071;0.235;0.0;0.414;0.133;0.414;0.917;1.0;0.118;0.462;0.316;0.857;0.625
ENST00000523872_90_90;0.333;0.538;0.5;0.0;0.6;0.0;0.241;0.714;0.241;0.059;0.118;1.0;0.538;0.368;0.273;0.4
ENSMUST00000035532_90_90;0.65;0.846;1.0;0.231;0.615;0.0;0.524;0.385;0.524;0.385;0.462;0.538;1.0;0.522;0.533;0.571
ENSMUST00000055518_90_90;0.95;0.579;0.524;0.048;0.421;0.211;1.0;0.263;1.0;0.263;0.316;0.368;0.522;1.0;0.364;0.381
ENSMUST00000185795_90_90;0.4;0.636;0.538;0.111;0.5;0.0;0.368;0.333;0.368;0.714;0.857;0.273;0.533;0.364;1.0;0.7
ENSMUST00000187009_90_90;0.4;0.636;0.538;0.111;0.667;0.0;0.368;0.5;0.368;0.5;0.625;0.4;0.571;0.381;0.7;1.0
