;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript49_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237
transcript8_ENSMSIG00000000513;1.0;0.194;0.2;0.206;0.208;0.154;0.156;0.169;0.169;0.166;0.166;0.141;0.147;0.149
transcript49_ENSMSIG00000000513;0.194;1.0;0.972;0.942;0.932;0.754;0.766;0.706;0.742;0.723;0.725;0.745;0.769;0.769
transcript60_ENSMSIG00000000513;0.2;0.972;1.0;0.948;0.938;0.732;0.743;0.683;0.718;0.715;0.717;0.727;0.761;0.747
transcript61_ENSMSIG00000000513;0.206;0.942;0.948;1.0;0.989;0.708;0.718;0.658;0.693;0.676;0.679;0.7;0.722;0.724
transcript62_ENSMSIG00000000513;0.208;0.932;0.938;0.989;1.0;0.699;0.71;0.65;0.699;0.668;0.671;0.693;0.715;0.716
transcript40_MGP-SPRETEiJ-G0021131;0.154;0.754;0.732;0.708;0.699;1.0;0.984;0.909;0.905;0.911;0.914;0.887;0.916;0.913
transcript49_MGP-SPRETEiJ-G0021131;0.156;0.766;0.743;0.718;0.71;0.984;1.0;0.924;0.92;0.896;0.899;0.872;0.901;0.899
transcript65_MGP-SPRETEiJ-G0021131;0.169;0.706;0.683;0.658;0.65;0.909;0.924;1.0;0.844;0.824;0.827;0.805;0.832;0.831
transcript66_MGP-SPRETEiJ-G0021131;0.169;0.742;0.718;0.693;0.699;0.905;0.92;0.844;1.0;0.82;0.823;0.802;0.828;0.827
transcript7_ENSMUSG00000054036;0.166;0.723;0.715;0.676;0.668;0.911;0.896;0.824;0.82;1.0;0.997;0.863;0.903;0.885
transcript46_ENSMUSG00000054036;0.166;0.725;0.717;0.679;0.671;0.914;0.899;0.827;0.823;0.997;1.0;0.866;0.906;0.888
transcript38_MGP-CAROLIEiJ-G0020234;0.141;0.745;0.727;0.7;0.693;0.887;0.872;0.805;0.802;0.863;0.866;1.0;0.954;0.97
transcript47_MGP-CAROLIEiJ-G0020234;0.147;0.769;0.761;0.722;0.715;0.916;0.901;0.832;0.828;0.903;0.906;0.954;1.0;0.926
transcript38_MGP-PahariEiJ-G0020237;0.149;0.769;0.747;0.724;0.716;0.913;0.899;0.831;0.827;0.885;0.888;0.97;0.926;1.0
