;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript49_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237
transcript8_ENSMSIG00000000513;1.0;0.128;0.133;0.131;0.134;0.075;0.076;0.085;0.088;0.101;0.1;0.084;0.086;0.089
transcript49_ENSMSIG00000000513;0.128;1.0;0.965;0.977;0.953;0.643;0.649;0.58;0.596;0.546;0.555;0.575;0.571;0.699
transcript60_ENSMSIG00000000513;0.133;0.965;1.0;0.965;0.941;0.617;0.623;0.554;0.569;0.547;0.556;0.562;0.573;0.675
transcript61_ENSMSIG00000000513;0.131;0.977;0.965;1.0;0.976;0.626;0.632;0.562;0.578;0.529;0.538;0.558;0.554;0.683
transcript62_ENSMSIG00000000513;0.134;0.953;0.941;0.976;1.0;0.609;0.614;0.545;0.589;0.513;0.521;0.554;0.55;0.667
transcript40_MGP-SPRETEiJ-G0021131;0.075;0.643;0.617;0.626;0.609;1.0;0.99;0.883;0.854;0.733;0.741;0.639;0.636;0.837
transcript49_MGP-SPRETEiJ-G0021131;0.076;0.649;0.623;0.632;0.614;0.99;1.0;0.892;0.863;0.724;0.733;0.63;0.627;0.829
transcript65_MGP-SPRETEiJ-G0021131;0.085;0.58;0.554;0.562;0.545;0.883;0.892;1.0;0.755;0.643;0.652;0.578;0.574;0.74
transcript66_MGP-SPRETEiJ-G0021131;0.088;0.596;0.569;0.578;0.589;0.854;0.863;0.755;1.0;0.617;0.626;0.565;0.561;0.715
transcript7_ENSMUSG00000054036;0.101;0.546;0.547;0.529;0.513;0.733;0.724;0.643;0.617;1.0;0.99;0.624;0.635;0.797
transcript46_ENSMUSG00000054036;0.1;0.555;0.556;0.538;0.521;0.741;0.733;0.652;0.626;0.99;1.0;0.632;0.643;0.805
transcript38_MGP-CAROLIEiJ-G0020234;0.084;0.575;0.562;0.558;0.554;0.639;0.63;0.578;0.565;0.624;0.632;1.0;0.978;0.748
transcript47_MGP-CAROLIEiJ-G0020234;0.086;0.571;0.573;0.554;0.55;0.636;0.627;0.574;0.561;0.635;0.643;0.978;1.0;0.732
transcript38_MGP-PahariEiJ-G0020237;0.089;0.699;0.675;0.683;0.667;0.837;0.829;0.74;0.715;0.797;0.805;0.748;0.732;1.0
