;ENSCAFT00000002168_90_90;ENSCAFT00000045695_90_90;ENSCAFT00000013241_90_90;ENSCAFT00000019370_90_90;ENST00000253363_90_90;ENST00000338163_90_90;ENST00000361162_90_90;ENST00000374038_90_90;ENST00000397370_90_90;ENST00000403542_90_90;ENST00000412738_90_90;ENST00000416108_90_90;ENST00000416529_90_90;ENST00000425184_90_90;ENST00000426951_90_90;ENST00000429968_90_90;ENST00000433027_90_90;ENST00000434927_90_90;ENST00000444878_90_90;ENST00000448303_90_90;ENST00000449489_90_90;ENST00000453310_90_90;ENST00000455343_90_90;ENST00000476806_90_90;ENST00000490484_90_90;ENST00000528062_90_90;ENST00000615771_90_90;ENST00000369086_90_90;ENST00000369093_90_90;ENST00000412524_90_90;ENST00000436547_90_90;ENST00000479729_90_90;ENST00000497671_90_90;ENST00000313352_90_90;ENST00000349157_90_90;ENST00000453551_90_90;ENST00000456095_90_90;ENST00000526459_90_90;ENST00000526683_90_90;ENST00000527197_90_90;ENST00000527744_90_90;ENST00000529999_90_90;ENST00000531897_90_90;ENST00000532884_90_90;ENST00000533162_90_90;ENSMUST00000002599_90_90;ENSMUST00000100527_90_90;ENSMUST00000029149_90_90;ENSMUST00000109584_90_90;ENSMUST00000109587_90_90;ENSMUST00000126992_90_90;ENSMUST00000137566_90_90;ENSMUST00000142071_90_90;ENSMUST00000146288_90_90;ENSMUST00000146297_90_90;ENSMUST00000146549_90_90;ENSMUST00000147098_90_90;ENSMUST00000148794_90_90;ENSMUST00000152919_90_90;ENSMUST00000153514_90_90;ENSMUST00000154677_90_90;ENSMUST00000155837_90_90;ENSMUST00000033135_90_90;ENSMUST00000106226_90_90;ENSMUST00000106228_90_90;ENSMUST00000123666_90_90;ENSMUST00000133089_90_90;ENSMUST00000133444_90_90;ENSMUST00000141126_90_90;ENSMUST00000165023_90_90;ENSMUST00000205278_90_90;ENSMUST00000205835_90_90
ENSCAFT00000002168_90_90;1.0;0.868;0.906;1.0;0.828;0.655;0.828;0.384;0.101;0.037;0.037;0.037;0.038;0.0;0.089;0.076;0.063;0.322;0.037;0.585;0.037;0.037;0.037;0.051;0.443;0.791;0.215;0.258;0.952;0.29;0.903;0.045;0.387;0.872;1.0;0.804;0.843;0.681;0.922;0.915;0.618;0.511;0.489;0.553;0.363;1.0;0.922;0.892;0.067;0.892;0.512;0.039;0.663;0.256;0.892;0.039;0.067;0.632;0.039;0.08;0.04;0.039;0.873;0.921;0.73;0.397;0.127;0.238;0.476;0.873;0.397;0.302
ENSCAFT00000045695_90_90;0.868;1.0;0.965;1.0;0.865;0.697;0.865;0.416;0.056;0.022;0.022;0.022;0.0;0.023;0.069;0.034;0.022;0.371;0.022;0.593;0.022;0.022;0.022;0.047;0.407;0.809;0.198;0.239;0.881;0.269;0.836;0.119;0.358;0.828;0.892;0.909;0.892;0.598;0.971;0.814;0.683;0.485;0.465;0.525;0.455;0.893;0.971;0.929;0.024;0.929;0.541;0.024;0.706;0.294;0.929;0.024;0.024;0.598;0.024;0.035;0.0;0.024;0.873;0.921;0.73;0.397;0.127;0.238;0.476;0.873;0.397;0.302
ENSCAFT00000013241_90_90;0.906;0.965;1.0;1.0;0.975;0.686;0.966;0.407;0.059;0.034;0.034;0.034;0.034;0.0;0.093;0.068;0.059;0.373;0.034;0.653;0.034;0.034;0.034;0.059;0.356;0.932;0.203;0.203;0.892;0.23;0.851;0.108;0.297;0.8;0.906;0.894;0.941;0.659;1.0;0.847;0.741;0.471;0.447;0.494;0.459;0.906;1.0;0.983;0.059;0.992;0.487;0.034;0.681;0.303;0.983;0.034;0.059;0.605;0.034;0.067;0.034;0.034;0.899;0.942;0.783;0.333;0.116;0.232;0.565;0.899;0.333;0.29
ENSCAFT00000019370_90_90;1.0;1.0;1.0;1.0;0.868;0.671;0.868;0.211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.145;0.0;0.711;0.0;0.0;0.0;0.066;0.447;0.842;0.25;0.175;0.979;0.196;0.928;0.021;0.247;0.952;0.952;0.952;0.952;0.651;0.952;0.952;0.619;0.381;0.349;0.746;0.254;1.0;1.0;0.957;0.0;0.957;0.329;0.0;0.629;0.071;0.957;0.0;0.0;0.757;0.0;0.0;0.0;0.0;0.927;0.979;0.844;0.26;0.083;0.344;0.667;0.927;0.292;0.208
ENST00000253363_90_90;0.828;0.865;0.975;0.868;1.0;0.659;0.992;0.417;0.062;0.032;0.032;0.032;0.032;0.0;0.1;0.066;0.066;0.383;0.032;0.667;0.032;0.032;0.032;0.074;0.336;0.958;0.215;0.205;0.783;0.233;0.747;0.11;0.301;0.783;0.837;0.88;0.928;0.598;0.93;0.831;0.694;0.43;0.407;0.482;0.419;0.818;0.909;0.983;0.068;0.992;0.496;0.033;0.667;0.308;0.983;0.033;0.068;0.602;0.033;0.067;0.033;0.033;0.782;0.821;0.679;0.338;0.118;0.192;0.487;0.782;0.338;0.294
ENST00000338163_90_90;0.655;0.697;0.686;0.671;0.659;1.0;0.664;0.532;0.078;0.041;0.041;0.041;0.041;0.0;0.128;0.083;0.084;0.489;0.041;0.475;0.041;0.041;0.041;0.095;0.427;0.62;0.274;0.259;0.602;0.293;0.566;0.138;0.379;0.581;0.64;0.674;0.721;0.764;0.73;0.628;0.833;0.5;0.473;0.354;0.486;0.648;0.739;0.689;0.094;0.683;0.69;0.045;0.965;0.429;0.689;0.045;0.094;0.486;0.045;0.093;0.045;0.045;0.627;0.667;0.52;0.451;0.157;0.357;0.32;0.627;0.451;0.145
ENST00000361162_90_90;0.828;0.865;0.966;0.868;0.992;0.664;1.0;0.42;0.063;0.033;0.033;0.033;0.033;0.0;0.101;0.066;0.067;0.387;0.033;0.658;0.033;0.033;0.033;0.075;0.339;0.95;0.217;0.205;0.783;0.233;0.747;0.11;0.301;0.783;0.837;0.88;0.928;0.598;0.93;0.831;0.694;0.43;0.407;0.482;0.419;0.818;0.909;0.991;0.068;0.983;0.5;0.033;0.672;0.31;0.991;0.033;0.068;0.593;0.033;0.068;0.033;0.033;0.782;0.821;0.679;0.338;0.118;0.192;0.487;0.782;0.338;0.294
ENST00000374038_90_90;0.384;0.416;0.407;0.211;0.417;0.532;0.42;1.0;0.138;0.074;0.074;0.074;0.074;0.0;0.24;0.154;0.157;0.882;0.074;0.25;0.074;0.074;0.074;0.0;0.24;0.375;0.0;0.156;0.198;0.147;0.16;0.304;0.419;0.317;0.388;0.398;0.446;0.478;0.465;0.366;0.576;0.566;0.588;0.153;0.745;0.379;0.455;0.419;0.16;0.415;0.845;0.075;0.59;0.7;0.419;0.075;0.16;0.235;0.075;0.157;0.075;0.075;0.176;0.216;0.068;0.5;0.0;0.0;0.0;0.176;0.5;0.333
ENST00000397370_90_90;0.101;0.056;0.059;0.0;0.062;0.078;0.063;0.138;1.0;0.2;0.2;0.2;0.2;0.0;0.217;0.444;0.471;0.148;0.2;0.0;0.2;0.2;0.2;0.0;0.0;0.065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09;0.0;0.036;0.1;0.081;0.039;0.076;0.087;0.091;0.0;0.089;0.113;0.102;0.068;1.0;0.067;0.136;0.308;0.095;0.216;0.068;0.308;0.8;0.0;0.308;0.727;0.308;0.308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000403542_90_90;0.037;0.022;0.034;0.0;0.032;0.041;0.033;0.074;0.2;1.0;1.0;1.0;0.333;0.5;0.053;0.286;0.308;0.08;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038;0.0;0.037;0.051;0.035;0.042;0.031;0.0;0.0;0.0;0.0;0.037;0.034;0.033;0.308;0.033;0.065;1.0;0.046;0.1;0.033;1.0;0.308;0.0;1.0;0.286;0.333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
