;ENSCAFT00000003676_90_90;ENST00000242066_90_90;ENST00000399357_90_90;ENST00000403527_90_90;ENST00000403685_90_90;ENST00000405192_90_90;ENST00000405218_90_90;ENST00000405358_90_90;ENST00000420159_90_90;ENST00000421381_90_90;ENST00000430479_90_90;ENST00000431887_90_90;ENST00000433547_90_90;ENST00000438956_90_90;ENST00000443137_90_90;ENST00000443608_90_90;ENSMUST00000095767_90_90;ENSMUST00000159334_90_90;ENSMUST00000160244_90_90;ENSMUST00000160701_90_90;ENSMUST00000160856_90_90;ENSMUST00000160996_90_90;ENSMUST00000161164_90_90;ENSMUST00000161513_90_90;ENSMUST00000161980_90_90;ENSMUST00000162563_90_90
ENSCAFT00000003676_90_90;;0.901;0.655;0.768;0.901;0.869;0.947;0.82;0.725;0.324;0.947;0.239;0.076;0.569;0.747;0.338;1.0;0.814;0.92;0.698;0.953;0.491;0.076;0.405;0.77;1.0
ENST00000242066_90_90;0.901;;;;;;;;;;;;;;;;0.901;0.725;0.825;0.612;0.944;0.515;0.081;0.364;0.757;0.901
ENST00000399357_90_90;0.655;;;;;;;;;;;;;;;;0.655;0.809;0.582;0.932;0.612;0.212;0.0;0.202;0.759;0.655
ENST00000403527_90_90;0.768;;;;;;;;;;;;;;;;0.768;0.94;0.695;0.809;0.725;0.329;0.0;0.311;0.89;0.768
ENST00000403685_90_90;0.901;;;;;;;;;;;;;;;;0.901;0.725;0.825;0.612;0.944;0.515;0.081;0.364;0.757;0.901
ENST00000405192_90_90;0.869;;;;;;;;;;;;;;;;0.869;0.695;0.941;0.582;0.825;0.534;0.084;0.435;0.652;0.869
ENST00000405218_90_90;0.947;;;;;;;;;;;;;;;;0.947;0.768;0.869;0.655;0.901;0.491;0.076;0.405;0.725;0.947
ENST00000405358_90_90;0.82;;;;;;;;;;;;;;;;0.82;0.725;0.751;0.618;0.779;0.403;0.029;0.487;0.685;0.82
ENST00000420159_90_90;0.725;;;;;;;;;;;;;;;;0.725;0.89;0.652;0.759;0.757;0.344;0.0;0.269;0.936;0.725
ENST00000421381_90_90;0.324;;;;;;;;;;;;;;;;0.324;0.168;0.355;0.154;0.277;0.511;0.224;0.455;0.124;0.324
ENST00000430479_90_90;0.947;;;;;;;;;;;;;;;;0.947;0.768;0.869;0.655;0.901;0.491;0.076;0.405;0.725;0.947
ENST00000431887_90_90;0.239;;;;;;;;;;;;;;;;0.239;0.087;0.261;0.1;0.192;0.356;0.305;0.319;0.043;0.239
ENST00000433547_90_90;0.076;;;;;;;;;;;;;;;;0.076;0.0;0.084;0.0;0.081;0.154;1.0;0.051;0.0;0.076
ENST00000438956_90_90;0.569;;;;;;;;;;;;;;;;0.569;0.712;0.496;0.581;0.595;0.42;0.0;0.327;0.75;0.569
ENST00000443137_90_90;0.747;;;;;;;;;;;;;;;;0.747;0.585;0.673;0.477;0.704;0.564;0.083;0.465;0.543;0.747
ENST00000443608_90_90;0.338;;;;;;;;;;;;;;;;0.338;0.448;0.316;0.517;0.293;0.334;0.0;0.309;0.396;0.338
ENSMUST00000095767_90_90;1.0;0.901;0.655;0.768;0.901;0.869;0.947;0.82;0.725;0.324;0.947;0.239;0.076;0.569;0.747;0.338;;;;;;;;;;
ENSMUST00000159334_90_90;0.814;0.725;0.809;0.94;0.725;0.695;0.768;0.725;0.89;0.168;0.768;0.087;0.0;0.712;0.585;0.448;;;;;;;;;;
ENSMUST00000160244_90_90;0.92;0.825;0.582;0.695;0.825;0.941;0.869;0.751;0.652;0.355;0.869;0.261;0.084;0.496;0.673;0.316;;;;;;;;;;
ENSMUST00000160701_90_90;0.698;0.612;0.932;0.809;0.612;0.582;0.655;0.618;0.759;0.154;0.655;0.1;0.0;0.581;0.477;0.517;;;;;;;;;;
ENSMUST00000160856_90_90;0.953;0.944;0.612;0.725;0.944;0.825;0.901;0.779;0.757;0.277;0.901;0.192;0.081;0.595;0.704;0.293;;;;;;;;;;
ENSMUST00000160996_90_90;0.491;0.515;0.212;0.329;0.515;0.534;0.491;0.403;0.344;0.511;0.491;0.356;0.154;0.42;0.564;0.334;;;;;;;;;;
ENSMUST00000161164_90_90;0.076;0.081;0.0;0.0;0.081;0.084;0.076;0.029;0.0;0.224;0.076;0.305;1.0;0.0;0.083;0.0;;;;;;;;;;
ENSMUST00000161513_90_90;0.405;0.364;0.202;0.311;0.364;0.435;0.405;0.487;0.269;0.455;0.405;0.319;0.051;0.327;0.465;0.309;;;;;;;;;;
ENSMUST00000161980_90_90;0.77;0.757;0.759;0.89;0.757;0.652;0.725;0.685;0.936;0.124;0.725;0.043;0.0;0.75;0.543;0.396;;;;;;;;;;
ENSMUST00000162563_90_90;1.0;0.901;0.655;0.768;0.901;0.869;0.947;0.82;0.725;0.324;0.947;0.239;0.076;0.569;0.747;0.338;;;;;;;;;;
