;transcript7_ENSMSIG00000000513;transcript7_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript70_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript57_MGP-PahariEiJ-G0020237
transcript7_ENSMSIG00000000513;1.0;1.0;0.985;0.776;0.809;0.776;0.821;0.759;0.794;0.78;0.8;0.894;0.931;0.879;0.914;0.913;0.884;0.899;0.884;0.912;0.903;0.812
transcript7_MGP-SPRETEiJ-G0021131;1.0;1.0;0.983;0.87;0.909;0.871;0.913;0.818;0.849;0.841;0.899;0.674;0.731;0.663;0.716;0.696;0.674;0.685;0.674;0.692;0.723;0.696
transcript7_ENSMUSG00000054036;0.985;0.983;1.0;0.847;0.879;0.849;0.901;0.812;0.855;0.87;0.875;0.663;0.725;0.651;0.71;0.711;0.687;0.699;0.687;0.707;0.67;0.67
transcript50_ENSMSIG00000000513;0.776;0.87;0.847;1.0;1.0;1.0;0.953;0.854;0.853;0.871;0.953;0.939;0.838;0.924;0.824;0.957;0.928;0.942;0.956;0.928;0.958;0.965
transcript50_MGP-CAROLIEiJ-G0020234;0.809;0.909;0.879;1.0;1.0;1.0;0.985;0.853;0.855;0.897;0.985;0.754;0.682;0.739;0.671;0.797;0.768;0.783;0.783;0.768;0.784;0.812
transcript50_MGP-PahariEiJ-G0020237;0.776;0.871;0.849;1.0;1.0;1.0;0.953;0.854;0.855;0.871;0.953;0.708;0.682;0.697;0.671;0.728;0.707;0.717;0.725;0.707;0.722;0.748
transcript55_ENSMSIG00000000513;0.821;0.913;0.901;0.953;0.985;0.953;1.0;0.833;0.866;0.917;0.976;0.899;0.851;0.884;0.836;1.0;0.971;0.986;0.971;0.971;0.986;0.988
transcript60_ENSMSIG00000000513;0.759;0.818;0.812;0.854;0.853;0.854;0.833;1.0;1.0;0.909;0.812;0.919;0.855;0.903;0.839;0.826;0.797;0.812;0.824;0.797;0.847;0.824
transcript60_MGP-CAROLIEiJ-G0020234;0.794;0.849;0.855;0.853;0.855;0.855;0.866;1.0;1.0;0.951;0.838;0.727;0.684;0.712;0.671;0.696;0.667;0.681;0.681;0.667;0.689;0.694
transcript64_ENSMSIG00000000513;0.78;0.841;0.87;0.871;0.897;0.871;0.917;0.909;0.951;1.0;0.894;0.826;0.815;0.812;0.8;0.928;0.899;0.913;0.899;0.899;0.903;0.906
