;ENSCAFT00000022358_90_90;ENST00000402521_90_90;ENST00000426333_90_90;ENST00000588374_90_90;ENST00000589769_90_90;ENST00000590124_90_90;ENST00000591382_90_90;ENST00000591856_90_90;ENST00000592576_90_90;ENST00000592701_90_90;ENST00000593072_90_90;ENSMUST00000021306_90_90;ENSMUST00000107060_90_90;ENSMUST00000132543_90_90;ENSMUST00000138483_90_90;ENSMUST00000172611_90_90;ENSMUST00000173679_90_90
ENSCAFT00000022358_90_90;1.0;0.846;0.923;0.12;0.16;0.16;0.923;0.037;0.846;0.28;0.36;1.0;0.96;0.12;0.08;0.038;0.92
ENST00000402521_90_90;0.846;1.0;0.92;0.083;0.174;0.174;0.92;0.083;0.84;0.2;0.28;0.846;0.808;0.13;0.042;0.042;0.769
ENST00000426333_90_90;0.923;0.92;1.0;0.12;0.16;0.16;1.0;0.077;0.92;0.28;0.36;0.923;0.885;0.12;0.08;0.038;0.846
ENST00000588374_90_90;0.12;0.083;0.12;1.0;0.0;0.0;0.12;0.0;0.13;0.429;0.333;0.12;0.125;0.0;0.667;0.0;0.13
ENST00000589769_90_90;0.16;0.174;0.16;0.0;1.0;0.333;0.16;0.0;0.174;0.0;0.0;0.16;0.167;0.4;0.0;0.0;0.174
ENST00000590124_90_90;0.16;0.174;0.16;0.0;0.333;1.0;0.16;0.0;0.174;0.0;0.0;0.16;0.167;0.167;0.0;0.0;0.174
ENST00000591382_90_90;0.923;0.92;1.0;0.12;0.16;0.16;1.0;0.077;0.92;0.28;0.36;0.923;0.885;0.12;0.08;0.038;0.846
ENST00000591856_90_90;0.037;0.083;0.077;0.0;0.0;0.0;0.077;1.0;0.083;0.0;0.0;0.037;0.038;0.0;0.0;0.0;0.04
ENST00000592576_90_90;0.846;0.84;0.92;0.13;0.174;0.174;0.92;0.083;1.0;0.304;0.333;0.846;0.808;0.13;0.087;0.042;0.917
ENST00000592701_90_90;0.28;0.2;0.28;0.429;0.0;0.0;0.28;0.0;0.304;1.0;0.778;0.28;0.24;0.0;0.286;0.0;0.304
ENST00000593072_90_90;0.36;0.28;0.36;0.333;0.0;0.0;0.36;0.0;0.333;0.778;1.0;0.36;0.32;0.0;0.222;0.0;0.333
ENSMUST00000021306_90_90;1.0;0.846;0.923;0.12;0.16;0.16;0.923;0.037;0.846;0.28;0.36;1.0;0.96;0.12;0.08;0.038;0.92
ENSMUST00000107060_90_90;0.96;0.808;0.885;0.125;0.167;0.167;0.885;0.038;0.808;0.24;0.32;0.96;1.0;0.125;0.083;0.04;0.88
ENSMUST00000132543_90_90;0.12;0.13;0.12;0.0;0.4;0.167;0.12;0.0;0.13;0.0;0.0;0.12;0.125;1.0;0.0;0.0;0.13
ENSMUST00000138483_90_90;0.08;0.042;0.08;0.667;0.0;0.0;0.08;0.0;0.087;0.286;0.222;0.08;0.083;0.0;1.0;0.0;0.087
ENSMUST00000172611_90_90;0.038;0.042;0.038;0.0;0.0;0.0;0.038;0.0;0.042;0.0;0.0;0.038;0.04;0.0;0.0;1.0;0.042
ENSMUST00000173679_90_90;0.92;0.769;0.846;0.13;0.174;0.174;0.846;0.04;0.917;0.304;0.333;0.92;0.88;0.13;0.087;0.042;1.0
