;ENSCAFT00000022211_90_90;ENST00000324778_90_90;ENST00000367632_90_90;ENST00000367634_90_90;ENST00000367635_90_90;ENST00000415888_90_90;ENSMUST00000027886_90_90;ENSMUST00000063199_90_90;ENSMUST00000171292_90_90;ENSMUST00000172057_90_90;ENSMUST00000185198_90_90;ENSMUST00000188656_90_90;ENSMUST00000189316_90_90;ENSMUST00000189648_90_90;ENSMUST00000190648_90_90;ENSMUST00000190762_90_90;ENSMUST00000191605_90_90;ENSMUST00000192343_90_90
ENSCAFT00000022211_90_90;1.0;0.405;0.297;0.97;0.999;0.159;0.755;0.755;0.755;0.682;0.755;0.686;0.841;0.185;0.686;0.324;0.755;0.23
ENST00000324778_90_90;0.405;1.0;0.0;0.389;0.365;0.101;0.482;0.479;0.479;0.515;0.49;0.554;0.488;0.196;0.558;0.441;0.479;0.274
ENST00000367632_90_90;0.297;0.0;1.0;0.306;0.284;0.0;0.056;0.056;0.056;0.06;0.057;0.0;0.124;0.0;0.0;0.0;0.056;0.0
ENST00000367634_90_90;0.97;0.389;0.306;1.0;0.932;0.16;0.623;0.621;0.621;0.564;0.628;0.591;0.713;0.175;0.594;0.307;0.621;0.217
ENST00000367635_90_90;0.999;0.365;0.284;0.932;1.0;0.15;0.612;0.611;0.611;0.554;0.617;0.58;0.7;0.173;0.582;0.302;0.611;0.215
ENST00000415888_90_90;0.159;0.101;0.0;0.16;0.15;1.0;0.349;0.348;0.348;0.374;0.352;0.389;0.33;0.0;0.39;0.0;0.348;0.0
ENSMUST00000027886_90_90;0.755;0.482;0.056;0.623;0.612;0.349;1.0;0.956;0.956;0.903;0.867;0.776;0.774;0.131;0.811;0.233;0.956;0.153
ENSMUST00000063199_90_90;0.755;0.479;0.056;0.621;0.611;0.348;0.956;1.0;1.0;0.948;0.909;0.819;0.815;0.125;0.776;0.223;1.0;0.146
ENSMUST00000171292_90_90;0.755;0.479;0.056;0.621;0.611;0.348;0.956;1.0;1.0;0.948;0.909;0.819;0.815;0.125;0.776;0.223;1.0;0.146
ENSMUST00000172057_90_90;0.682;0.515;0.06;0.564;0.554;0.374;0.903;0.948;0.948;1.0;0.859;0.769;0.767;0.072;0.725;0.17;0.948;0.095
ENSMUST00000185198_90_90;0.755;0.49;0.057;0.628;0.617;0.352;0.867;0.909;0.909;0.859;1.0;0.835;0.832;0.127;0.791;0.227;0.909;0.148
ENSMUST00000188656_90_90;0.686;0.554;0.0;0.591;0.58;0.389;0.776;0.819;0.819;0.769;0.835;1.0;0.839;0.144;0.948;0.256;0.819;0.166
ENSMUST00000189316_90_90;0.841;0.488;0.124;0.713;0.7;0.33;0.774;0.815;0.815;0.767;0.832;0.839;1.0;0.127;0.793;0.226;0.815;0.147
ENSMUST00000189648_90_90;0.185;0.196;0.0;0.175;0.173;0.0;0.131;0.125;0.125;0.072;0.127;0.144;0.127;1.0;0.151;0.561;0.125;0.73
ENSMUST00000190648_90_90;0.686;0.558;0.0;0.594;0.582;0.39;0.811;0.776;0.776;0.725;0.791;0.948;0.793;0.151;1.0;0.27;0.776;0.175
ENSMUST00000190762_90_90;0.324;0.441;0.0;0.307;0.302;0.0;0.233;0.223;0.223;0.17;0.227;0.256;0.226;0.561;0.27;1.0;0.223;0.596
ENSMUST00000191605_90_90;0.755;0.479;0.056;0.621;0.611;0.348;0.956;1.0;1.0;0.948;0.909;0.819;0.815;0.125;0.776;0.223;1.0;0.146
ENSMUST00000192343_90_90;0.23;0.274;0.0;0.217;0.215;0.0;0.153;0.146;0.146;0.095;0.148;0.166;0.147;0.73;0.175;0.596;0.146;1.0
