;ENSCAFT00000014422_90_90;ENSCAFT00000021670_90_90;ENST00000265969_90_90;ENST00000379472_90_90;ENST00000638366_90_90;ENST00000638825_90_90;ENST00000639325_90_90;ENST00000639495_90_90;ENST00000640318_90_90;ENST00000640461_90_90;ENST00000640909_90_90;ENST00000302127_90_90;ENST00000315987_90_90;ENST00000369697_90_90;ENSMUST00000079169_90_90;ENSMUST00000098761_90_90;ENSMUST00000118360_90_90;ENSMUST00000025202_90_90;ENSMUST00000160433_90_90
ENSCAFT00000014422_90_90;1.0;0.493;0.924;0.819;0.15;0.095;0.114;0.274;0.692;0.06;0.483;0.48;0.493;0.48;0.493;0.48;0.493;0.819;0.978
ENSCAFT00000021670_90_90;0.493;1.0;0.506;0.592;0.165;0.034;0.142;0.256;0.403;0.08;0.303;0.919;1.0;0.919;1.0;0.919;1.0;0.592;0.506
ENST00000265969_90_90;0.924;0.506;1.0;0.838;0.164;0.118;0.127;0.289;0.729;0.071;0.542;0.48;0.506;0.48;0.506;0.48;0.506;0.838;0.945
ENST00000379472_90_90;0.819;0.592;0.838;1.0;0.164;0.034;0.139;0.32;0.661;0.079;0.394;0.546;0.592;0.546;0.592;0.546;0.592;1.0;0.838
ENST00000638366_90_90;0.15;0.165;0.164;0.164;1.0;0.16;0.476;0.38;0.191;0.276;0.29;0.121;0.165;0.121;0.165;0.121;0.165;0.164;0.164
ENST00000638825_90_90;0.095;0.034;0.118;0.034;0.16;1.0;0.108;0.073;0.139;0.142;0.218;0.0;0.034;0.0;0.034;0.0;0.034;0.034;0.107
ENST00000639325_90_90;0.114;0.142;0.127;0.139;0.476;0.108;1.0;0.486;0.243;0.586;0.218;0.099;0.142;0.099;0.142;0.099;0.142;0.139;0.127
ENST00000639495_90_90;0.274;0.256;0.289;0.32;0.38;0.073;0.486;1.0;0.411;0.349;0.51;0.218;0.256;0.218;0.256;0.218;0.256;0.32;0.289
ENST00000640318_90_90;0.692;0.403;0.729;0.661;0.191;0.139;0.243;0.411;1.0;0.144;0.544;0.375;0.403;0.375;0.403;0.375;0.403;0.661;0.71
ENST00000640461_90_90;0.06;0.08;0.071;0.079;0.276;0.142;0.586;0.349;0.144;1.0;0.124;0.034;0.08;0.034;0.08;0.034;0.08;0.079;0.071
ENST00000640909_90_90;0.483;0.303;0.542;0.394;0.29;0.218;0.218;0.51;0.544;0.124;1.0;0.27;0.303;0.27;0.303;0.27;0.303;0.394;0.499
ENST00000302127_90_90;0.48;0.919;0.48;0.546;0.121;0.0;0.099;0.218;0.375;0.034;0.27;1.0;0.919;1.0;0.919;1.0;0.919;0.546;0.48
ENST00000315987_90_90;0.493;1.0;0.506;0.592;0.165;0.034;0.142;0.256;0.403;0.08;0.303;0.919;1.0;0.919;1.0;0.919;1.0;0.592;0.506
ENST00000369697_90_90;0.48;0.919;0.48;0.546;0.121;0.0;0.099;0.218;0.375;0.034;0.27;1.0;0.919;1.0;0.919;1.0;0.919;0.546;0.48
ENSMUST00000079169_90_90;0.493;1.0;0.506;0.592;0.165;0.034;0.142;0.256;0.403;0.08;0.303;0.919;1.0;0.919;1.0;0.919;1.0;0.592;0.506
ENSMUST00000098761_90_90;0.48;0.919;0.48;0.546;0.121;0.0;0.099;0.218;0.375;0.034;0.27;1.0;0.919;1.0;0.919;1.0;0.919;0.546;0.48
ENSMUST00000118360_90_90;0.493;1.0;0.506;0.592;0.165;0.034;0.142;0.256;0.403;0.08;0.303;0.919;1.0;0.919;1.0;0.919;1.0;0.592;0.506
ENSMUST00000025202_90_90;0.819;0.592;0.838;1.0;0.164;0.034;0.139;0.32;0.661;0.079;0.394;0.546;0.592;0.546;0.592;0.546;0.592;1.0;0.838
ENSMUST00000160433_90_90;0.978;0.506;0.945;0.838;0.164;0.107;0.127;0.289;0.71;0.071;0.499;0.48;0.506;0.48;0.506;0.48;0.506;0.838;1.0
