;ENSCAFT00000016185_90_90;ENST00000617070_90_90;ENST00000617991_90_90;ENST00000622969_90_90;ENST00000623597_90_90;ENST00000623893_90_90;ENSMUST00000064664_90_90;ENSMUST00000064679_90_90;ENSMUST00000129905_90_90;ENSMUST00000136247_90_90
ENSCAFT00000016185_90_90;1.0;0.966;0.966;0.27;0.966;0.823;0.391;0.484;0.391;0.188
ENST00000617070_90_90;0.966;1.0;1.0;0.265;1.0;0.832;0.323;0.47;0.332;0.23
ENST00000617991_90_90;0.966;1.0;1.0;0.265;1.0;0.832;0.323;0.47;0.332;0.23
ENST00000622969_90_90;0.27;0.265;0.265;1.0;0.265;0.108;0.0;0.0;0.0;0.0
ENST00000623597_90_90;0.966;1.0;1.0;0.265;1.0;0.832;0.323;0.47;0.332;0.23
ENST00000623893_90_90;0.823;0.832;0.832;0.108;0.832;1.0;0.329;0.476;0.341;0.233
ENSMUST00000064664_90_90;0.391;0.323;0.323;0.0;0.323;0.329;1.0;0.74;0.715;0.183
ENSMUST00000064679_90_90;0.484;0.47;0.47;0.0;0.47;0.476;0.74;1.0;0.521;0.429
ENSMUST00000129905_90_90;0.391;0.332;0.332;0.0;0.332;0.341;0.715;0.521;1.0;0.268
ENSMUST00000136247_90_90;0.188;0.23;0.23;0.0;0.23;0.233;0.183;0.429;0.268;1.0
