;ENSCAFT00000017891_90_90;ENST00000265165_90_90;ENST00000379951_90_90;ENST00000438313_90_90;ENST00000504950_90_90;ENST00000506680_90_90;ENST00000510624_90_90;ENST00000512172_90_90;ENST00000515500_90_90;ENSMUST00000029611_90_90;ENSMUST00000066849_90_90;ENSMUST00000098611_90_90;ENSMUST00000106341_90_90
ENSCAFT00000017891_90_90;1.0;0.993;0.844;0.924;0.32;0.706;0.742;0.352;0.42;0.993;0.922;0.814;0.842
ENST00000265165_90_90;0.993;1.0;0.849;0.93;0.323;0.71;0.746;0.352;0.421;0.99;0.922;0.811;0.841
ENST00000379951_90_90;0.844;0.849;1.0;0.908;0.245;0.623;0.724;0.364;0.339;0.841;0.9;0.674;0.991
ENST00000438313_90_90;0.924;0.93;0.908;1.0;0.254;0.644;0.802;0.378;0.352;0.922;0.991;0.743;0.9
ENST00000504950_90_90;0.32;0.323;0.245;0.254;1.0;0.392;0.317;0.565;0.721;0.323;0.254;0.399;0.245
ENST00000506680_90_90;0.706;0.71;0.623;0.644;0.392;1.0;0.474;0.426;0.51;0.703;0.638;0.537;0.617
ENST00000510624_90_90;0.742;0.746;0.724;0.802;0.317;0.474;1.0;0.477;0.436;0.747;0.803;0.912;0.725
ENST00000512172_90_90;0.352;0.352;0.364;0.378;0.565;0.426;0.477;1.0;0.833;0.355;0.38;0.438;0.366
ENST00000515500_90_90;0.42;0.421;0.339;0.352;0.721;0.51;0.436;0.833;1.0;0.423;0.355;0.521;0.342
ENSMUST00000029611_90_90;0.993;0.99;0.841;0.922;0.323;0.703;0.747;0.355;0.423;1.0;0.929;0.82;0.848
ENSMUST00000066849_90_90;0.922;0.922;0.9;0.991;0.254;0.638;0.803;0.38;0.355;0.929;1.0;0.75;0.908
ENSMUST00000098611_90_90;0.814;0.811;0.674;0.743;0.399;0.537;0.912;0.438;0.521;0.82;0.75;1.0;0.68
ENSMUST00000106341_90_90;0.842;0.841;0.991;0.9;0.245;0.617;0.725;0.366;0.342;0.848;0.908;0.68;1.0
