;ENSCAFT00000005545_90_90;ENST00000369254_90_90;ENST00000369261_90_90;ENST00000447886_90_90;ENST00000536676_90_90;ENST00000539200_90_90;ENST00000544166_90_90;ENST00000620278_90_90;ENSMUST00000084781_90_90;ENSMUST00000108214_90_90;ENSMUST00000108218_90_90;ENSMUST00000140652_90_90;ENSMUST00000150920_90_90
ENSCAFT00000005545_90_90;;0.304;0.922;0.27;0.887;0.778;0.35;0.21;0.89;0.58;1.0;0.362;0.105
ENST00000369254_90_90;0.304;;;;;;;;0.201;0.411;0.304;0.855;0.179
ENST00000369261_90_90;0.922;;;;;;;;0.819;0.519;0.922;0.304;0.064
ENST00000447886_90_90;0.27;;;;;;;;0.167;0.289;0.27;0.17;0.0
ENST00000536676_90_90;0.887;;;;;;;;0.778;0.468;0.887;0.249;0.0
ENST00000539200_90_90;0.778;;;;;;;;0.869;0.358;0.778;0.14;0.0
ENST00000544166_90_90;0.35;;;;;;;;0.324;0.307;0.35;0.127;0.0
ENST00000620278_90_90;0.21;;;;;;;;0.233;0.266;0.21;0.0;0.0
ENSMUST00000084781_90_90;0.89;0.201;0.819;0.167;0.778;0.869;0.324;0.233;;;;;
ENSMUST00000108214_90_90;0.58;0.411;0.519;0.289;0.468;0.358;0.307;0.266;;;;;
ENSMUST00000108218_90_90;1.0;0.304;0.922;0.27;0.887;0.778;0.35;0.21;;;;;
ENSMUST00000140652_90_90;0.362;0.855;0.304;0.17;0.249;0.14;0.127;0.0;;;;;
ENSMUST00000150920_90_90;0.105;0.179;0.064;0.0;0.0;0.0;0.0;0.0;;;;;
