;ENSCAFT00000007452_90_90;ENSCAFT00000018571_90_90;ENSCAFT00000021391_90_90;ENSCAFT00000021394_90_90;ENSCAFT00000021397_90_90;ENST00000227348_90_90;ENST00000533709_90_90;ENST00000252483_90_90;ENST00000252485_90_90;ENST00000585601_90_90;ENST00000591581_90_90;ENST00000592018_90_90;ENST00000331581_90_90;ENST00000452722_90_90;ENST00000536727_90_90;ENST00000537058_90_90;ENST00000540951_90_90;ENST00000542447_90_90;ENST00000542450_90_90;ENST00000543249_90_90;ENST00000543540_90_90;ENST00000545094_90_90;ENST00000545380_90_90;ENST00000612235_90_90;ENST00000616271_90_90;ENSMUST00000034519_90_90;ENSMUST00000180384_90_90;ENSMUST00000180872_90_90;ENSMUST00000188848_90_90;ENSMUST00000034581_90_90;ENSMUST00000085909_90_90;ENSMUST00000114547_90_90;ENSMUST00000114548_90_90;ENSMUST00000143026_90_90;ENSMUST00000152459_90_90;ENSMUST00000214542_90_90;ENSMUST00000075447_90_90;ENSMUST00000108450_90_90
ENSCAFT00000007452_90_90;1.0;1.0;0.9;0.925;0.95;0.947;0.237;0.984;0.903;0.048;0.403;0.032;0.974;0.974;0.947;0.974;0.0;0.947;0.342;0.447;0.132;0.474;0.947;0.974;1.0;0.919;0.946;0.243;0.946;0.973;1.0;1.0;0.973;0.973;1.0;0.0;0.983;0.898
ENSCAFT00000018571_90_90;1.0;1.0;0.87;0.935;0.848;0.983;0.5;0.7;1.0;0.1;0.34;0.0;0.977;0.864;0.955;0.932;0.0;0.841;0.182;0.386;0.114;0.409;0.841;0.773;0.955;0.965;0.982;0.509;0.965;0.86;0.953;0.884;0.93;0.767;1.0;0.0;0.708;1.0
ENSCAFT00000021391_90_90;0.9;0.87;1.0;0.757;0.757;0.833;0.455;0.7;0.902;0.087;0.5;0.0;0.868;0.846;0.806;0.908;0.082;0.781;0.246;0.234;0.082;0.25;0.766;0.662;0.848;0.83;0.851;0.455;0.83;0.825;0.953;0.891;0.889;0.762;0.91;0.066;0.729;0.898
ENSCAFT00000021394_90_90;0.925;0.935;0.757;1.0;0.862;0.896;0.457;0.706;0.941;0.061;0.449;0.0;0.925;0.821;0.836;0.881;0.0;0.731;0.238;0.286;0.079;0.302;0.742;0.719;0.938;0.872;0.894;0.467;0.872;0.716;0.866;0.806;0.776;0.657;0.91;0.0;0.735;0.939
ENSCAFT00000021397_90_90;0.95;0.848;0.757;0.862;1.0;0.812;0.37;0.787;0.882;0.089;0.511;0.0;0.821;0.917;0.758;0.859;0.0;0.847;0.268;0.321;0.089;0.339;0.862;0.839;0.918;0.787;0.809;0.378;0.826;0.831;0.844;0.9;0.778;0.763;0.806;0.0;0.822;0.878
ENST00000227348_90_90;0.947;0.983;0.833;0.896;0.812;1.0;0.468;0.673;0.962;0.1;0.327;0.0;0.935;0.826;0.913;0.891;0.0;0.804;0.205;0.386;0.114;0.409;0.804;0.739;0.913;0.982;1.0;0.475;0.982;0.822;0.911;0.844;0.889;0.733;0.956;0.0;0.68;0.96
ENST00000533709_90_90;0.237;0.5;0.455;0.457;0.37;0.468;1.0;0.154;0.442;0.217;0.235;0.0;0.489;0.378;0.467;0.444;0.0;0.356;0.0;0.0;0.0;0.0;0.356;0.261;0.435;0.458;0.475;1.0;0.458;0.356;0.444;0.378;0.422;0.267;0.489;0.0;0.16;0.44
ENST00000252483_90_90;0.984;0.7;0.7;0.706;0.787;0.673;0.154;1.0;0.618;0.045;0.379;0.032;0.735;0.8;0.783;0.75;0.0;0.857;0.351;0.459;0.135;0.486;0.857;0.925;0.771;0.647;0.667;0.157;0.68;0.878;0.766;0.818;0.818;0.923;0.75;0.0;1.0;0.637
ENST00000252485_90_90;0.903;1.0;0.902;0.941;0.882;0.962;0.442;0.618;1.0;0.074;0.346;0.0;0.98;0.898;0.918;0.959;0.0;0.837;0.265;0.347;0.102;0.367;0.837;0.816;0.98;0.941;0.961;0.451;0.941;0.854;0.979;0.917;0.917;0.812;1.0;0.0;0.637;1.0
ENST00000585601_90_90;0.048;0.1;0.087;0.061;0.089;0.1;0.217;0.045;0.074;1.0;0.097;0.0;0.083;0.091;0.089;0.085;0.0;0.098;0.0;0.0;0.0;0.0;0.098;0.073;0.083;0.104;0.102;0.217;0.104;0.098;0.085;0.091;0.091;0.075;0.083;0.0;0.049;0.069
ENST00000591581_90_90;0.403;0.34;0.5;0.449;0.511;0.327;0.235;0.379;0.346;0.097;1.0;0.0;0.479;0.523;0.511;0.489;0.0;0.561;0.565;0.111;0.217;0.139;0.561;0.575;0.479;0.314;0.333;0.235;0.34;0.561;0.489;0.523;0.523;0.59;0.479;0.0;0.41;0.375
ENST00000592018_90_90;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.032;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;0.0
ENST00000331581_90_90;0.974;0.977;0.868;0.925;0.821;0.935;0.489;0.735;0.98;0.083;0.479;0.0;1.0;0.896;0.91;0.955;0.054;0.806;0.224;0.265;0.075;0.279;0.791;0.657;0.882;0.911;0.933;0.5;0.911;0.803;0.955;0.894;0.864;0.731;1.0;0.059;0.766;0.979
ENST00000452722_90_90;0.974;0.864;0.846;0.821;0.917;0.826;0.378;0.8;0.898;0.091;0.523;0.0;0.896;1.0;0.806;0.938;0.06;0.9;0.25;0.295;0.083;0.311;0.883;0.73;0.862;0.8;0.822;0.386;0.841;0.898;0.937;1.0;0.841;0.817;0.894;0.066;0.837;0.894
ENST00000536727_90_90;0.947;0.955;0.806;0.836;0.758;0.913;0.467;0.783;0.918;0.089;0.511;0.0;0.91;0.806;1.0;0.866;0.059;0.885;0.246;0.29;0.082;0.306;0.869;0.719;0.794;0.889;0.911;0.477;0.889;0.883;0.864;0.803;0.95;0.803;0.909;0.065;0.8;0.936
ENST00000537058_90_90;0.974;0.932;0.908;0.881;0.859;0.891;0.444;0.75;0.959;0.085;0.489;0.0;0.955;0.938;0.866;1.0;0.056;0.844;0.234;0.277;0.078;0.292;0.828;0.687;0.923;0.867;0.889;0.455;0.867;0.841;1.0;0.937;0.905;0.766;0.955;0.062;0.783;0.957
ENST00000540951_90_90;0.0;0.0;0.082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.054;0.06;0.059;0.056;1.0;0.066;0.0;0.0;0.0;0.0;0.049;0.0;0.0;0.0;0.0;0.0;0.0;0.073;0.062;0.066;0.068;0.077;0.059;1.0;0.0;0.0
ENST00000542447_90_90;0.947;0.841;0.781;0.731;0.847;0.804;0.356;0.857;0.837;0.098;0.561;0.0;0.806;0.9;0.885;0.844;0.066;1.0;0.278;0.327;0.093;0.345;0.981;0.807;0.769;0.778;0.8;0.364;0.818;1.0;0.841;0.898;0.93;0.907;0.803;0.073;0.878;0.851
ENST00000542450_90_90;0.342;0.182;0.246;0.238;0.268;0.205;0.0;0.351;0.265;0.0;0.565;0.0;0.224;0.25;0.246;0.234;0.0;0.278;1.0;0.097;0.333;0.129;0.283;0.306;0.246;0.214;0.209;0.0;0.214;0.283;0.238;0.254;0.263;0.3;0.227;0.0;0.351;0.277
ENST00000543249_90_90;0.447;0.386;0.234;0.286;0.321;0.386;0.0;0.459;0.347;0.0;0.111;0.0;0.265;0.295;0.29;0.277;0.0;0.327;0.097;1.0;0.143;0.857;0.333;0.36;0.29;0.381;0.372;0.0;0.381;0.321;0.27;0.288;0.298;0.34;0.258;0.0;0.459;0.362
ENST00000543540_90_90;0.132;0.114;0.082;0.079;0.089;0.114;0.0;0.135;0.102;0.0;0.217;0.0;0.075;0.083;0.082;0.078;0.0;0.093;0.333;0.143;1.0;0.19;0.094;0.102;0.082;0.119;0.116;0.0;0.119;0.094;0.079;0.085;0.088;0.1;0.076;0.0;0.135;0.106
ENST00000545094_90_90;0.474;0.409;0.25;0.302;0.339;0.409;0.0;0.486;0.367;0.0;0.139;0.0;0.279;0.311;0.306;0.292;0.0;0.345;0.129;0.857;0.19;1.0;0.352;0.38;0.306;0.405;0.395;0.0;0.405;0.34;0.286;0.305;0.316;0.36;0.273;0.0;0.486;0.383
ENST00000545380_90_90;0.947;0.841;0.766;0.742;0.862;0.804;0.356;0.857;0.837;0.098;0.561;0.0;0.791;0.883;0.869;0.828;0.049;0.981;0.283;0.333;0.094;0.352;1.0;0.821;0.781;0.778;0.8;0.364;0.818;0.981;0.825;0.881;0.912;0.889;0.788;0.055;0.878;0.851
ENST00000612235_90_90;0.974;0.773;0.662;0.719;0.839;0.739;0.261;0.925;0.816;0.073;0.575;0.0;0.657;0.73;0.719;0.687;0.0;0.807;0.306;0.36;0.102;0.38;0.821;1.0;0.746;0.711;0.733;0.267;0.75;0.833;0.703;0.75;0.776;0.92;0.672;0.0;0.949;0.83
ENST00000616271_90_90;1.0;0.955;0.848;0.938;0.918;0.913;0.435;0.771;0.98;0.083;0.479;0.0;0.882;0.862;0.794;0.923;0.0;0.769;0.246;0.29;0.082;0.306;0.781;0.746;1.0;0.889;0.911;0.444;0.889;0.778;0.937;0.873;0.841;0.703;0.894;0.0;0.804;0.979
ENSMUST00000034519_90_90;0.919;0.965;0.83;0.872;0.787;0.982;0.458;0.647;0.941;0.104;0.314;0.0;0.911;0.8;0.889;0.867;0.0;0.778;0.214;0.381;0.119;0.405;0.778;0.711;0.889;1.0;0.967;0.452;0.95;0.795;0.886;0.818;0.864;0.705;0.932;0.0;0.653;0.939
ENSMUST00000180384_90_90;0.946;0.982;0.851;0.894;0.809;1.0;0.475;0.667;0.961;0.102;0.333;0.0;0.933;0.822;0.911;0.889;0.0;0.8;0.209;0.372;0.116;0.395;0.8;0.733;0.911;0.967;1.0;0.484;0.983;0.818;0.909;0.841;0.886;0.727;0.955;0.0;0.673;0.959
ENSMUST00000180872_90_90;0.243;0.509;0.455;0.467;0.378;0.475;1.0;0.157;0.451;0.217;0.235;0.0;0.5;0.386;0.477;0.455;0.0;0.364;0.0;0.0;0.0;0.0;0.364;0.267;0.444;0.452;0.484;1.0;0.468;0.364;0.455;0.386;0.432;0.273;0.5;0.0;0.163;0.449
ENSMUST00000188848_90_90;0.946;0.965;0.83;0.872;0.826;0.982;0.458;0.68;0.941;0.104;0.34;0.0;0.911;0.841;0.889;0.867;0.0;0.818;0.214;0.381;0.119;0.405;0.818;0.75;0.889;0.95;0.983;0.468;1.0;0.837;0.886;0.86;0.864;0.744;0.932;0.0;0.688;0.939
ENSMUST00000034581_90_90;0.973;0.86;0.825;0.716;0.831;0.822;0.356;0.878;0.854;0.098;0.561;0.0;0.803;0.898;0.883;0.841;0.073;1.0;0.283;0.321;0.094;0.34;0.981;0.833;0.778;0.795;0.818;0.364;0.837;1.0;0.846;0.902;0.932;0.895;0.809;0.086;0.9;0.87
ENSMUST00000085909_90_90;1.0;0.953;0.953;0.866;0.844;0.911;0.444;0.766;0.979;0.085;0.489;0.0;0.955;0.937;0.864;1.0;0.062;0.841;0.238;0.27;0.079;0.286;0.825;0.703;0.937;0.886;0.909;0.455;0.886;0.846;1.0;0.938;0.908;0.761;0.956;0.074;0.8;0.978
ENSMUST00000114547_90_90;1.0;0.884;0.891;0.806;0.9;0.844;0.378;0.818;0.917;0.091;0.523;0.0;0.894;1.0;0.803;0.937;0.066;0.898;0.254;0.288;0.085;0.305;0.881;0.75;0.873;0.818;0.841;0.386;0.86;0.902;0.938;1.0;0.846;0.81;0.897;0.078;0.857;0.913
ENSMUST00000114548_90_90;0.973;0.93;0.889;0.776;0.778;0.889;0.422;0.818;0.917;0.091;0.523;0.0;0.864;0.841;0.95;0.905;0.068;0.93;0.263;0.298;0.088;0.316;0.912;0.776;0.841;0.864;0.886;0.432;0.864;0.932;0.908;0.846;1.0;0.836;0.868;0.081;0.837;0.935
ENSMUST00000143026_90_90;0.973;0.767;0.762;0.657;0.763;0.733;0.267;0.923;0.812;0.075;0.59;0.0;0.731;0.817;0.803;0.766;0.077;0.907;0.3;0.34;0.1;0.36;0.889;0.92;0.703;0.705;0.727;0.273;0.744;0.895;0.761;0.81;0.836;1.0;0.729;0.089;0.947;0.826
ENSMUST00000152459_90_90;1.0;1.0;0.91;0.91;0.806;0.956;0.489;0.75;1.0;0.083;0.479;0.0;1.0;0.894;0.909;0.955;0.059;0.803;0.227;0.258;0.076;0.273;0.788;0.672;0.894;0.932;0.955;0.5;0.932;0.809;0.956;0.897;0.868;0.729;1.0;0.07;0.783;1.0
ENSMUST00000214542_90_90;0.0;0.0;0.066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.059;0.066;0.065;0.062;1.0;0.073;0.0;0.0;0.0;0.0;0.055;0.0;0.0;0.0;0.0;0.0;0.0;0.086;0.074;0.078;0.081;0.089;0.07;1.0;0.0;0.0
ENSMUST00000075447_90_90;0.983;0.708;0.729;0.735;0.822;0.68;0.16;1.0;0.637;0.049;0.41;0.034;0.766;0.837;0.8;0.783;0.0;0.878;0.351;0.459;0.135;0.486;0.878;0.949;0.804;0.653;0.673;0.163;0.688;0.9;0.8;0.857;0.837;0.947;0.783;0.0;1.0;0.619
