;transcript7_ENSMSIG00000000513;transcript26_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript41_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript22_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript33_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.983;0.586;0.586;0.638;0.983;0.638;0.966;0.307;0.3;0.36;0.324;0.277;0.286;0.286;0.268;0.268;0.268;0.509;0.253;0.418;0.296;0.286;0.286;0.295;0.265;0.491;0.474;0.474;0.491;0.491
transcript26_ENSMSIG00000000513;0.983;1.0;0.603;0.603;0.655;1.0;0.655;0.983;0.316;0.309;0.368;0.333;0.286;0.295;0.295;0.277;0.277;0.277;0.519;0.25;0.429;0.306;0.296;0.296;0.305;0.276;0.5;0.483;0.483;0.5;0.5
transcript41_ENSMSIG00000000513;0.586;0.603;1.0;1.0;0.921;0.603;0.921;0.614;0.366;0.391;0.33;0.389;0.33;0.341;0.341;0.348;0.319;0.348;0.314;0.296;0.3;0.346;0.351;0.351;0.365;0.325;0.302;0.284;0.284;0.302;0.302
transcript43_ENSMSIG00000000513;0.586;0.603;1.0;1.0;0.921;0.603;0.921;0.614;0.366;0.391;0.33;0.389;0.33;0.341;0.341;0.348;0.319;0.348;0.314;0.296;0.3;0.346;0.351;0.351;0.365;0.325;0.302;0.284;0.284;0.302;0.302
transcript46_ENSMSIG00000000513;0.638;0.655;0.921;0.921;1.0;0.655;1.0;0.638;0.383;0.378;0.32;0.407;0.348;0.359;0.359;0.337;0.337;0.337;0.343;0.319;0.333;0.385;0.372;0.372;0.387;0.346;0.328;0.31;0.31;0.328;0.328
transcript47_ENSMSIG00000000513;0.983;1.0;0.603;0.603;0.655;1.0;0.655;0.983;0.316;0.309;0.368;0.333;0.286;0.295;0.295;0.277;0.277;0.277;0.519;0.25;0.429;0.306;0.296;0.296;0.305;0.276;0.5;0.483;0.483;0.5;0.5
transcript48_ENSMSIG00000000513;0.638;0.655;0.921;0.921;1.0;0.655;1.0;0.638;0.383;0.378;0.32;0.407;0.348;0.359;0.359;0.337;0.337;0.337;0.343;0.319;0.333;0.385;0.372;0.372;0.387;0.346;0.328;0.31;0.31;0.328;0.328
transcript49_ENSMSIG00000000513;0.966;0.983;0.614;0.614;0.638;0.983;0.638;1.0;0.307;0.312;0.372;0.324;0.277;0.286;0.286;0.279;0.268;0.279;0.509;0.239;0.418;0.296;0.286;0.286;0.295;0.265;0.491;0.474;0.474;0.491;0.491
transcript22_MGP-SPRETEiJ-G0021131;0.307;0.316;0.366;0.366;0.383;0.316;0.383;0.307;1.0;0.935;0.827;0.916;0.874;0.884;0.884;0.863;0.863;0.863;0.696;0.568;0.611;0.688;0.695;0.695;0.663;0.674;0.793;0.776;0.776;0.793;0.793
transcript41_MGP-SPRETEiJ-G0021131;0.3;0.309;0.391;0.391;0.378;0.309;0.378;0.312;0.935;1.0;0.822;0.934;0.849;0.86;0.86;0.879;0.839;0.879;0.703;0.571;0.57;0.642;0.649;0.649;0.67;0.628;0.741;0.724;0.724;0.741;0.741
transcript7_ENSMUSG00000054036;0.36;0.368;0.33;0.33;0.32;0.368;0.32;0.372;0.827;0.822;1.0;0.843;0.786;0.779;0.779;0.794;0.794;0.794;0.763;0.505;0.607;0.6;0.606;0.606;0.592;0.618;0.845;0.86;0.86;0.845;0.845
transcript36_ENSMUSG00000054036;0.324;0.333;0.389;0.389;0.407;0.333;0.407;0.324;0.916;0.934;0.843;1.0;0.892;0.903;0.903;0.882;0.882;0.882;0.739;0.615;0.607;0.684;0.691;0.691;0.714;0.67;0.776;0.759;0.759;0.776;0.776
transcript8_MGP-CAROLIEiJ-G0020234;0.277;0.286;0.33;0.33;0.348;0.286;0.348;0.277;0.874;0.849;0.786;0.892;1.0;0.989;0.989;0.966;0.988;0.966;0.673;0.571;0.57;0.642;0.649;0.649;0.634;0.645;0.741;0.739;0.739;0.741;0.741
transcript22_MGP-CAROLIEiJ-G0020234;0.286;0.295;0.341;0.341;0.359;0.295;0.359;0.286;0.884;0.86;0.779;0.903;0.989;1.0;1.0;0.977;0.977;0.977;0.681;0.582;0.579;0.653;0.66;0.66;0.645;0.638;0.75;0.733;0.733;0.75;0.75
transcript32_MGP-CAROLIEiJ-G0020234;0.286;0.295;0.341;0.341;0.359;0.295;0.359;0.286;0.884;0.86;0.779;0.903;0.989;1.0;1.0;0.977;0.977;0.977;0.681;0.582;0.579;0.653;0.66;0.66;0.645;0.638;0.75;0.733;0.733;0.75;0.75
