;ENSCAFT00000014154_90_90;ENST00000426335_90_90;ENST00000524586_90_90;ENST00000524782_90_90;ENST00000525314_90_90;ENST00000525398_90_90;ENST00000526342_90_90;ENST00000527776_90_90;ENST00000527927_90_90;ENST00000528041_90_90;ENST00000528444_90_90;ENST00000528708_90_90;ENST00000529439_90_90;ENST00000529455_90_90;ENST00000530596_90_90;ENST00000532438_90_90;ENST00000532478_90_90;ENST00000533243_90_90;ENST00000627920_90_90;ENST00000629231_90_90;ENSMUST00000028691_90_90;ENSMUST00000080008_90_90
ENSCAFT00000014154_90_90;1.0;0.945;0.169;0.997;0.456;0.598;0.3;0.454;0.528;0.212;0.406;0.004;0.002;0.254;0.331;0.169;0.227;0.135;0.74;0.135;1.0;0.997
ENST00000426335_90_90;0.945;1.0;0.176;0.946;0.393;0.534;0.316;0.479;0.556;0.217;0.34;0.004;0.002;0.266;0.278;0.178;0.175;0.142;0.781;0.142;0.927;0.948
ENST00000524586_90_90;0.169;0.176;1.0;0.167;0.341;0.264;0.342;0.0;0.314;0.454;0.36;0.018;0.009;0.628;0.435;0.947;0.275;0.635;0.225;0.635;0.165;0.169
ENST00000524782_90_90;0.997;0.946;0.167;1.0;0.445;0.586;0.299;0.454;0.527;0.211;0.391;0.004;0.002;0.254;0.332;0.169;0.228;0.134;0.739;0.134;0.977;1.0
ENST00000525314_90_90;0.456;0.393;0.341;0.445;1.0;0.697;0.185;0.0;0.24;0.437;0.771;0.007;0.004;0.525;0.687;0.348;0.472;0.278;0.191;0.278;0.468;0.445
ENST00000525398_90_90;0.598;0.534;0.264;0.586;0.697;1.0;0.152;0.066;0.419;0.336;0.672;0.006;0.003;0.404;0.528;0.268;0.363;0.214;0.332;0.214;0.588;0.601
ENST00000526342_90_90;0.3;0.316;0.342;0.299;0.185;0.152;1.0;0.308;0.375;0.315;0.192;0.012;0.006;0.28;0.24;0.351;0.086;0.392;0.405;0.392;0.293;0.3
ENST00000527776_90_90;0.454;0.479;0.0;0.454;0.0;0.066;0.308;1.0;0.347;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.614;0.0;0.444;0.454
ENST00000527927_90_90;0.528;0.556;0.314;0.527;0.24;0.419;0.375;0.347;1.0;0.199;0.207;0.007;0.003;0.273;0.221;0.32;0.132;0.255;0.713;0.255;0.516;0.528
ENST00000528041_90_90;0.212;0.217;0.454;0.211;0.437;0.336;0.315;0.0;0.199;1.0;0.461;0.016;0.008;0.791;0.636;0.47;0.422;0.547;0.148;0.547;0.207;0.212
ENST00000528444_90_90;0.406;0.34;0.36;0.391;0.771;0.672;0.192;0.0;0.207;0.461;1.0;0.008;0.004;0.554;0.725;0.367;0.499;0.26;0.164;0.26;0.4;0.409
ENST00000528708_90_90;0.004;0.004;0.018;0.004;0.007;0.006;0.012;0.0;0.007;0.016;0.008;1.0;0.941;0.014;0.011;0.019;0.015;0.024;0.005;0.024;0.004;0.004
ENST00000529439_90_90;0.002;0.002;0.009;0.002;0.004;0.003;0.006;0.0;0.003;0.008;0.004;0.941;1.0;0.007;0.005;0.01;0.007;0.012;0.003;0.012;0.002;0.002
ENST00000529455_90_90;0.254;0.266;0.628;0.254;0.525;0.404;0.28;0.0;0.273;0.791;0.554;0.014;0.007;1.0;0.696;0.652;0.568;0.452;0.203;0.452;0.249;0.254
ENST00000530596_90_90;0.331;0.278;0.435;0.332;0.687;0.528;0.24;0.0;0.221;0.636;0.725;0.011;0.005;0.696;1.0;0.448;0.613;0.355;0.17;0.355;0.323;0.331
ENST00000532438_90_90;0.169;0.178;0.947;0.169;0.348;0.268;0.351;0.0;0.32;0.47;0.367;0.019;0.01;0.652;0.448;1.0;0.284;0.668;0.228;0.668;0.165;0.169
ENST00000532478_90_90;0.227;0.175;0.275;0.228;0.472;0.363;0.086;0.0;0.132;0.422;0.499;0.015;0.007;0.568;0.613;0.284;1.0;0.129;0.1;0.129;0.222;0.227
ENST00000533243_90_90;0.135;0.142;0.635;0.134;0.278;0.214;0.392;0.0;0.255;0.547;0.26;0.024;0.012;0.452;0.355;0.668;0.129;1.0;0.182;1.0;0.132;0.135
ENST00000627920_90_90;0.74;0.781;0.225;0.739;0.191;0.332;0.405;0.614;0.713;0.148;0.164;0.005;0.003;0.203;0.17;0.228;0.1;0.182;1.0;0.182;0.724;0.74
ENST00000629231_90_90;0.135;0.142;0.635;0.134;0.278;0.214;0.392;0.0;0.255;0.547;0.26;0.024;0.012;0.452;0.355;0.668;0.129;1.0;0.182;1.0;0.132;0.135
ENSMUST00000028691_90_90;1.0;0.927;0.165;0.977;0.468;0.588;0.293;0.444;0.516;0.207;0.4;0.004;0.002;0.249;0.323;0.165;0.222;0.132;0.724;0.132;1.0;0.974
ENSMUST00000080008_90_90;0.997;0.948;0.169;1.0;0.445;0.601;0.3;0.454;0.528;0.212;0.409;0.004;0.002;0.254;0.331;0.169;0.227;0.135;0.74;0.135;0.974;1.0
