;ENSCAFT00000039408_90_90;ENST00000246194_90_90;ENST00000333552_90_90;ENST00000375114_90_90;ENST00000413297_90_90;ENST00000442805_90_90;ENST00000448364_90_90;ENSMUST00000029120_90_90;ENSMUST00000058089_90_90;ENSMUST00000109701_90_90;ENSMUST00000116389_90_90;ENSMUST00000125872_90_90;ENSMUST00000129137_90_90;ENSMUST00000140713_90_90
ENSCAFT00000039408_90_90;1.0;0.812;0.5;0.75;0.154;0.625;0.462;0.765;0.706;0.706;0.765;0.308;0.538;0.706
ENST00000246194_90_90;0.812;1.0;0.5;0.938;0.125;0.812;0.375;0.833;0.778;0.778;0.833;0.25;0.438;0.778
ENST00000333552_90_90;0.5;0.5;1.0;0.438;0.111;0.5;0.4;0.389;0.333;0.333;0.389;0.2;0.5;0.412
ENST00000375114_90_90;0.75;0.938;0.438;1.0;0.133;0.867;0.312;0.778;0.824;0.824;0.778;0.267;0.467;0.722
ENST00000413297_90_90;0.154;0.125;0.111;0.133;1.0;0.154;0.333;0.118;0.125;0.125;0.118;0.5;0.286;0.125
ENST00000442805_90_90;0.625;0.812;0.5;0.867;0.154;1.0;0.357;0.667;0.706;0.706;0.667;0.308;0.538;0.706
ENST00000448364_90_90;0.462;0.375;0.4;0.312;0.333;0.357;1.0;0.353;0.294;0.294;0.353;0.667;0.625;0.375
ENSMUST00000029120_90_90;0.765;0.833;0.389;0.778;0.118;0.667;0.353;1.0;0.941;0.941;1.0;0.235;0.412;0.941
ENSMUST00000058089_90_90;0.706;0.778;0.333;0.824;0.125;0.706;0.294;0.941;1.0;1.0;0.941;0.25;0.438;0.882
ENSMUST00000109701_90_90;0.706;0.778;0.333;0.824;0.125;0.706;0.294;0.941;1.0;1.0;0.941;0.25;0.438;0.882
ENSMUST00000116389_90_90;0.765;0.833;0.389;0.778;0.118;0.667;0.353;1.0;0.941;0.941;1.0;0.235;0.412;0.941
ENSMUST00000125872_90_90;0.308;0.25;0.2;0.267;0.5;0.308;0.667;0.235;0.25;0.25;0.235;1.0;0.571;0.25
ENSMUST00000129137_90_90;0.538;0.438;0.5;0.467;0.286;0.538;0.625;0.412;0.438;0.438;0.412;0.571;1.0;0.438
ENSMUST00000140713_90_90;0.706;0.778;0.412;0.722;0.125;0.706;0.375;0.941;0.882;0.882;0.941;0.25;0.438;1.0
