;ENSCAFT00000001418_90_90;ENSCAFT00000021179_90_90;ENST00000359842_90_90;ENST00000619224_90_90;ENST00000374680_90_90;ENST00000374685_90_90;ENST00000483281_90_90;ENSMUST00000015987_90_90;ENSMUST00000111380_90_90;ENSMUST00000111384_90_90;ENSMUST00000111386_90_90;ENSMUST00000044858_90_90;ENSMUST00000116612_90_90;ENSMUST00000173354_90_90;ENSMUST00000173554_90_90;ENSMUST00000174299_90_90
ENSCAFT00000001418_90_90;1.0;0.76;0.76;0.614;0.991;0.998;0.145;0.76;0.614;0.76;0.76;0.974;0.764;0.771;0.28;0.852
ENSCAFT00000021179_90_90;0.76;1.0;1.0;0.734;0.763;0.758;0.002;1.0;0.734;1.0;1.0;0.755;0.806;0.801;0.296;0.854
ENST00000359842_90_90;0.76;1.0;1.0;0.734;0.763;0.758;0.002;1.0;0.734;1.0;1.0;0.755;0.806;0.801;0.296;0.854
ENST00000619224_90_90;0.614;0.734;0.734;1.0;0.617;0.613;0.0;0.734;1.0;0.734;0.734;0.627;0.797;0.791;0.205;0.714
ENST00000374680_90_90;0.991;0.763;0.763;0.617;1.0;0.993;0.148;0.763;0.617;0.763;0.763;0.965;0.768;0.762;0.282;0.856
ENST00000374685_90_90;0.998;0.758;0.758;0.613;0.993;1.0;0.147;0.758;0.613;0.758;0.758;0.972;0.762;0.77;0.28;0.85
ENST00000483281_90_90;0.145;0.002;0.002;0.0;0.148;0.147;1.0;0.002;0.0;0.002;0.002;0.144;0.0;0.0;0.0;0.027
ENSMUST00000015987_90_90;0.76;1.0;1.0;0.734;0.763;0.758;0.002;1.0;0.734;1.0;1.0;0.755;0.806;0.801;0.296;0.854
ENSMUST00000111380_90_90;0.614;0.734;0.734;1.0;0.617;0.613;0.0;0.734;1.0;0.734;0.734;0.627;0.797;0.791;0.205;0.714
ENSMUST00000111384_90_90;0.76;1.0;1.0;0.734;0.763;0.758;0.002;1.0;0.734;1.0;1.0;0.755;0.806;0.801;0.296;0.854
ENSMUST00000111386_90_90;0.76;1.0;1.0;0.734;0.763;0.758;0.002;1.0;0.734;1.0;1.0;0.755;0.806;0.801;0.296;0.854
ENSMUST00000044858_90_90;0.974;0.755;0.755;0.627;0.965;0.972;0.144;0.755;0.627;0.755;0.755;1.0;0.782;0.79;0.287;0.875
ENSMUST00000116612_90_90;0.764;0.806;0.806;0.797;0.768;0.762;0.0;0.806;0.797;0.806;0.806;0.782;1.0;0.99;0.366;0.895
ENSMUST00000173354_90_90;0.771;0.801;0.801;0.791;0.762;0.77;0.0;0.801;0.791;0.801;0.801;0.79;0.99;1.0;0.363;0.887
ENSMUST00000173554_90_90;0.28;0.296;0.296;0.205;0.282;0.28;0.0;0.296;0.205;0.296;0.296;0.287;0.366;0.363;1.0;0.328
ENSMUST00000174299_90_90;0.852;0.854;0.854;0.714;0.856;0.85;0.027;0.854;0.714;0.854;0.854;0.875;0.895;0.887;0.328;1.0
