;ENSCAFT00000014154_90_90;ENST00000426335_90_90;ENST00000524586_90_90;ENST00000524782_90_90;ENST00000525314_90_90;ENST00000525398_90_90;ENST00000526342_90_90;ENST00000527776_90_90;ENST00000527927_90_90;ENST00000528041_90_90;ENST00000528444_90_90;ENST00000528708_90_90;ENST00000529439_90_90;ENST00000529455_90_90;ENST00000530596_90_90;ENST00000532438_90_90;ENST00000532478_90_90;ENST00000533243_90_90;ENST00000627920_90_90;ENST00000629231_90_90;ENSMUST00000028691_90_90;ENSMUST00000080008_90_90
ENSCAFT00000014154_90_90;1.0;0.758;0.229;0.882;0.649;0.714;0.25;0.156;0.469;0.25;0.528;0.061;0.03;0.281;0.424;0.242;0.364;0.219;0.562;0.219;0.889;0.909
ENST00000426335_90_90;0.758;1.0;0.276;0.812;0.486;0.636;0.308;0.192;0.577;0.259;0.441;0.074;0.037;0.296;0.281;0.296;0.219;0.269;0.692;0.269;0.722;0.839
ENST00000524586_90_90;0.229;0.276;1.0;0.229;0.25;0.258;0.462;0.0;0.444;0.462;0.308;0.167;0.083;0.538;0.368;0.818;0.263;0.5;0.381;0.5;0.205;0.235
ENST00000524782_90_90;0.882;0.812;0.229;1.0;0.649;0.818;0.25;0.156;0.469;0.25;0.618;0.061;0.03;0.281;0.469;0.242;0.406;0.219;0.562;0.219;0.838;0.969
ENST00000525314_90_90;0.649;0.486;0.25;0.649;1.0;0.727;0.194;0.0;0.294;0.276;0.677;0.067;0.033;0.31;0.517;0.267;0.448;0.241;0.27;0.241;0.711;0.622
ENST00000525398_90_90;0.714;0.636;0.258;0.818;0.727;1.0;0.2;0.031;0.433;0.286;0.759;0.069;0.034;0.321;0.536;0.276;0.464;0.25;0.394;0.25;0.684;0.788
ENST00000526342_90_90;0.25;0.308;0.462;0.25;0.194;0.2;1.0;0.182;0.438;0.6;0.24;0.222;0.111;0.417;0.353;0.545;0.167;0.667;0.444;0.667;0.222;0.258
ENST00000527776_90_90;0.156;0.192;0.0;0.156;0.0;0.031;0.182;1.0;0.176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.278;0.0;0.139;0.161
ENST00000527927_90_90;0.469;0.577;0.444;0.469;0.294;0.433;0.438;0.176;1.0;0.353;0.267;0.125;0.062;0.412;0.304;0.5;0.217;0.467;0.833;0.467;0.417;0.484
ENST00000528041_90_90;0.25;0.259;0.462;0.25;0.276;0.286;0.6;0.0;0.353;1.0;0.348;0.222;0.111;0.545;0.533;0.545;0.312;0.667;0.3;0.667;0.222;0.258
ENST00000528444_90_90;0.528;0.441;0.308;0.618;0.677;0.759;0.24;0.0;0.267;0.348;1.0;0.083;0.042;0.391;0.652;0.333;0.565;0.25;0.242;0.25;0.513;0.588
ENST00000528708_90_90;0.061;0.074;0.167;0.061;0.067;0.069;0.222;0.0;0.125;0.222;0.083;1.0;0.667;0.2;0.125;0.2;0.143;0.25;0.105;0.25;0.054;0.062
ENST00000529439_90_90;0.03;0.037;0.083;0.03;0.033;0.034;0.111;0.0;0.062;0.111;0.042;0.667;1.0;0.1;0.062;0.1;0.071;0.125;0.053;0.125;0.027;0.031
ENST00000529455_90_90;0.281;0.296;0.538;0.281;0.31;0.321;0.417;0.0;0.412;0.545;0.391;0.2;0.1;1.0;0.5;0.636;0.467;0.455;0.35;0.455;0.25;0.29
ENST00000530596_90_90;0.424;0.281;0.368;0.469;0.517;0.536;0.353;0.0;0.304;0.533;0.652;0.125;0.062;0.5;1.0;0.412;0.647;0.375;0.269;0.375;0.378;0.438
ENST00000532438_90_90;0.242;0.296;0.818;0.242;0.267;0.276;0.545;0.0;0.5;0.545;0.333;0.2;0.1;0.636;0.412;1.0;0.294;0.6;0.421;0.6;0.216;0.25
ENST00000532478_90_90;0.364;0.219;0.263;0.406;0.448;0.464;0.167;0.0;0.217;0.312;0.565;0.143;0.071;0.467;0.647;0.294;1.0;0.176;0.192;0.176;0.324;0.375
ENST00000533243_90_90;0.219;0.269;0.5;0.219;0.241;0.25;0.667;0.0;0.467;0.667;0.25;0.25;0.125;0.455;0.375;0.6;0.176;1.0;0.389;1.0;0.194;0.226
ENST00000627920_90_90;0.562;0.692;0.381;0.562;0.27;0.394;0.444;0.278;0.833;0.3;0.242;0.105;0.053;0.35;0.269;0.421;0.192;0.389;1.0;0.389;0.5;0.581
ENST00000629231_90_90;0.219;0.269;0.5;0.219;0.241;0.25;0.667;0.0;0.467;0.667;0.25;0.25;0.125;0.455;0.375;0.6;0.176;1.0;0.389;1.0;0.194;0.226
ENSMUST00000028691_90_90;0.889;0.722;0.205;0.838;0.711;0.684;0.222;0.139;0.417;0.222;0.513;0.054;0.027;0.25;0.378;0.216;0.324;0.194;0.5;0.194;1.0;0.861
ENSMUST00000080008_90_90;0.909;0.839;0.235;0.969;0.622;0.788;0.258;0.161;0.484;0.258;0.588;0.062;0.031;0.29;0.438;0.25;0.375;0.226;0.581;0.226;0.861;1.0
