;ENSCAFT00000029482_90_90;ENST00000237247_90_90;ENST00000371037_90_90;ENST00000371039_90_90;ENST00000424320_90_90;ENST00000435165_90_90;ENSMUST00000066824_90_90;ENSMUST00000072481_90_90;ENSMUST00000080728_90_90;ENSMUST00000106882_90_90;ENSMUST00000149547_90_90;ENSMUST00000156596_90_90;ENSMUST00000183855_90_90
ENSCAFT00000029482_90_90;1.0;0.912;0.996;0.716;0.312;0.356;0.792;0.768;0.969;0.994;0.648;0.085;0.227
ENST00000237247_90_90;0.912;1.0;0.911;0.691;0.267;0.343;0.718;0.696;0.885;0.908;0.625;0.082;0.187
ENST00000371037_90_90;0.996;0.911;1.0;0.716;0.314;0.356;0.793;0.769;0.967;0.991;0.648;0.085;0.226
ENST00000371039_90_90;0.716;0.691;0.716;1.0;0.36;0.419;0.888;0.915;0.731;0.713;0.847;0.111;0.25
ENST00000424320_90_90;0.312;0.267;0.314;0.36;1.0;0.0;0.392;0.405;0.321;0.313;0.238;0.271;0.716
ENST00000435165_90_90;0.356;0.343;0.356;0.419;0.0;1.0;0.443;0.414;0.333;0.357;0.506;0.0;0.0
ENSMUST00000066824_90_90;0.792;0.718;0.793;0.888;0.392;0.443;1.0;0.97;0.774;0.798;0.812;0.107;0.283
ENSMUST00000072481_90_90;0.768;0.696;0.769;0.915;0.405;0.414;0.97;1.0;0.793;0.774;0.782;0.11;0.292
ENSMUST00000080728_90_90;0.969;0.885;0.967;0.731;0.321;0.333;0.774;0.793;1.0;0.976;0.628;0.087;0.233
ENSMUST00000106882_90_90;0.994;0.908;0.991;0.713;0.313;0.357;0.798;0.774;0.976;1.0;0.652;0.085;0.228
ENSMUST00000149547_90_90;0.648;0.625;0.648;0.847;0.238;0.506;0.812;0.782;0.628;0.652;1.0;0.0;0.132
ENSMUST00000156596_90_90;0.085;0.082;0.085;0.111;0.271;0.0;0.107;0.11;0.087;0.085;0.0;1.0;0.374
ENSMUST00000183855_90_90;0.227;0.187;0.226;0.25;0.716;0.0;0.283;0.292;0.233;0.228;0.132;0.374;1.0
