transcript;gene
transcript5_ENSHGLG00100003156;ENSHGLG00100003156
transcript18_ENSHGLG00100003156;ENSHGLG00100003156
transcript33_ENSHGLG00100003156;ENSHGLG00100003156
transcript34_ENSHGLG00100003156;ENSHGLG00100003156
transcript35_ENSHGLG00100003156;ENSHGLG00100003156
transcript36_ENSHGLG00100003156;ENSHGLG00100003156
transcript5_ENSHGLG00100006079;ENSHGLG00100006079
transcript30_ENSHGLG00100006079;ENSHGLG00100006079
transcript5_ENSPCIG00000036398;ENSPCIG00000036398
transcript5_ENSXMAG00000026005;ENSXMAG00000026005
transcript7_ENSXMAG00000026005;ENSXMAG00000026005
