;transcript7_ENSMPUG00000020072;transcript7_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript25_ENSMPUG00000020072;transcript25_ENSMLUG00000027828;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript12_ENSMLUG00000027828;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828
transcript7_ENSMPUG00000020072;1.0;0.611;0.667;0.833;0.074;0.06;0.061;0.056;0.047;0.056;0.056;0.058;0.056;0.048;0.06;0.062;0.067
transcript7_ENSMLUG00000027828;0.611;1.0;0.611;0.778;0.053;0.071;0.044;0.052;0.056;0.052;0.052;0.054;0.053;0.057;0.071;0.073;0.08
transcript7_ENSSTOG00000019743;0.667;0.611;1.0;0.833;0.058;0.06;0.048;0.056;0.047;0.056;0.056;0.058;0.056;0.048;0.06;0.062;0.067
transcript7_ENSCCNG00000000226;0.833;0.778;0.833;1.0;0.073;0.075;0.06;0.067;0.059;0.067;0.067;0.069;0.068;0.06;0.075;0.077;0.084
transcript25_ENSMPUG00000020072;0.074;0.053;0.058;0.073;1.0;0.609;0.761;0.518;0.5;0.518;0.518;0.535;0.523;0.488;0.579;0.595;0.516
transcript25_ENSMLUG00000027828;0.06;0.071;0.06;0.075;0.609;1.0;0.483;0.51;0.784;0.51;0.51;0.527;0.515;0.764;0.941;0.974;0.833
transcript28_ENSMPUG00000020072;0.061;0.044;0.048;0.06;0.761;0.483;1.0;0.609;0.575;0.609;0.609;0.629;0.615;0.564;0.461;0.471;0.407
transcript12_ENSECAG00000007947;0.056;0.052;0.056;0.067;0.518;0.51;0.609;1.0;0.632;1.0;1.0;0.963;0.989;0.621;0.516;0.498;0.469
transcript12_ENSMLUG00000027828;0.047;0.056;0.047;0.059;0.5;0.784;0.575;0.632;1.0;0.632;0.632;0.621;0.628;0.98;0.792;0.764;0.704
transcript23_ENSECAG00000007947;0.056;0.052;0.056;0.067;0.518;0.51;0.609;1.0;0.632;1.0;1.0;0.963;0.989;0.621;0.516;0.498;0.469
transcript31_ENSECAG00000007947;0.056;0.052;0.056;0.067;0.518;0.51;0.609;1.0;0.632;1.0;1.0;0.963;0.989;0.621;0.516;0.498;0.469
transcript32_ENSECAG00000007947;0.058;0.054;0.058;0.069;0.535;0.527;0.629;0.963;0.621;0.963;0.963;1.0;0.974;0.61;0.503;0.515;0.455
transcript33_ENSECAG00000007947;0.056;0.053;0.056;0.068;0.523;0.515;0.615;0.989;0.628;0.989;0.989;0.974;1.0;0.617;0.511;0.503;0.464
transcript15_ENSMLUG00000027828;0.048;0.057;0.048;0.06;0.488;0.764;0.564;0.621;0.98;0.621;0.621;0.61;0.617;1.0;0.808;0.78;0.718
transcript16_ENSMLUG00000027828;0.06;0.071;0.06;0.075;0.579;0.941;0.461;0.516;0.792;0.516;0.516;0.503;0.511;0.808;1.0;0.965;0.889
transcript26_ENSMLUG00000027828;0.062;0.073;0.062;0.077;0.595;0.974;0.471;0.498;0.764;0.498;0.498;0.515;0.503;0.78;0.965;1.0;0.854
transcript27_ENSMLUG00000027828;0.067;0.08;0.067;0.084;0.516;0.833;0.407;0.469;0.704;0.469;0.469;0.455;0.464;0.718;0.889;0.854;1.0
