;ENSCAFT00000027870_90_90;ENST00000554308_90_90;ENST00000554511_90_90;ENST00000554684_90_90;ENST00000554943_90_90;ENST00000555029_90_90;ENST00000555462_90_90;ENST00000555470_90_90;ENST00000557018_90_90;ENSMUST00000048305_90_90;ENSMUST00000163095_90_90;ENSMUST00000223091_90_90;ENSMUST00000223459_90_90
ENSCAFT00000027870_90_90;1.0;0.524;0.095;0.905;1.0;0.333;0.81;0.19;0.143;0.9;1.0;0.05;0.1
ENST00000554308_90_90;0.524;1.0;0.167;0.524;0.478;0.357;0.304;0.231;0.25;0.579;0.524;0.091;0.0
ENST00000554511_90_90;0.095;0.167;1.0;0.1;0.091;0.125;0.053;0.0;0.667;0.105;0.095;0.0;0.0
ENST00000554684_90_90;0.905;0.524;0.1;1.0;0.909;0.227;0.727;0.143;0.15;1.0;0.905;0.053;0.105
ENST00000554943_90_90;1.0;0.478;0.091;0.909;1.0;0.318;0.818;0.182;0.136;0.905;1.0;0.048;0.095
ENST00000555029_90_90;0.333;0.357;0.125;0.227;0.318;1.0;0.389;0.375;0.111;0.238;0.333;0.0;0.0
ENST00000555462_90_90;0.81;0.304;0.053;0.727;0.818;0.389;1.0;0.158;0.05;0.714;0.81;0.059;0.118
ENST00000555470_90_90;0.19;0.231;0.0;0.143;0.182;0.375;0.158;1.0;0.0;0.15;0.19;0.0;0.0
ENST00000557018_90_90;0.143;0.25;0.667;0.15;0.136;0.111;0.05;0.0;1.0;0.158;0.143;0.0;0.0
ENSMUST00000048305_90_90;0.9;0.579;0.105;1.0;0.905;0.238;0.714;0.15;0.158;1.0;0.909;0.05;0.1
ENSMUST00000163095_90_90;1.0;0.524;0.095;0.905;1.0;0.333;0.81;0.19;0.143;0.909;1.0;0.045;0.091
ENSMUST00000223091_90_90;0.05;0.091;0.0;0.053;0.048;0.0;0.059;0.0;0.0;0.05;0.045;1.0;0.0
ENSMUST00000223459_90_90;0.1;0.0;0.0;0.105;0.095;0.0;0.118;0.0;0.0;0.1;0.091;0.0;1.0
