;ENSCAFT00000027630_90_90;ENST00000258962_90_90;ENST00000581979_90_90;ENST00000582730_90_90;ENST00000583741_90_90;ENST00000584668_90_90;ENST00000584773_90_90;ENST00000585096_90_90;ENSMUST00000079866_90_90;ENSMUST00000107920_90_90;ENSMUST00000134824_90_90;ENSMUST00000139129_90_90;ENSMUST00000172186_90_90
ENSCAFT00000027630_90_90;1.0;0.562;0.467;0.467;0.154;0.267;0.625;0.2;0.571;0.733;0.4;0.667;0.267
ENST00000258962_90_90;0.562;1.0;0.615;0.615;0.077;0.5;0.667;0.214;0.5;0.562;0.25;0.846;0.125
ENST00000581979_90_90;0.467;0.615;1.0;1.0;0.1;0.154;0.571;0.273;0.8;0.467;0.308;0.5;0.154
ENST00000582730_90_90;0.467;0.615;1.0;1.0;0.1;0.154;0.571;0.273;0.8;0.467;0.308;0.5;0.154
ENST00000583741_90_90;0.154;0.077;0.1;0.1;1.0;0.0;0.071;0.167;0.222;0.154;0.0;0.167;0.0
ENST00000584668_90_90;0.267;0.5;0.154;0.154;0.0;1.0;0.267;0.0;0.154;0.267;0.167;0.5;0.091
ENST00000584773_90_90;0.625;0.667;0.571;0.571;0.071;0.267;1.0;0.385;0.467;0.857;0.5;0.562;0.357
ENST00000585096_90_90;0.2;0.214;0.273;0.273;0.167;0.0;0.385;1.0;0.167;0.286;0.182;0.133;0.222
ENSMUST00000079866_90_90;0.571;0.5;0.8;0.8;0.222;0.154;0.467;0.167;1.0;0.571;0.308;0.615;0.154
ENSMUST00000107920_90_90;0.733;0.562;0.467;0.467;0.154;0.267;0.857;0.286;0.571;1.0;0.5;0.667;0.357
ENSMUST00000134824_90_90;0.4;0.25;0.308;0.308;0.0;0.167;0.5;0.182;0.308;0.5;1.0;0.25;0.75
ENSMUST00000139129_90_90;0.667;0.846;0.5;0.5;0.167;0.5;0.562;0.133;0.615;0.667;0.25;1.0;0.125
ENSMUST00000172186_90_90;0.267;0.125;0.154;0.154;0.0;0.091;0.357;0.222;0.154;0.357;0.75;0.125;1.0
