;transcript18_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript23_ENSPNYG00000024266;transcript7_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript9_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript7_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript28_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript29_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript12_ENSPNYG00000024266;transcript24_ENSPNYG00000024266;transcript9_ENSXMAG00000026005;transcript7_ENSXMAG00000026005
transcript18_ENSAOCG00000015695;1.0;0.851;0.679;0.679;0.783;0.189;0.89;0.265;0.189;0.972;0.972;0.946;0.189;0.87;0.87;0.625;0.851;0.786;0.783;0.625;0.599;0.946;0.938;0.265;0.189
transcript28_ENSAOCG00000015695;0.851;1.0;0.618;0.618;0.729;0.221;0.84;0.309;0.221;0.838;0.838;0.9;0.221;0.82;0.82;0.556;1.0;0.741;0.729;0.556;0.579;0.9;0.884;0.309;0.221
transcript21_ENSAPOG00000016134;0.679;0.618;1.0;1.0;0.687;0.002;0.663;0.088;0.002;0.669;0.669;0.719;0.002;0.639;0.639;0.499;0.618;0.691;0.687;0.499;0.476;0.719;0.703;0.088;0.002
transcript21_ENSPNYG00000024266;0.679;0.618;1.0;1.0;0.687;0.002;0.663;0.088;0.002;0.669;0.669;0.719;0.002;0.639;0.639;0.499;0.618;0.691;0.687;0.499;0.476;0.719;0.703;0.088;0.002
transcript23_ENSPNYG00000024266;0.783;0.729;0.687;0.687;1.0;0.239;0.774;0.219;0.239;0.772;0.772;0.829;0.239;0.901;0.901;0.774;0.729;0.984;1.0;0.774;0.748;0.829;0.829;0.219;0.239
transcript7_ENSPNYG00000024266;0.189;0.221;0.002;0.002;0.239;1.0;0.211;0.713;1.0;0.185;0.185;0.198;1.0;0.216;0.216;0.302;0.221;0.239;0.239;0.302;0.313;0.198;0.202;0.713;1.0
transcript22_ENSPNYG00000024266;0.89;0.84;0.663;0.663;0.774;0.211;1.0;0.296;0.211;0.876;0.876;0.941;0.211;0.861;0.861;0.601;0.84;0.777;0.774;0.601;0.579;0.941;0.925;0.296;0.211
transcript9_ENSAPOG00000016134;0.265;0.309;0.088;0.088;0.219;0.713;0.296;1.0;0.713;0.259;0.259;0.278;0.713;0.199;0.199;0.271;0.309;0.219;0.219;0.271;0.279;0.278;0.283;1.0;0.713
transcript7_ENSAPOG00000023408;0.189;0.221;0.002;0.002;0.239;1.0;0.211;0.713;1.0;0.185;0.185;0.198;1.0;0.216;0.216;0.302;0.221;0.239;0.239;0.302;0.313;0.198;0.202;0.713;1.0
transcript14_ENSAPOG00000016134;0.972;0.838;0.669;0.669;0.772;0.185;0.876;0.259;0.185;1.0;1.0;0.931;0.185;0.857;0.857;0.611;0.838;0.775;0.772;0.611;0.591;0.931;0.917;0.259;0.185
transcript14_ENSAPOG00000023408;0.972;0.838;0.669;0.669;0.772;0.185;0.876;0.259;0.185;1.0;1.0;0.931;0.185;0.857;0.857;0.611;0.838;0.775;0.772;0.611;0.591;0.931;0.917;0.259;0.185
transcript17_ENSAOCG00000015695;0.946;0.9;0.719;0.719;0.829;0.198;0.941;0.278;0.198;0.931;0.931;1.0;0.198;0.92;0.92;0.656;0.9;0.832;0.829;0.656;0.635;1.0;0.985;0.278;0.198
transcript7_ENSAOCG00000015695;0.189;0.221;0.002;0.002;0.239;1.0;0.211;0.713;1.0;0.185;0.185;0.198;1.0;0.216;0.216;0.302;0.221;0.239;0.239;0.302;0.313;0.198;0.202;0.713;1.0
transcript27_ENSAOCG00000015695;0.87;0.82;0.639;0.639;0.901;0.216;0.861;0.199;0.216;0.857;0.857;0.92;0.216;1.0;1.0;0.713;0.82;0.904;0.901;0.713;0.69;0.92;0.905;0.199;0.216
transcript26_ENSAOCG00000015695;0.87;0.82;0.639;0.639;0.901;0.216;0.861;0.199;0.216;0.857;0.857;0.92;0.216;1.0;1.0;0.713;0.82;0.904;0.901;0.713;0.69;0.92;0.905;0.199;0.216
transcript29_ENSAOCG00000015695;0.625;0.556;0.499;0.499;0.774;0.302;0.601;0.271;0.302;0.611;0.611;0.656;0.302;0.713;0.713;1.0;0.556;0.777;0.774;1.0;0.947;0.656;0.652;0.271;0.302
transcript28_ENSAPOG00000023408;0.851;1.0;0.618;0.618;0.729;0.221;0.84;0.309;0.221;0.838;0.838;0.9;0.221;0.82;0.82;0.556;1.0;0.741;0.729;0.556;0.579;0.9;0.884;0.309;0.221
transcript30_ENSAPOG00000023408;0.786;0.741;0.691;0.691;0.984;0.239;0.777;0.219;0.239;0.775;0.775;0.832;0.239;0.904;0.904;0.777;0.741;1.0;0.984;0.777;0.752;0.832;0.817;0.219;0.239
transcript23_ENSAPOG00000023408;0.783;0.729;0.687;0.687;1.0;0.239;0.774;0.219;0.239;0.772;0.772;0.829;0.239;0.901;0.901;0.774;0.729;0.984;1.0;0.774;0.748;0.829;0.829;0.219;0.239
transcript29_ENSAPOG00000023408;0.625;0.556;0.499;0.499;0.774;0.302;0.601;0.271;0.302;0.611;0.611;0.656;0.302;0.713;0.713;1.0;0.556;0.777;0.774;1.0;0.947;0.656;0.652;0.271;0.302
transcript31_ENSAPOG00000023408;0.599;0.579;0.476;0.476;0.748;0.313;0.579;0.279;0.313;0.591;0.591;0.635;0.313;0.69;0.69;0.947;0.579;0.752;0.748;0.947;1.0;0.635;0.62;0.279;0.313
transcript12_ENSPNYG00000024266;0.946;0.9;0.719;0.719;0.829;0.198;0.941;0.278;0.198;0.931;0.931;1.0;0.198;0.92;0.92;0.656;0.9;0.832;0.829;0.656;0.635;1.0;0.985;0.278;0.198
transcript24_ENSPNYG00000024266;0.938;0.884;0.703;0.703;0.829;0.202;0.925;0.283;0.202;0.917;0.917;0.985;0.202;0.905;0.905;0.652;0.884;0.817;0.829;0.652;0.62;0.985;1.0;0.283;0.202
transcript9_ENSXMAG00000026005;0.265;0.309;0.088;0.088;0.219;0.713;0.296;1.0;0.713;0.259;0.259;0.278;0.713;0.199;0.199;0.271;0.309;0.219;0.219;0.271;0.279;0.278;0.283;1.0;0.713
transcript7_ENSXMAG00000026005;0.189;0.221;0.002;0.002;0.239;1.0;0.211;0.713;1.0;0.185;0.185;0.198;1.0;0.216;0.216;0.302;0.221;0.239;0.239;0.302;0.313;0.198;0.202;0.713;1.0
