;ENSCAFT00000039408_90_90;ENST00000246194_90_90;ENST00000333552_90_90;ENST00000375114_90_90;ENST00000413297_90_90;ENST00000442805_90_90;ENST00000448364_90_90;ENSMUST00000029120_90_90;ENSMUST00000058089_90_90;ENSMUST00000109701_90_90;ENSMUST00000116389_90_90;ENSMUST00000125872_90_90;ENSMUST00000129137_90_90;ENSMUST00000140713_90_90
ENSCAFT00000039408_90_90;1.0;0.786;0.385;0.714;0.182;0.571;0.545;0.733;0.667;0.667;0.733;0.364;0.5;0.667
ENST00000246194_90_90;0.786;1.0;0.5;0.929;0.143;0.786;0.429;0.933;0.867;0.867;0.933;0.286;0.5;0.867
ENST00000333552_90_90;0.385;0.5;1.0;0.429;0.125;0.5;0.444;0.467;0.4;0.4;0.467;0.222;0.556;0.5
ENST00000375114_90_90;0.714;0.929;0.429;1.0;0.154;0.846;0.357;0.867;0.929;0.929;0.867;0.308;0.538;0.8
ENST00000413297_90_90;0.182;0.143;0.125;0.154;1.0;0.182;0.333;0.133;0.143;0.143;0.133;0.5;0.286;0.143
ENST00000442805_90_90;0.571;0.786;0.5;0.846;0.182;1.0;0.417;0.733;0.786;0.786;0.733;0.364;0.636;0.786
ENST00000448364_90_90;0.545;0.429;0.444;0.357;0.333;0.417;1.0;0.4;0.333;0.333;0.4;0.667;0.625;0.429
ENSMUST00000029120_90_90;0.733;0.933;0.467;0.867;0.133;0.733;0.4;1.0;0.933;0.933;1.0;0.267;0.467;0.933
ENSMUST00000058089_90_90;0.667;0.867;0.4;0.929;0.143;0.786;0.333;0.933;1.0;1.0;0.933;0.286;0.5;0.867
ENSMUST00000109701_90_90;0.667;0.867;0.4;0.929;0.143;0.786;0.333;0.933;1.0;1.0;0.933;0.286;0.5;0.867
ENSMUST00000116389_90_90;0.733;0.933;0.467;0.867;0.133;0.733;0.4;1.0;0.933;0.933;1.0;0.267;0.467;0.933
ENSMUST00000125872_90_90;0.364;0.286;0.222;0.308;0.5;0.364;0.667;0.267;0.286;0.286;0.267;1.0;0.571;0.286
ENSMUST00000129137_90_90;0.5;0.5;0.556;0.538;0.286;0.636;0.625;0.467;0.5;0.5;0.467;0.571;1.0;0.5
ENSMUST00000140713_90_90;0.667;0.867;0.5;0.8;0.143;0.786;0.429;0.933;0.867;0.867;0.933;0.286;0.5;1.0
