;ENSCAFT00000031982_90_90;ENST00000373064_90_90;ENST00000373066_90_90;ENST00000373068_90_90;ENST00000373069_90_90;ENST00000432073_90_90;ENST00000466983_90_90;ENST00000472769_90_90;ENSMUST00000028160_90_90;ENSMUST00000052119_90_90;ENSMUST00000113307_90_90;ENSMUST00000113308_90_90;ENSMUST00000113310_90_90;ENSMUST00000127961_90_90;ENSMUST00000136361_90_90;ENSMUST00000153886_90_90
ENSCAFT00000031982_90_90;1.0;0.623;0.617;0.859;0.855;0.611;0.228;0.0;0.875;0.66;0.668;0.655;0.88;0.261;0.374;0.236
ENST00000373064_90_90;0.623;1.0;0.742;0.698;0.655;0.807;0.303;0.092;0.629;0.688;0.922;0.74;0.668;0.296;0.472;0.328
ENST00000373066_90_90;0.617;0.742;1.0;0.643;0.706;0.916;0.274;0.0;0.68;0.933;0.688;0.854;0.617;0.37;0.427;0.29
ENST00000373068_90_90;0.859;0.698;0.643;1.0;0.933;0.684;0.257;0.0;0.855;0.603;0.651;0.639;0.91;0.254;0.402;0.268
ENST00000373069_90_90;0.855;0.655;0.706;0.933;1.0;0.643;0.242;0.0;0.919;0.663;0.615;0.603;0.855;0.317;0.378;0.247
ENST00000432073_90_90;0.611;0.807;0.916;0.684;0.643;1.0;0.297;0.0;0.617;0.854;0.74;0.922;0.655;0.291;0.464;0.323
ENST00000466983_90_90;0.228;0.303;0.274;0.257;0.242;0.297;1.0;0.0;0.216;0.234;0.256;0.25;0.228;0.059;0.134;0.208
ENST00000472769_90_90;0.0;0.092;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.092;0.0;0.0;0.0;0.0;0.0
ENSMUST00000028160_90_90;0.875;0.629;0.68;0.855;0.919;0.617;0.216;0.0;1.0;0.726;0.672;0.66;0.929;0.328;0.388;0.256
ENSMUST00000052119_90_90;0.66;0.688;0.933;0.603;0.663;0.854;0.234;0.0;0.726;1.0;0.742;0.916;0.66;0.37;0.427;0.29
ENSMUST00000113307_90_90;0.668;0.922;0.688;0.651;0.615;0.74;0.256;0.092;0.672;0.742;1.0;0.807;0.719;0.296;0.472;0.328
ENSMUST00000113308_90_90;0.655;0.74;0.854;0.639;0.603;0.922;0.25;0.0;0.66;0.916;0.807;1.0;0.706;0.291;0.464;0.323
ENSMUST00000113310_90_90;0.88;0.668;0.617;0.91;0.855;0.655;0.228;0.0;0.929;0.66;0.719;0.706;1.0;0.261;0.414;0.278
ENSMUST00000127961_90_90;0.261;0.296;0.37;0.254;0.317;0.291;0.059;0.0;0.328;0.37;0.296;0.291;0.261;1.0;0.586;0.422
ENSMUST00000136361_90_90;0.374;0.472;0.427;0.402;0.378;0.464;0.134;0.0;0.388;0.427;0.472;0.464;0.414;0.586;1.0;0.491
ENSMUST00000153886_90_90;0.236;0.328;0.29;0.268;0.247;0.323;0.208;0.0;0.256;0.29;0.328;0.323;0.278;0.422;0.491;1.0
