;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript36_ENSCGRG00000018457;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;1.0;0.982;1.0;0.899;1.0;0.826;0.689;1.0;1.0;1.0;1.0;1.0;0.925;1.0
transcript6_ENSECAG00000007947;1.0;1.0;0.967;1.0;0.876;1.0;0.81;0.651;1.0;1.0;1.0;1.0;1.0;0.934;1.0
transcript7_ENSECAG00000007947;0.982;0.967;1.0;1.0;0.906;0.967;0.838;0.651;1.0;1.0;1.0;1.0;1.0;0.934;1.0
transcript7_ENSMLUG00000027828;1.0;1.0;1.0;1.0;0.908;1.0;0.844;0.677;1.0;1.0;1.0;1.0;1.0;0.957;1.0
transcript19_ENSECAG00000007947;0.899;0.876;0.906;0.908;1.0;0.876;0.925;0.667;0.981;0.981;0.981;0.977;0.977;0.915;0.93
transcript20_ENSECAG00000007947;1.0;1.0;0.967;1.0;0.876;1.0;0.81;0.651;1.0;1.0;1.0;1.0;1.0;0.934;1.0
transcript21_ENSECAG00000007947;0.826;0.81;0.838;0.844;0.925;0.81;1.0;0.698;0.925;0.925;0.925;0.908;0.92;0.913;0.86
transcript13_ENSMLUG00000027828;0.689;0.651;0.651;0.677;0.667;0.651;0.698;1.0;0.713;0.713;0.713;0.691;0.707;0.745;0.686
transcript15_ENSCGRG00015005362;1.0;1.0;1.0;1.0;0.981;1.0;0.925;0.713;1.0;1.0;1.0;1.0;1.0;0.93;1.0
transcript15_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.981;1.0;0.925;0.713;1.0;1.0;1.0;1.0;1.0;0.93;1.0
transcript15_ENSCGRG00001010245;1.0;1.0;1.0;1.0;0.981;1.0;0.925;0.713;1.0;1.0;1.0;1.0;1.0;0.93;1.0
transcript15_ENSPEMG00000024651;1.0;1.0;1.0;1.0;0.977;1.0;0.908;0.691;1.0;1.0;1.0;1.0;1.0;0.917;1.0
transcript15_ENSSTOG00000019743;1.0;1.0;1.0;1.0;0.977;1.0;0.92;0.707;1.0;1.0;1.0;1.0;1.0;0.959;1.0
transcript36_ENSCGRG00000018457;0.925;0.934;0.934;0.957;0.915;0.934;0.913;0.745;0.93;0.93;0.93;0.917;0.959;1.0;0.93
transcript25_ENSCPOG00000024843;1.0;1.0;1.0;1.0;0.93;1.0;0.86;0.686;1.0;1.0;1.0;1.0;1.0;0.93;1.0
