;ENSCAFT00000025578_90_90;ENSCAFT00000025580_90_90;ENST00000263846_90_90;ENST00000535826_90_90;ENST00000539008_90_90;ENST00000539246_90_90;ENST00000539468_90_90;ENST00000540677_90_90;ENST00000542670_90_90;ENST00000542836_90_90;ENST00000545053_90_90;ENSMUST00000073899_90_90;ENSMUST00000076968_90_90;ENSMUST00000169121_90_90;ENSMUST00000223586_90_90;ENSMUST00000224135_90_90;ENSMUST00000225452_90_90
ENSCAFT00000025578_90_90;1.0;0.619;0.312;0.562;0.812;0.267;0.267;0.5;0.625;0.375;0.2;0.312;0.625;0.562;0.375;0.5;0.533
ENSCAFT00000025580_90_90;0.619;1.0;0.312;0.562;0.812;0.267;0.267;0.5;0.625;0.375;0.2;0.312;0.625;0.562;0.375;0.5;0.533
ENST00000263846_90_90;0.312;0.312;1.0;0.583;0.438;0.3;0.3;0.636;0.583;0.875;0.571;1.0;0.583;0.636;0.875;0.7;0.231
ENST00000535826_90_90;0.562;0.562;0.583;1.0;0.75;0.286;0.286;0.917;0.5;0.667;0.333;0.636;0.533;0.467;0.727;0.5;0.538
ENST00000539008_90_90;0.812;0.812;0.438;0.75;1.0;0.222;0.222;0.688;0.75;0.5;0.25;0.467;0.8;0.733;0.533;0.667;0.5
ENST00000539246_90_90;0.267;0.267;0.3;0.286;0.222;1.0;1.0;0.214;0.286;0.4;0.429;0.333;0.308;0.231;0.444;0.25;0.556
ENST00000539468_90_90;0.267;0.267;0.3;0.286;0.222;1.0;1.0;0.214;0.286;0.4;0.429;0.333;0.308;0.231;0.444;0.25;0.556
ENST00000540677_90_90;0.5;0.5;0.636;0.917;0.688;0.214;0.214;1.0;0.438;0.583;0.364;0.7;0.467;0.5;0.636;0.538;0.462
ENST00000542670_90_90;0.625;0.625;0.583;0.5;0.75;0.286;0.286;0.438;1.0;0.667;0.333;0.583;1.0;0.917;0.667;0.833;0.312
ENST00000542836_90_90;0.375;0.375;0.875;0.667;0.5;0.4;0.4;0.583;0.667;1.0;0.5;0.875;0.667;0.583;1.0;0.636;0.308
ENST00000545053_90_90;0.2;0.2;0.571;0.333;0.25;0.429;0.429;0.364;0.333;0.5;1.0;0.571;0.333;0.364;0.5;0.4;0.3
ENSMUST00000073899_90_90;0.312;0.312;1.0;0.636;0.467;0.333;0.333;0.7;0.583;0.875;0.571;1.0;0.583;0.636;0.875;0.7;0.214
ENSMUST00000076968_90_90;0.625;0.625;0.583;0.533;0.8;0.308;0.308;0.467;1.0;0.667;0.333;0.583;1.0;0.917;0.667;0.833;0.294
ENSMUST00000169121_90_90;0.562;0.562;0.636;0.467;0.733;0.231;0.231;0.5;0.917;0.583;0.364;0.636;0.917;1.0;0.583;0.909;0.235
ENSMUST00000223586_90_90;0.375;0.375;0.875;0.727;0.533;0.444;0.444;0.636;0.667;1.0;0.5;0.875;0.667;0.583;1.0;0.636;0.286
ENSMUST00000224135_90_90;0.5;0.5;0.7;0.5;0.667;0.25;0.25;0.538;0.833;0.636;0.4;0.7;0.833;0.909;0.636;1.0;0.25
ENSMUST00000225452_90_90;0.533;0.533;0.231;0.538;0.5;0.556;0.556;0.462;0.312;0.308;0.3;0.214;0.294;0.235;0.286;0.25;1.0
