;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript47_ENSMUGG00000013649;transcript47_ENSPEMG00000024651;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.763;0.688;0.603;0.831;0.813;0.817;0.817;0.673;0.901;0.805;0.901;0.901
transcript47_ENSRNOG00000031503;0.763;1.0;0.89;0.788;0.744;0.724;0.608;0.608;0.617;0.68;0.764;0.68;0.68
transcript47_ENSMUGG00000013649;0.688;0.89;1.0;0.879;0.841;0.821;0.685;0.685;0.668;0.77;0.863;0.77;0.77
transcript47_ENSPEMG00000024651;0.603;0.788;0.879;1.0;0.734;0.714;0.77;0.77;0.559;0.671;0.754;0.671;0.671
transcript20_ENSMUGG00000013649;0.831;0.744;0.841;0.734;1.0;0.98;0.829;0.829;0.782;0.913;0.972;0.913;0.913
transcript20_ENSMUGG00000013592;0.813;0.724;0.821;0.714;0.98;1.0;0.811;0.811;0.762;0.895;0.952;0.895;0.895
transcript19_ENSPEMG00000024651;0.817;0.608;0.685;0.77;0.829;0.811;1.0;1.0;0.625;0.883;0.804;0.883;0.883
transcript38_ENSPEMG00000024651;0.817;0.608;0.685;0.77;0.829;0.811;1.0;1.0;0.625;0.883;0.804;0.883;0.883
transcript27_ENSNGAG00000018584;0.673;0.617;0.668;0.559;0.782;0.762;0.625;0.625;1.0;0.713;0.805;0.713;0.713
transcript7_ENSSTOG00000019743;0.901;0.68;0.77;0.671;0.913;0.895;0.883;0.883;0.713;1.0;0.888;1.0;1.0
transcript24_ENSSTOG00000019743;0.805;0.764;0.863;0.754;0.972;0.952;0.804;0.804;0.805;0.888;1.0;0.888;0.888
transcript25_ENSSTOG00000019743;0.901;0.68;0.77;0.671;0.913;0.895;0.883;0.883;0.713;1.0;0.888;1.0;1.0
transcript32_ENSSTOG00000019743;0.901;0.68;0.77;0.671;0.913;0.895;0.883;0.883;0.713;1.0;0.888;1.0;1.0
